TRACK_NUM;DIRECTION;KM_I;KM_L;DESCRIPTION;UNIT_KIND;SHORTCUT;GK_R_DGN;GK_H_DGN;LAT;LONG
1000;0;117290016;172,9 + 16;Flensburg Switch;St;AFW;3525691,331;6069974,991;54,75848402;9,39789295
1000;0;117440000;174,4 + 0;Flensburg Friedensweg;Swch;AFR;3525333,479;6071281,835;54,77024153;9,39244801
1000;0;117970084;179,7 + 84;Flensburg Border;Bp;AXFW;3523405,063;6076279,823;54,81523173;9,36288704
1005;0;100000000;0,0 + 0;Flensburg;St;AF;3528132,808;6071715,352;54,7739873;9,43598426
1005;0;100160086;1,6 + 86;Flensburg Sued;Rerout;AFS;3528716,414;6070532,501;54,76332888;9,44493623
1005;0;100540095;5,4 + 95;Flensburg Friedensweg;Swch;AFR;3525333,479;6071281,835;54,77024153;9,39244801
1011;0;101410058;14,1 + 58;Ohrstedt;Rerout;AOR;3514739,787;6041428,881;54,50248278;9,22635174
1011;0;102620091;26,2 + 91;Husum;St;AHM;3503635,17;6038048,565;54,47231461;9,05489896
1012;0;104900086;49,0 + 86;Husum;St;AHM;3503632,025;6038038,466;54,47222391;9,05485033
1020;0;100560000;5,6 + 0;Kronshagen;Sp;AKRH;3570547,122;6022844,919;54,33087847;10,08328685
1020;0;100770050;7,7 + 50;Suchsdorf;St;ASU;3571002,097;6024873,725;54,3490387;10,09076172
1020;0;101370000;13,7 + 0;Neuwittenbek;St;ANW;3566936,257;6027229,796;54,37075068;10,02877396
1020;0;101910049;19,1 + 49;Gettorf;St;AGF;3563617,979;6031538,251;54,40987554;9,97864485
1020;0;103100097;31,0 + 97;Eckernfoerde;St;AEC;3554199,841;6037876,008;54,46789424;9,83476629
1020;0;103970036;39,7 + 36;Rieseby;Sp;ARY;3553174,592;6046090,961;54,54179484;9,82043249
1020;0;105130034;51,3 + 34;Suederbrarup;St;ASUE;3549873,269;6056619,297;54,63670267;9,77121319
1020;0;106250003;62,5 + 3;Soerup;St;ASOE;3543207,206;6065471,207;54,71683049;9,66929042
1020;0;107060039;70,6 + 39;Husby;Sp;AY;3537093,133;6070716,591;54,76443542;9,57508781
1020;0;108060043;80,6 + 43;Flensburg;St;AF;3528150,877;6071750,32;54,77430041;9,43626842
1022;0;100000094;0,0 + 94;Kiel Main Station;St;AK;3573701,043;6021115,14;54,31489643;10,13133244
1022;0;100290000;2,9 + 0;Kiel-Hassee Cittipark;St;AKH;3571666,628;6020388,812;54,30866143;10,09990379
1022;0;100530037;5,3 + 37;Kiel-Russee;Sp;AKRU;3569732,324;6020516,855;54,31007883;10,07022119
1022;0;100790055;7,9 + 55;Melsdorf;Sp;AME;3567149,468;6020779,828;54,31278646;10,03060365
1022;0;101250077;12,5 + 77;Achterwehr;Sp;AACW;3562818,171;6020970,002;54,31504484;9,96410269
1022;0;101380084;13,8 + 84;Felde-Brandsbek;St;AFEB;3561734,839;6020378,112;54,30985996;9,9473365
