TRACKNR;KMSTR_E;KMEND_E;KMSTR_V;KMEND_V;TRACKNAME;TRACKSHCUT
1000;117090058;117970084;170,9 +  58;179,7 +  84;Flensburg Switch, W 203 - Flensburg Borderline;Flensburg-Switch - Flensb. Gr
1001;100060034;103570000;  0,6 +  34; 35,7 +   0;Flensburg-Switch, W 213 - Lindholm, W 7;Flensburg-Switch - Lindholm
1002;117290045;117850031;172,9 +  45;178,5 +  31;Flensburg Switch, W 214 - DB-Borderline (Fl.,oestl.Hafengl.);Flensburg Switch - DB-Borderline
1003;117730005;117970032;177,3 +   5;179,7 +  32;Flensburg Alter Bahnhof - DB-Borderline (Fl.,westl.Hafengl.);FL-alter Bf - FL-Hafen West
1004;100000000;100010000;  0,0 +   0;  0,1 +   0;former Track - Flensburg Alter Bahnhof - Flensburg, Oestlich;former Track 1004
1005;100000000;100540095;  0,0 +   0;  5,4 +  95;Flensburg - Switch Friedensweg, W 301;Flensburg - Switch Friedensweg
1010;113190069;113580082;131,9 +  69;135,8 +  82;Schleswig, W 801 - Schleswig Altstadt;Schleswig - Schleswig-Altstadt
1011;100060000;102640054;  0,6 +   0; 26,4 +  54;Juebek, 07W9 - Husum, 50W41;Juebek - Husum
1012;100040020;104910089;  0,4 +  20; 49,1 +  89;Rendsburg, W 89 - Husum, W 40;Rendsburg - Husum
1020;100330094;108100034;  3,3 +  94; 81,0 +  34;Kiel-Hassee Cittipark, W 7 - Flensburg, W 4;Kiel-Hassee C. - Flensburg
1021;100000084;100430090;  0,0 +  84;  4,3 +  90;Kiel-Hassee Cittipark - Kiel West;Kiel-Hassee C. - Kiel West
1022;100000074;103090055;  0,0 +  74; 30,9 +  55;Kiel Main-St. - Osterroenfeld, W 105;Kiel - Osterroenfeld
1023;100000035;106330046;  0,0 +  35; 63,3 +  46;Kiel Main-St. - Neustadt (Holst);Kiel - Neustadt(Holst)
1030;110090068;110410054;100,9 +  68;104,1 +  54;Meimersdorf - Kiel Hgbf;Meimersdorf - Kiel Hgbf
1031;110000044;110650019;100,0 +  44;106,5 +  19;Meimersdorf, W 3 - Kiel-Hassee Cittipark, W 1;Meimersdorf - Kiel-Hassee C.
1032;110290076;110550087;102,9 +  76;105,5 +  87;Switch Meimersdorf Ost, W 21 - Kiel Main-St., Gl 1;Meimersdorf East - Kiel Main-St.
1033;110010045;110380049;100,1 +  45;103,8 +  49;Meimersdorf, W 5 - Kiel Main-St., Stw Ss, W 3;Meimersdorf - Kiel Ss
1040;107420061;117620030; 74,2 +  61;176,2 +  30;Neumuenster, W 9 - Flensburg;Neumuenster - Flensburg
1041;107430076;109960081; 74,3 +  76; 99,6 +  81;Neumuenster, W 10 - Ascheberg (Holst);Neumuenster - Ascheberg
1042;99979981;106290001; -0,2 + -18; 62,9 +   1;Neumuenster, W 12 - Heide (Holst), W 13;Neumuenster - Heide
1043;107440027;111980066; 74,4 +  27;119,8 +  66;Neumuenster, W 23 - Bad Oldesloe, W 22;Neumuenster - Bad Oldesloe
1100;100000000;108860037;  0,0 +   0; 88,6 +  37;Luebeck Main-St. - Puttgarden, W 110;Luebeck - Puttgarden
1101;100000022;100490096;  0,0 +  22;  4,9 +  96;Heiligenhafen - Luetjenbrode, Sbk L, W 2;Heiligenhafen - Luetjenbrode
1102;99989974;100160028; -0,1 + -25;  1,6 +  28;former Track - Luedjenbrode - SBK A;former Track 1102
1103;100530050;102090094;  5,3 +  50; 20,9 +  94;Fehmarn-Burg - Orth (Fehmarn);Fehmarn-Burg - Orth (Fehmarn)
1104;100000000;100080004;  0,0 +   0;  0,8 +   4;Burg (Fehmarn) Switch, W 7 - Burg (Fehmarn) West, W 6;Burg (Fehmarn)Switch - Burg West
1105;100750000;108800000;  7,5 +   0; 88,0 +   0;Bad Schwartau - Puttgarden Borderline (Planning Title);Bad Schwartau - Puttgarden Gr
1106;102350000;102860000; 23,5 +   0; 28,6 +   0;Haffkrug - Neustadt (Planning Title);Haffkrug - Neustadt
1110;100040088;102650005;  0,4 +  88; 26,5 +   5;Eutin, W 5 - Bad Schwartau Switch, W 31;Eutin - Bad Schwartau
1111;100000000;100800008;  0,0 +   0;  8,0 +   8;Poenitz (Holst) - Ahrensboek;Poenitz - Ahrensboek
1112;99949940;101760060; -0,5 + -59; 17,6 +  60;Malente-Gremsmuehlen, W 35 - Luetjenburg;Malente - Luetjenburg
1113;100460099;102060027;  4,6 +  99; 20,6 +  27;Switch Schwartau Waldhalle, W 1 - Luebeck-Travemuende Strand;Schwartau - Travemuende Strand
1114;99969974;100480090; -0,3 + -25;  4,8 +  90;former Track - Luebeck-Travemuende Hafen - Niendorf (Ostsee);former Track 1114
1115;99999919;100550000;  0,0 + -80;  5,5 +   0;Luebeck-Daenischburg, W 10 - Herrenwyk,Metallhuettenw.;HL-Daenischburg - HL-Herrenwyk
1116;100310070;100480050;  3,1 +  70;  4,8 +  50;Luebeck-Herrenwyk, Flenderwerke, W 56 - Nordwestdeutsche Kraftwerke;Luebeck-Herrenwyk - NWK
1117;100000000;100520002;  0,0 +   0;  5,2 +   2;Switch Luebeck-Kuecknitz, 95W51 - Luebeck Skandinavienkai;HL-Kuecknitz - Skandinavienkai
1120;100000000;106420098;  0,0 +   0; 64,2 +  98;Luebeck Main-St. - Hamburg Main-St., W 453;Luebeck - Hamburg
1121;100240082;104720086;  2,4 +  82; 47,2 +  86;Luebeck Hgbf Switch, 90W453 - Buechen, W 19;Luebeck - Buechen
1122;100040084;123410048;  0,4 +  84;234,1 +  48;Luebeck Main-St., 90W108 - Strasburg (Uckerm), W 48;Luebeck - Strasburg (Uckerm)
1123;99999944;100400000;  0,0 + -55;  4,0 +   0;Bad Oldesloe , W 71 - Blumendorf;Bad Oldesloe - Blumendorf
1130;100060007;100250018;  0,6 +   7;  2,5 +  18;Luebeck Main-St., 90W118 - Luebeck Hgbf Switch, 90W441;Luebeck Main-St. - Luebeck Hgbf
1131;100430048;101420074;  4,3 +  48; 14,2 +  74;Switch Strecknitz, 62W1 - Luebeck-Schlutup;Switch Strecknitz - HL-Schlutup
