"id","extralabel","name","latitude","longitude"
"BE1217","TrainTechnicalServices","Lijn 4-Stopmerkborden 249x(NL)","51.477972","4.730666"
"BE1682","Switch","Lijn 10-Rooster C/D","51.241808","4.215357"
"BE1696","Switch","Lijn 10-Rooster G/H","51.243169","4.235729"
"BE1818","Switch","Lijn 10-Seinen KL/LL","51.262359","4.26978"
"BE1902","Switch","Lijn 50C-Seinen BY135/AY135","50.847839","4.187972"
"BE1903","Switch","Lijn 50C-Seinen BY82/AY82","50.825287","4.239034"
"BE2012","TrainTechnicalServices","Lijn 207-Seinen AWL207","51.168042","4.826767"
"BE2130","Switch","Lijn 50A-Seinen BX82/A84","50.82616","4.236924"
"BE2131","Switch","Lijn 50A-Seinen B135/A148","50.856583","4.168618"
"BE2132","Switch","Lijn 50A-Seinen 292","50.927519","3.983669"
"BE2133","Switch","Lijn 50A-Seinen 342","50.955366","3.897682"
"BE2134","Switch","Lijn 50A-Seinen 394","50.970733","3.854077"
"BE2135","Switch","Lijn 50A-Seinen 467","51.008208","3.773216"
"BE2136","Switch","Lijn 50A-Seinen 203","50.88814","4.096512"
"BEAET","SmallStation","Antwerpen-W.H.-A.E.T.","51.269438","4.205017"
"BEAIG","Switch","Aigremont-Block 8.7","50.587809","5.425317"
"BEALSKA","SmallStation","Antwerpen-D.S.-Alaska","51.250057","4.37464"
"BEAMZD","SmallStation","Antwerpen-D.S.-Amerika-Zuid","51.243019","4.393759"
"BEAND","PassengerStop","Antwerpen-Noorderdokken","51.261653","4.42786"
"BEANDL","PassengerStop","Anderlecht | Anderlecht","50.817899","4.291845"
"BEANGOL","SmallStation","Antwerpen-D.S.-Angola","51.272332","4.365991"
"BEANS","Station","Ans","50.661214","5.509703"
"BEANSPL","Switch","Ans-Plans","50.655409","5.529738"
"BEARC","PassengerStop","Archennes","50.754337","4.662366"
"BEATH","Station","Ath","50.6271","3.776406"
"BEAYE","PassengerStop","Aye","50.224872","5.300689"
"BEBA824","SmallStation","Braine-Alliance-CDS824","50.663889","4.372611"
"BEBAM","PassengerStop","Bambrugge","50.913903","3.935661"
"BEBASF","SmallStation","Antwerpen-D.S.-BASF","51.372865","4.272676"
"BEBEEZ","Switch","Beez","50.47167","4.92499"
"BEBEI","PassengerStop","Beignée","50.333239","4.406797"
"BEBELBA","SmallStation","Antwerpen-D.S.-Belgische Basis","51.261965","4.40252"
"BEBERDR","SmallStation","Antwerpen-D.S.-Berendrecht","51.318003","4.335301"
"BEBGWV","PassengerStop","Basse-Wavre","50.724184","4.621178"
"BEBLE","PassengerStop","Bleret","50.685161","5.28599"
"BEBOKBH","Switch","Boksbergheide","50.964562","5.458209"
"BEBOL","PassengerStop","Boondael | Boondaal","50.801975","4.393523"
"BEBOR","PassengerStop","Bordet | Bordet","50.877782","4.409992"
"BEBOTZ","Switch","Botzelaer","50.747251","6.010401"
"BEBPEL","SmallStation","Zeebrugge-Bundel Pelikaan","51.293468","3.227731"
"BEBRAM","SmallStation","Zeebrugge-Bundel Ramskapelle","51.30867","3.244147"
"BEBUDA","PassengerStop","Buda","50.908281","4.417053"
"BEBUZET","Switch","Buzet","50.555216","4.357379"
"BEBVRST","Switch","Beverst","50.881084","5.50654"
"BEBZWDM","SmallStation","Zeebrugge-Bundel Zwankendamme","51.306111","3.191463"
"BECAD","PassengerStop","Chapelle-Dieu","50.557902","4.698662"
"BECHAP","PassengerStop","Chapois","50.262372","5.124278"
"BECHAS","PassengerStop","Château-de-Seilles","50.49721","5.081753"
"BECHE","SmallStation","Chertal","50.685447","5.656972"
"BECND","SmallStation","Antwerpen-W.H.-B.Canada","51.245617","4.331282"
"BECOMBI","SmallStation","Antwerpen-D.S.-Combinant","51.371613","4.288112"
"BECOO","PassengerStop","Coo","50.391311","5.880883"
"BECRQLN","Switch","Criquelion-Faisceau","50.459516","3.837335"
"BEDARSE","SmallStation","Gent-Zeehaven-Darsen","51.084356","3.744594"
