"id","extralabel","name","latitude","longitude"
"CH02136","Junction","Aarau GB","47.3945291","8.0664379"
"CH08254","Junction","Brenzikofen","46.8183448","7.6107452"
"CH07476","Junction","Blausee-Mitholz","46.5289637","7.6755574"
"CH02025","Junction","Baldegg","47.185689","8.2802315"
"CH02023","Junction","Ballwil","47.1537677","8.3168988"
"CH03113","Junction","Blumenau","47.2236707","8.8424051"
"CH03134","Junction","Bauma","47.3688366","8.878233"
"CH07082","Junction","Bern  Europaplatz","46.9434464","7.4074695"
"CH04106","Junction","Bern Bümpliz Süd","46.9374875","7.395238"
"CH04489","Junction","Bern Bümpliz Nord","46.9458292","7.3897557"
"CH07081","Junction","Bern Fischermätteli","46.9417654","7.4121293"
"CH06190","Junction","Bussnang","47.5560841","9.0841631"
"CH16765","Junction","Bern Henkerbrünnli","46.9535221","7.4388494"
"CH03118","Junction","Benken SG","47.2044581","9.0086542"
"CH04495","Junction","Bern Stöckacker","46.9463603","7.4011785"
"CH07079","Junction","Bern Weissenbühl","46.9357794","7.4300188"
"CH07001","Junction","Bern Wylerfeld","46.9658405","7.4583093"
"CH07010","Junction","Bern Weyermannshaus","46.9473253","7.4109287"
"CH02216","Junction","Benzenschwil","47.2468515","8.3656169"
"CH05207","Junction","Bodio TI","46.3802545","8.906568"
"CH04039","Junction","Bossy Bois (embr)","46.8283375","6.9604596"
"CH03114","Junction","Bollingen","47.2173527","8.879213"
"CH04218","Junction","Bôle","46.9694229","6.8383745"
"CH07292","Junction","Boltigen","46.6273683","7.3900737"
"CH02222","Junction","Bonstetten-Wettswil","47.3259013","8.4681969"
"CH02032","Junction","Boniswil","47.3150387","8.1845605"
"CH02214","Junction","Boswil-Bünzen","47.3051817","8.3152836"
"CH06127","Junction","Bottighofen","47.6407072","9.2131041"
"CH01426","Junction","Bouveret","46.3858172","6.8532439"
"CH07092","Junction","Belp Steinbach","46.8951646","7.4930918"
"CH01609","Junction","Brig","46.3194227","7.9880947"
"CH15379","Junction","Basel SBB RB Gr T","47.5312471","7.6612123"
"CH02210","Junction","Birrfeld","47.4436599","8.2157445"
"CH04403","Junction","Bargen BE","47.0401617","7.2611804"
"CH02002","Junction","Brittnau-Wikon","47.2626662","7.9570408"
"CH15310","Junction","Brig-Lötschberg (Abzw)","46.3195659","7.9841556"
"CH05042","Junction","Brunnmatt (Spw)","47.0687158","8.5030847"
"CH06294","Junction","Brunnadern-Neckertal","47.3378275","9.1305954"
"CH06181","Junction","Bronschhofen","47.4754444","9.0346779"
"CH06188","Junction","Bronschhofen AMP","47.4812671","9.0309281"
"CH01641","Junction","Brig RB","46.322464","8.0003878"
"CH08299","Junction","Brüttisellen (Km-Sprung)","47.4263299","8.6357466"
"CH01105","Junction","Bretonnières","46.7150553","6.4747325"
"CH01610","Junction","Brig Tunnel","46.3245679","8.0069423"
"CH05007","Junction","Brunnen","46.9991749","8.6100677"
"CH15380","Junction","Brunnen Süd (Abzw)","46.9915718","8.6103109"
"CH15381","Junction","Basel SBB RB I (Abzw)","47.5247605","7.6781388"
"CH15382","Junction","Basel Auhafen","47.5386644","7.6620211"
"CH07916","Junction","Birsfelden Ost (Abzw)","47.5409959","7.658527"
"CH15384","Junction","Birsfelden Hafen Gleisende","47.5576878","7.631777"
"CH18903","Junction","Birsfelden Hafen (Abzw)","47.5491032","7.6463334"
"CH00122","Junction","Bassecourt","47.3366869","7.2468462"
"CH03307","Junction","Bassersdorf","47.4385706","8.6262209"
"CH00136","Junction","Basel Dreispitz","47.5374361","7.6095959"
"CH08328","Junction","Bassersdorf Ost (Vzw)","47.4377096","8.6311396"
"CH00052","Junction","Basel Grenze (FR)","47.5775602","7.5675951"
"CH18904","Junction","Kleinhüningen Hafen Gleisende","47.5699562","7.586325"
"CH15386","Junction","Basel SBB Nordost (Abzw)","47.5448957","7.6033317"
"CH15387","Junction","Basel SBB Ost (Abzw)","47.5449364","7.5956199"
"CH15388","Junction","Basel SBB RB II Ost (Abzw)","47.5264697","7.6738198"
"CH16180","Junction","Basel VB Grenze","47.5602514","7.6131851"
