"id","extralabel","name","latitude","longitude"
"DEAAH A","Station","Aumühle Abzw","53.529971","10.319278"
"DEAAS O","Station","Hamburg-Ottensen                (S-Bahn)","53.559558","9.926052"
"DEABG S","Station","Hamburg-Bergedorf               (S-Bahn)","53.489888","10.206188"
"DEABTSB","Station","Hamburg Berliner Tor         (Bergedorf)","53.552456","10.02495"
"DEABTSL","Station","Hamburg Berliner Tor          (Landwehr)","53.553002","10.024563"
"DEAE  N","Station","Hamburg-Eidelstedt (En)","53.620749","9.857578"
"DEAE  O","Station","Hamburg-Eidelstedt (Eo)","53.608197","9.882638"
"DEAHBIA","Station","Hamburg-Billwerder-Moorfleet      (Abzw)","53.514748","10.097992"
"DEAHBRS","Switch","Hamburg-Hausbruch               (S-Bahn)","53.47161","9.919747"
"DEALD A","Station","Lübeck-Dänischburg IKEA Abzw","53.911512","10.738975"
"DEALD G","Station","Lübeck-Dänischburg Gbf","53.911639","10.747857"
"DEASBRN","PassengerStop","Schleibrücke Nord","54.584626","9.818855"
"DEASBRS","PassengerStop","Schleibrücke Süd","54.58196","9.82142"
"DEAWLBA","Station","Hamburg-Wilhelmsburg Abzw","53.502305","10.007331"
"DEBAG O","Junction","Glasower Damm Ost","52.352903","13.420591"
"DEBAG S","Junction","Glasower Damm Süd","52.341383","13.414595"
"DEBAG W","Junction","Glasower Damm West","52.349296","13.405065"
"DEBATSO","Station","Attilastr Oilt (Bft)","52.435567","13.368071"
"DEBBIKL","Junction","Biesdorfer Kreuz Süd-Ost","52.515312","13.542414"
"DEBBIKM","Junction","Biesdorfer Kreuz Mitte","52.510227","13.539516"
"DEBBIKO","Junction","Biesdorfer Kreuz Ost","52.513157","13.553246"
"DEBBIKS","Junction","Biesdorfer Kreuz Süd","52.49903","13.543091"
"DEBBIKV","Junction","Biesdorfer Kreuz Süd-West","52.508458","13.538101"
"DEBBIKW","Junction","Biesdorfer Kreuz West","52.514482","13.519323"
"DEBFSTT","PassengerStop","Berlin Friedrichstraße (Nord-Süd-Tunnel)","52.52055","13.386321"
"DEBGD R","Station","Berlin-Grunewald Gdr","52.489391","13.264113"
"DEBGD S","Station","Berlin-Grunewald Gds","52.483059","13.254956"
"DEBGH M","Station","Genshagener Heide Mitte","52.332277","13.269976"
"DEBGH N","Station","Genshagener Heide Nord","52.338239","13.255465"
"DEBGK N","Junction","Grünauer Kreuz Nord","52.426416","13.561834"
"DEBGK S","Junction","Grünauer Kreuz Süd","52.416335","13.554854"
"DEBGK W","Junction","Grünauer Kreuz West","52.425838","13.554552"
"DEBGSBS","Station","Großbeeren Süd","52.347143","13.283144"
"DEBHLRN","Station","Berlin-Halensee Nordkopf","52.505839","13.282299"
"DEBHLRS","Station","Berlin-Halensee Südkopf","52.493353","13.293679"
"DEBOSGA","Station","Berlin Warschauer Straße (F-Bahn) Bft","52.504874","13.457906"
"DEBPAFS","Station","Berlin Südkreuz Süd Abzw","52.466491","13.361592"
"DEBSE B","Station","Seddin Bla","52.281557","12.965966"
"DEBSE N","Station","Seddin Einf Nord","52.303082","13.007198"
"DEBSE W","Station","Seddin Ausf West","52.287058","12.976138"
"DEBSN E","Station","Senftenberg B 10","51.542048","14.033061"
"DEBSPDM","Station","Berlin-Spandau Mitte","52.530988","13.216113"
"DEBSPDO","Station","Berlin-Spandau Ost","52.529617","13.22738"
"DEBSTAB","PassengerStop","Berlin-Staaken Bstg","52.537705","13.141195"
"DEBWKRR","PassengerStop","Berlin Westkreuz (Ringbahn)","52.500783","13.283965"
"DEBWURO","Station","Wustermark Rbf Wot","52.545509","13.031267"
"DEDAF N","Station","Arnsdorf Nord","51.10171","13.972525"
"DEDAF W","Station","Arnsdorf West","51.099934","13.960875"
"DEDCW B","Station","Coswig (bei Dresden) Stw 1","51.136385","13.569713"
"DEDR  R","Station","Riesa Rbf","51.311746","13.267497"
"DEDR  V","Station","Riesa Stw 4","51.304038","13.279765"
"DEEAHLH","PassengerStop","Ahlen (Westf) Notbahnsteig","51.761447","7.896205"
"DEEBRAH","PassengerStop","Brake (b Bielefeld) Hp","52.069966","8.60608"
"DEECASP","PassengerStop","Castrop-Rauxel Süd Hp","51.55033","7.310057"
"DEEDDPB","Station","Dortmund-Dorstfeld              (S-Bahn)","51.509987","7.420466"
"DEEDDPH","Station","Dortmund-Dorstfeld (hoch)","51.509303","7.425393"
"DEEDDPT","Station","Dortmund-Dorstfeld (tief)","51.50934","7.425074"
"DEEESOB","Station","Essen-Steele Ost Bez Ruhrbrücke","51.442691","7.081011"
"DEEHE P","PassengerStop","Heessen Hp","51.70914","7.831666"
"DEEHERT","Station","Herne Hot","51.557103","7.253332"
"DEEHGVF","Station","Hagen-Vorhalle Vof","51.386605","7.428335"
"DEEHGVS","Station","Hagen-Vorhalle Abzw Schönfeld","51.370589","7.400188"
"DEEHGVW","Station","Hagen-Vorhalle Vwf","51.380547","7.415652"
"DEEHUOS","Station","Gelsenkirchen Hugo Abzw","51.539815","7.06845"
"DEEMRYA","Station","Mülheim (Ruhr)-Styrum Bez. West","51.451024","6.840322"
"DEEOB N","Station","Oberhausen Hbf Obn","51.487501","6.852163"
"DEEOB O","Station","Oberhausen Hbf Obo","51.482108","6.863587"
"DEEOBRM","Station","Oberhausen West Orm","51.476753","6.832658"
"DEEOBRO","Station","Oberhausen West Oro","51.482159","6.84598"
"DEEOBRW","Station","Oberhausen West Orw","51.473775","6.821935"
"DEEREKK","PassengerStop","Klein Reken","51.787163","7.035333"
"DEEWANB","Station","Wanne-Eickel Bro","51.534119","7.174721"
"DEFB  B","Station","Bebra Berg","50.949359","9.79133"
"DEFB  O","Station","Bebra Ost","50.952127","9.800994"
"DEFB  R","Station","Bebra Rbf","50.959138","9.803876"
"DEFBUSS","PassengerStop","Dreieich-Buchschlag Hp","50.02261","8.661021"
"DEFEGWS","Junction","Eschwege-Stegmühle","51.186168","9.99287"
"DEFEGWW","Junction","Eschwege-Wehre","51.198764","9.99835"
"DEFFAWA","Station","Frankfurt-Höchst Farbwerke Ültg","50.093304","8.518293"
"DEFFG H","Station","Friedberg Hohl","50.323825","8.773934"
"DEFFS A","Station","Frankfurt (Main) Süd Abstellbahnhof","50.094047","8.669873"
"DEFFU B","Station","Fulda Bronnzell","50.518995","9.679795"
"DEFG  B","Station","Gießen Pbf/Rbf Ültg II","50.56544","8.647811"
"DEFKBWO","Junction","Mainz Kaiserbrücke Ost","50.026958","8.26216"
"DEFKR N","Station","Kassel Rbf Nord","51.340825","9.473206"
"DEFKR S","Station","Kassel Rbf Süd","51.320447","9.453843"
"DEFKR T","Station","Kassel Rbf Tal","51.343595","9.471961"
"DEFMB A","Station","Mainz-Bischofsheim Überltg I","49.973122","8.393988"
"DEFMB N","Station","Mainz-Bischofsheim Überltg II","49.984327","8.37868"
"DEFMB P","Station","Mainz-Bischofsheim Pbf","49.992922","8.358042"
