"id","extralabel","name","latitude","longitude"
"DK00001","Station","København H","55.6727","12.5657"
"DK00005","PassengerStop","Valby","55.6637","12.5145"
"DK00006","Junction","Hvidovre Fjern","55.6646","12.4609"
"DK00008","Station","Glostrup","55.6629","12.399"
"DK00010","Station","Høje Taastrup","55.6485","12.2698"
"DK00014","PassengerStop","Hedehusene","55.6486","12.1971"
"DK00015","PassengerStop","Trekroner","55.6478","12.1325"
"DK00016","FreightTerminal","Høje Taastrup kombiterminal","55.6393","12.2503"
"DK00017","Station","Roskilde","55.6391","12.089"
"DK00019","Station","Viby Sjælland","55.5497","12.0244"
"DK00021","Station","Borup","55.4947","11.9723"
"DK00023","Junction","Kværkeby","55.4512","11.8993"
"DK00025","Station","Ringsted","55.4382","11.7866"
"DK00027","Junction","Fjenneslev","55.4421","11.6692"
"DK00029","Station","Sorø","55.4191","11.5693"
"DK00031","Station","Slagelse","55.4074","11.3489"
"DK00033","Junction","Forlev","55.3749","11.2578"
"DK00035","Station","Korsør","55.3571","11.1352"
"DK00037","Junction","Sprogø","55.3311","10.9601"
"DK00039","Station","Nyborg","55.3138","10.8031"
"DK00943","Junction","Avedøre Havnevej","55.648","12.45"
"DK00931","Junction","Kildebrønde","55.6023","12.2855"
"DK00933","Junction","Jersie Fjern","55.5216","12.186"
"DK00935","Station","Køge Nord","55.5","12.1725"
"DK00937","Junction","Lellinge","55.4805","12.124"
"DK00939","Junction","Bjæverskov","55.4637","12.0265"
"DK00949","PassengerStop","Glumsø","55.3513","11.6973"
"DK00043","Station","Næstved","55.2313","11.7673"
"DK00045","Station","Lundby","55.1096","11.8703"
"DK00047","Station","Vordingborg","55.0127","11.9"
"DK00049","Junction","Masnedø","54.9824","11.8945"
"DK00051","Junction","Orehoved","54.939","11.8681"
"DK00053","PassengerStop","Nørre Alslev","54.8967","11.8857"
"DK00055","Station","Eskilstrup","54.8562","11.8854"
"DK00057","Junction","Tingsted","54.8196","11.8855"
"DK00059","Station","Nykøbing Falster","54.767","11.8777"
"DK00061","Junction","Nykøbing Falster Vest","54.7565","11.8571"
"DK00069","Junction","Rødby Øst","54.6657","11.3807"
"DK00071","Station","Rødby Færge","54.6551","11.3556"
"DK00073","Junction","Væggerløse","54.7165","11.9143"
"DK00075","Junction","Fiskebæk","54.6433","11.9026"
"DK00077","Station","Gedser","54.5791","11.9253"
"DK00079","Station","Gadstrup","55.5729","12.0996"
"DK00081","Station","Havdrup","55.5436","12.1172"
"DK00083","Station","Lille Skensved","55.5115","12.1405"
"DK00085","PassengerStop","Ølby","55.4806","12.1748"
"DK00086","Station","Køge","55.4573","12.1869"
"DK00089","Station","Herfølge","55.4177","12.1371"
"DK00091","Station","Tureby","55.3733","12.076"
"DK00093","Station","Haslev","55.3295","11.961"
"DK00095","Station","Holme-Olstrup","55.2611","11.8487"
"DK00097","PassengerStop","Næstved Nord","55.2482","11.7867"
"DK00099","Station","Lejre","55.6045","11.9712"
"DK00101","Station","Hvalsø","55.5953","11.8598"
"DK00103","Station","Tølløse","55.612","11.7731"
"DK00105","Station","Vipperød","55.6669","11.7388"
"DK00107","Station","Holbæk","55.7156","11.7082"
"DK00109","Station","Regstrup","55.6776","11.6127"
"DK00111","PassengerStop","Knabstrup","55.6648","11.5533"
"DK00112","Station","Mørkøv","55.6545","11.5018"
"DK00114","Station","Jyderup","55.6603","11.3979"
"DK00116","Station","Svebølle","55.6521","11.2925"
"DK00118","Junction","Værslev","55.6699","11.2074"
"DK00930","PassengerStop","Kalundborg Øst","55.676","11.124"
"DK00120","Station","Kalundborg","55.6777","11.0893"
"DK00122","Junction","København G","55.6533","12.535"
"DK00124","Junction","Vigerslev","55.6616","12.494"
"DK00127","PassengerStop","Ny Ellebjerg","55.653","12.515"
"DK00129","Junction","Svanemøllen","55.717","12.5705"
"DK00132","Junction","Østerport","55.6999","12.5923"
"DK00137","Station","Fredensborg","55.9771","12.4069"
"DK00139","PassengerStop","Langerød","55.9813","12.4522"
"DK00140","PassengerStop","Kvistgård","55.9905","12.5026"
"DK00141","PassengerStop","Mørdrup","56.002","12.5321"
"DK00142","Station","København H","55.6727","12.5657"
"DK00144","Station","Østerport","55.6937","12.5899"
"DK00147","Junction","Helgoland","55.7121","12.587"
"DK00149","PassengerStop","Nørreport","55.6837","12.5726"
"DK00150","Station","Hellerup","55.7311","12.5673"
"DK00153","Station","Klampenborg","55.7767","12.5888"
"DK00155","Station","Skodsborg","55.8235","12.5717"
"DK00157","PassengerStop","Vedbæk","55.8527","12.5625"
"DK00158","Station","Rungsted Kyst","55.8823","12.5317"
"DK00160","PassengerStop","Kokkedal","55.9036","12.5023"
"DK00161","Station","Nivå","55.9334","12.5064"
"DK00163","PassengerStop","Humlebæk","55.9635","12.5328"
"DK00164","PassengerStop","Espergærde","55.9959","12.5498"
"DK00165","Station","Snekkersten","56.0094","12.5839"
"DK00167","Station","Helsingør","56.0333","12.6141"
"DK00169","Junction","Bavnehøj","55.6573","12.5394"
"DK00171","Junction","Kalvebod","55.64","12.5498"
"DK00173","PassengerStop","Ørestad","55.6284","12.5792"
"DK00174","PassengerStop","Tårnby","55.6297","12.6018"
"DK00175","Station","Københavns Lufthavn Kastrup","55.6296","12.6522"
"EU00141","BorderPoint","Peberholm grænse","55.605923","12.738071"
"DK00181","Station","Fruens Bøge","55.3697","10.3775"
"DK00183","PassengerStop","Hjallese","55.3582","10.3927"
"DK00184","Station","Højby","55.3302","10.434"
"DK00186","Station","Årslev","55.3013","10.466"
"DK00188","PassengerStop","Pederstrup","55.2838","10.486"
"DK00189","Station","Ringe","55.2395","10.4818"
"DK00191","PassengerStop","Rudme","55.1983","10.4875"
"DK00192","Station","Kværndrup","55.1781","10.5188"
"DK00194","Station","Stenstrup","55.1322","10.509"
"DK00196","PassengerStop","Stenstrup Syd","55.1201","10.5152"
"DK00197","PassengerStop","Svendborg Vest","55.0559","10.5819"
"DK00198","Station","Svendborg","55.0589","10.612"
"DK00200","Junction","Hjulby","55.3378","10.7366"
"DK00202","Junction","Ullerslev","55.3544","10.6655"
