"id","extralabel","name","latitude","longitude"
"ESB7901","Junction","BIF. AIGUES","41.4558","2.1916"
"ESB7943","Junction","BIF. SAGRERA-AG.KM. 108,0","41.42785","2.20166"
"ESB8000","Junction","BIF. KM.231,5","42.89143","-2.16887"
"ESB8100","Junction","BIF. CASTILLA","42.6818","-2.958"
"ESB8801","Junction","BIF. VILANOVA","41.3946","2.1845"
"ESB9521","Junction","BIF. REBOLLEDO","40.3569","-3.6736"
"ESB9701","Junction","BIF. P. PIO","40.5106","-3.8674"
"ESB9811","Junction","BIF. VICALVARO-MERCANCIAS","40.438","-3.5632"
"ESCT712","Station","CENTRAL TERMICA","41.18159","-0.37085"
"EU00119","BorderPoint","P.K. 641,181 (FRONTERA) LINEA 100","43.35065","-1.78589"
"EU00124","BorderPoint","P.K. 124,235 (FRONTERA)","40.6057","-6.826"
"EU00122","BorderPoint","P.K. 50,707(FRONT)","42.44716","1.91449"
"EU00120","BorderPoint","P.K.274,305(FRONTERA) LINEA 270","42.43494","3.1597"
"ESXX001","Junction","FASA RENAULT","41.92779","-4.49629"
"ESXX003","Junction","MERCABARNA","41.32508","2.1456"
"ESXX004","Junction","GENERAL MOTORS","41.74732","-1.18591"
"ESXX005","Junction","TALLERES","41.34622","2.13405"
"ESXX006","Junction","MUSEO DELICIAS","40.39827","-3.69105"
"ESXX008","Junction","SEVILLA-CTT","37.39955","-5.96519"
"ESXX009","Junction","ENSIDESA","43.53403","-5.72992"
"ESXX010","Junction","EL MUSEL","43.55995","-5.70242"
"ESXX011","Junction","CENTRAL LECHERA","43.38769","-5.78284"
"ESXX012","Junction","AGUJA KM 8,640","40.34607","-3.69213"
"ESXX013","Junction","BIF. ENSIDESA","43.54434","-5.72566"
"ESXX014","Junction","BIF. PARQUE DE CARBONES","43.55269","-5.72506"
"ESXX015","Junction","CANTERA LUGONES","43.40504","-5.84087"
"ES00002","Station","VALSEQUILLO","38.41332","-5.34852"
"ES00005","SmallStation","PEÑARROYA-PUEBLONUEVO","38.2919","-5.2745"
"ES00006","Station","C. DE K.(ANTIGUA BELMEZ)","38.26299","-5.20812"
