"id","extralabel","name","latitude","longitude"
"FR9900003598","Junction","Technical change","46.509682","0.2345781"
"FR0000000915","Junction","Bif 566000/538310","46.4875176","0.2192658"
"FR0000001153","Junction","Bif 566000/538311","46.4903737","0.2209775"
"FR9900003643","Junction","Technical change","46.5121386","0.2412631"
"FR9900003637","Junction","Technical change","46.5033558","0.2203963"
"FR0000001594","Junction","Bif 566000/538315","46.5288817","0.2428547"
"FR0000001233","Junction","Bif 566000/570390","45.5596601","0.0635521"
"FR0000002070","Junction","Bif 566000/570385","45.8633059","0.1139491"
"FR0000006217","DepotOrWorkshop","Base maintenance de Villognon","45.8742074","0.1195721"
"FR0000000674","Junction","Bif 566000/570345","47.2072037","0.6572177"
"FR9900003623","Junction","Technical change","47.3270442","0.7384259"
"FR0000016394","DepotOrWorkshop","Base maintenance de Poitiers","46.6010738","0.3121106"
"FR0000001583","Junction","Bif 566000/570360","46.6690802","0.3554682"
"FR0000016395","DepotOrWorkshop","Base maintenance de Nouatre Maille","47.0190166","0.5648142"
"FR0000001730","Junction","Bif 566000/570380","45.9271116","0.1263567"
"FR9900003614","Junction","Technical change","44.9300095","-0.4927651"
"FR9900002157","Junction","Technical change","44.934928","-0.4749187"
"FR0000016393","DepotOrWorkshop","Base maintenance de Clerac","45.1827962","-0.2397392"
"FR0000000793","Junction","Bif 566000/570350","47.0566126","0.6017695"
"FR9900003634","Junction","Technical change","47.2429264","0.6453044"
"FR9900002118","Junction","Technical change","47.0398271","0.5858513"
"FR9900003654","Junction","Technical change","47.0308071","0.5880712"
"FR9900002099","Junction","Technical change","46.6255658","0.3512293"
"FR9900003627","Junction","Technical change","46.6177053","0.3530693"
"FR9900003644","Junction","Technical change","45.9140169","0.1252401"
"FR9900002184","Junction","Technical change","45.8418493","0.1093833"
"FR9900003591","Junction","Technical change","45.8307559","0.1191704"
"FR9900002092","Junction","Technical change","45.5846429","0.0748349"
"FR9900003607","Junction","Technical change","45.5942939","0.0958197"
"EU00132","BorderPoint","Technical change","46.713594","6.347762"
"FR0000016308","Station","Brest","48.3879298","-4.479243"
"FR0000015527","Junction","Accès à Faisceau HALLE","48.3885759","-4.4763847"
"FR0000009458","DepotOrWorkshop","Faisceau HALLE","48.3891393","-4.4731307"
"FR0000008462","TrainTechnicalServices","Poste MR de Brest (Technicentre Bretagne)","48.3891778","-4.4723604"
"FR0000001297","Junction","Bif 421300/421500/421501/421502","48.3865211","-4.4707355"
"FR0000006832","DepotOrWorkshop","Faisceau Pair","48.3893178","-4.4691122"
"FR0000016176","TechnicalChange","Fin de ligne","48.3877439","-4.4639084"
"FR0000016020","TechnicalChange","Fin de ligne","48.3879224","-4.4629873"
"FR9900004542","TechnicalChange","Fin de ligne","48.3884032","-4.4619212"
"FR0000008717","DepotOrWorkshop","Faisceau Port de Brest","48.3891411","-4.4604207"
"FR0000015927","TechnicalChange","Fin de ligne","48.3866331","-4.4452792"
"FR0000010091","Junction","Accès à Faisceau Impair","48.3981342","-4.430872"
"FR0000010090","Junction","Accès à Faisceau Impair","48.3980687","-4.4308379"
"FR0000005441","DepotOrWorkshop","Faisceau Impair","48.3988398","-4.4243183"
"FR0000003180","Station","Kerhuon","48.4096445","-4.3881628"
"FR0000007712","PrivateSiding","Pyrotechnie St-Nicolas","48.4108086","-4.3802954"
"FR0000003785","Station","La Forest","48.4263634","-4.3072437"
