"id","extralabel","name","latitude","longitude"
"IT00229","DomesticBorderPoint","SETTIMO TORINESE","45.1398382","7.7693301"
"IT17401","PrivateSiding","RACCORDO ENI","45.1749","7.7741"
"IT00880","Station","VOLPIANO","45.2004538","7.7796206"
"IT00881","Station","SAN BENIGNO","45.2184707","7.7821397"
"IT00882","Station","BOSCONERO","45.2184707","7.7821397"
"IT00883","Station","FELETTO","45.303853","7.744719"
"IT00884","Station","RIVAROLO CANAVESE","45.3284995","7.7240155"
"IT07244","Junction","PM 228","43.3526034","12.9465416"
"IT07007","PassengerTerminal","BASTIA","43.0713323","12.5477475"
"IT07902","PassengerStop","BELLANTE RIPATTONE","42.705772","13.8379609"
"IT07511","PassengerTerminal","CUPRAMARITTIMA","43.0234877","13.8608127"
"IT07020","Station","PERUGIA CAPITINI","43.1023077","12.3558696"
"IT07212","PassengerTerminal","GAIFANA","43.1818364","12.7841403"
"IT07301","SmallStation","MATELICA","43.2539433","13.0150804"
"IT07107","PassengerTerminal","MAROTTA-MONDOLFO","43.7697356","13.1372669"
"IT07110","PassengerTerminal","MONTEMARCIANO","43.6513828","13.346471"
"IT07213","PassengerTerminal","NOCERA UMBRA","43.100661","12.7672126"
"IT07716","Junction","PM TEATINO","42.4144521","14.1761944"
"IT07505","PassengerStop","POTENZA PICENA MONTELUPONE","43.360176","13.6981374"
"IT07005","PassengerTerminal","PERUGIA PONTE S.GIOVANNI","43.0917985","12.4382383"
"IT07822","PassengerTerminal","PORTO DI VASTO","42.1685447","14.695968"
"IT08905","PassengerStop","RIVISONDOLI-PESCOCOSTANZO","41.8772946","14.079304"
"IT07804","PassengerTerminal","ROSETO DEGLI ABRUZZI","42.6778614","14.0153364"
"IT07312","PassengerStop","S.CLAUDIO","43.2873514","13.5327395"
"IT07514","SmallStation","PORTO D'ASCOLI","42.9127921","13.8968035"
"IT07113","Station","ANCONA","43.6077192","13.4976546"
"IT07411","PassengerTerminal","SELLA DI CORNO","42.3604666","13.1898774"
"IT07235","PassengerStop","S.LIBERATO","42.4788505","12.4430065"
"IT07807","PassengerTerminal","SILVI","42.5591106","14.1103554"
"IT07434","PassengerStop","SORGENTI DEL PESCHIERA","42.3642797","12.996969"
"IT07900","PassengerTerminal","TERAMO","42.6605458","13.7158763"
"IT07415","PassengerStop","L'AQUILA SASSA NUCLEO SVILUPPO","42.3637869","13.3124854"
"IT07426","PassengerStop","TIONE DEGLI ABRUZZI","42.2049086","13.642049"
"IT07218","PassengerTerminal","TREVI","42.8762073","12.7337199"
"IT08919","PassengerStop","CAMPO DI GIOVE-MONTE MAIELLA","41.9932642","14.069079"
"IT07824","PassengerTerminal","VASTO S.SALVO","42.0798329","14.739474"
"IT07408","PassengerTerminal","ANTRODOCO BORGO VELINO","42.4098525","13.0709585"
"IT07429","PassengerStop","CANETRA","42.3915833","13.0291623"
"IT07901","PassengerTerminal","CASTELLALTO CANZANO","42.6956428","13.7930232"
"IT07204","PassengerTerminal","CASTELPLANIO CUPRAMONTANA","43.481398","13.0847218"
"IT07102","PassengerTerminal","CATTOLICA S.GIOVANNI GABICCE","43.9599216","12.74509"
"IT07406","PassengerTerminal","CITTADUCALE","42.3877667","12.9426819"
"IT07225","Junction","GIUNCANO","42.6478028","12.6377006"
"IT07813","PassengerTerminal","FRANCAVILLA AL MARE","42.4213069","14.2880501"
"IT07556","PassengerStop","MARINO DEL TRONTO-FOLIGNANO","42.8443384","13.6329799"
"IT07414","Station","L'AQUILA","42.3510582","13.3849543"
"IT07554","PassengerStop","MONTEPRANDONE","42.8941797","13.8499841"
"IT07202","SmallStation","JESI","43.5201516","13.2513107"
"IT07217","Station","FOLIGNO","42.954267","12.7111086"
"IT07808","PassengerTerminal","MONTESILVANO","42.5161953","14.1517991"
"IT07502","PassengerStop","OSIMO CASTELFIDARDO","43.4970288","13.5472516"
"IT07811","PassengerStop","PESCARA PORTA NUOVA","42.4572907","14.2121382"
"IT07942","PassengerStop","SANSECONDO","43.400441","12.2375661"
"IT07430","PassengerStop","TERNI COSPEA","42.549617","12.6250719"
"IT07405","PassengerTerminal","RIETI","42.4059236","12.8625967"
"IT07000","PassengerStop","TUORO SUL TRASIMENO","43.1966301","12.0796067"
"IT07024","PassengerStop","COLLI DEL TRONTO","42.8670337","13.7482226"
"IT07232","PassengerStop","CANCELLI DI FABRIANO","43.3077939","12.8454438"
"IT07008","Station","ASSISI","43.0589213","12.5853097"
"IT07009","PassengerStop","CANNARA","43.0195907","12.628717"
"IT07422","PassengerTerminal","BEFFI","42.1973414","13.6607548"
"IT07407","PassengerTerminal","CASTEL S.ANGELO","42.3796672","13.0176098"
"IT07243","Junction","PM GALLERIA FOSSATO","43.2995013","12.7844415"
"IT07404","PassengerTerminal","CONTIGLIANO","42.4120694","12.7791433"
"IT07200","PassengerStop","CASTELFERRETTI-FALCONARA AEROPORTO","43.6072964","13.3575172"
"IT07555","PassengerStop","MALTIGNANO DEL TRONTO","42.8449103","13.6647267"
"IT07307","Station","MACERATA","43.2930928","13.4551654"
"IT07119","PassengerStop","MISANO ADRIATICO","43.977486","12.6971326"
"IT07310","PassengerTerminal","MONTECOSARO","43.2892934","13.6463765"
"IT07903","PassengerStop","NOTARESCO","42.7065052","13.8763442"
"IT07904","PassengerStop","MOSCIANO S.ANGELO","42.7103118","13.9085382"
"IT07815","SmallStation","ORTONA","42.3541914","14.4076865"
"IT07233","PassengerStop","PONTE PARRANO DI NOCERA UMBRA","43.1374328","12.7763797"
"IT07234","PassengerStop","PANTIERE DI CASTELBELLINO","43.5009386","13.1831095"
"IT07806","PassengerTerminal","PINETO ATRI","42.6077371","14.0690613"
"IT07600","PassengerTerminal","RAIANO","42.0979269","13.8090795"
"IT07114","PassengerStop","ANCONA STADIO","43.5661983","13.5206407"
"IT08912","PassengerStop","S.PIETRO AVELLANA-CAPRACOTTA","41.7697534","14.1998429"
"IT08906","SmallStation","ROCCARASO","41.8508306","14.0792844"
"IT07304","SmallStation","TOLENTINO","43.2145492","13.2904986"
"IT07417","PassengerStop","L'AQUILA S.GREGORIO","42.3270105","13.4910523"
"IT08555","PassengerStop","VILLA S.MICHELE","41.7448202","14.2388086"
"IT07210","Junction","JESI INTERPORTO","43.5664996","13.2970106"
"IT08908","PassengerStop","ALFEDENA-SCONTRONE","41.7382202","14.0446481"
"IT07224","PassengerTerminal","BAIANO DI SPOLETO","42.7262356","12.6636161"
"IT07712","Station","CHIETI","42.3568992","14.1381393"
"IT07420","PassengerTerminal","FAGNANO CAMPANA","42.250574","13.5627473"
"IT07207","PassengerTerminal","ALBACINA","43.3456897","12.9865019"
"IT07421","PassengerStop","FONTECCHIO","42.2228202","13.6044466"
"IT07311","PassengerStop","GAGLIOLE","43.220294","13.0752228"
"IT07403","PassengerTerminal","GRECCIO","42.4628674","12.777001"
"IT07710","PassengerTerminal","MANOPPELLO","42.3058398","14.0610471"
"IT07802","Station","GIULIANOVA","42.751674","13.9657283"
"IT07551","PassengerTerminal","OFFIDA CASTEL DI LAMA","42.8620688","13.7202774"
"IT07817","DomesticBorderPoint","S.VITO LANCIANO","42.3056917","14.4400948"
"IT07510","PassengerTerminal","PEDASO","43.0946854","13.8449027"
"IT07112","PassengerStop","PALOMBINA","43.6169957","13.4297116"
"IT07428","PassengerStop","POGGIO FIDONI","42.3958116","12.7954218"
"IT07601","PassengerStop","PRATOLA PELIGNA SUPERIORE","42.0804147","13.8722219"
"IT07101","Station","RICCIONE","43.9992117","12.6585577"
"IT07100","PassengerStop","RIMINI MIRAMARE","44.0303814","12.6181144"
"IT07707","PassengerTerminal","SCAFA S.VALENTINO-CARAMANICO TERME","42.2673304","13.9985088"
"IT08900","PassengerStop","SULMONA-INTRODACQUA","42.0382373","13.9215551"
"IT07706","PassengerTerminal","TORRE DEI PASSERI","42.2440182","13.9375223"
"IT07314","PassengerStop","MACERATA UNIVERSITA'","43.2881501","13.4720465"
"IT07306","PassengerStop","URBISAGLIA SFORZACOSTA","43.2574507","13.4169247"
"IT07026","PassengerStop","NEPEZZANO-PIANO D'ACCIO","42.6811356","13.7519093"
"IT07801","PassengerStop","TORTORETO LIDO","42.8045656","13.9389878"
"IT07437","FreightTerminal","INTERPORTO D'ABRUZZO","42.3308626","14.112699"
"IT07226","Station","TERNI","42.5707638","12.6510878"
"IT07423","PassengerStop","ACCIANO","42.1759922","13.7113415"
"IT07308","PassengerTerminal","CORRIDONIA MOGLIANO","43.281613","13.4776951"
"IT07435","PassengerStop","ANTRODOCO CENTRO","42.4153938","13.0761954"
"IT07550","Station","ASCOLI PICENO","42.8554684","13.5879329"
"IT07021","PassengerStop","CAMERANO ASPIO","43.5295706","13.5207223"
"IT07203","PassengerStop","MONTECAROTTO-CASTELBELLINO","43.4999942","13.1480937"
"IT07424","PassengerTerminal","MOLINA-CASTELVECCHIO SUBEQUO","42.1434713","13.7396419"
"IT07401","PassengerTerminal","MARMORE","42.5474943","12.715227"
"IT07416","PassengerTerminal","PAGANICA","42.3347537","13.4643146"
"IT07229","SmallStation","NERA MONTORO","42.4978528","12.4765811"
"IT07001","PassengerTerminal","PASSIGNANO SUL TRASIMENO","43.188327","12.1331271"
"IT08901","PassengerStop","PETTORANO SUL GIZIO","41.9745602","13.9650335"
"IT08915","PassengerStop","PESCOLANCIANO-CHIAUCI","41.6790042","14.3415713"
"IT07104","Station","PESARO","43.905995","12.9048435"
"IT07019","PassengerStop","PESCARA TRIBUNALE","42.4487598","14.2201792"
"IT07703","PassengerTerminal","POPOLI VITTORITO","42.1723497","13.8261443"
"IT07700","PassengerTerminal","PRATOLA PELIGNA","42.1024201","13.8763401"
"IT07410","PassengerTerminal","ROCCA DI CORNO","42.3881718","13.1439418"
"IT07557","PassengerStop","S.FILIPPO","42.8497824","13.5999387"
"IT07810","Station","PESCARA","42.4677815","14.2050529"
"IT07111","Station","FALCONARA MARITTIMA","43.6305609","13.3973727"
"IT07303","SmallStation","S.SEVERINO MARCHE","43.2299551","13.1834833"
"IT07205","PassengerTerminal","SERRA S.QUIRICO","43.4448749","13.0273997"
"IT08917","PassengerStop","SESSANO DEL MOLISE","41.6395938","14.3285134"
"IT07940","Station","CITTA' DI CASTELLO","43.4551424","12.2470244"
"IT07108","Station","SENIGALLIA","43.7162667","13.2216442"
"IT08913","PassengerStop","VASTOGIRARDI","41.7394815","14.2493267"
"IT07500","PassengerTerminal","VARANO","43.5747196","13.5234294"
"IT07961","Station","PONTE FELCINO","43.1314369","12.4368305"
"IT07963","Station","PISCILLE","43.0952257","12.4102924"
"IT07219","PassengerTerminal","CAMPELLO SUL CLITUNNO","42.8228174","12.7612473"
"IT08903","SmallStation","CAMPO DI GIOVE","42.0079685","14.0414827"
"IT07704","PassengerTerminal","BUSSI","42.1941479","13.8490768"
"IT07013","PassengerStop","PERUGIA SILVESTRINI","43.0813635","12.3513575"
"IT08910","PassengerTerminal","CASTEL DI SANGRO","41.7778259","14.1120447"
"IT07201","PassengerStop","CHIARAVALLE","43.5954899","13.3276463"
"IT07014","PassengerStop","MONTE MELINO","43.1063004","12.2497055"
"IT07209","PassengerTerminal","FOSSATO DI VICO GUBBIO","43.2837957","12.7572495"
"IT07003","PassengerTerminal","ELLERA CORCIANO","43.0946995","12.3185772"
"IT07230","PassengerTerminal","NARNI AMELIA","42.531276","12.5195853"
"IT07012","PassengerStop","OSPEDALICCHIO","43.0823647","12.5065759"
"IT07109","PassengerStop","MARZOCCA","43.6773475","13.2879201"
"IT07506","Station","CIVITANOVA MARCHE-MONTEGRANARO","43.3091529","13.7257891"
"IT07552","PassengerStop","SPINETOLI COLLI","42.8703181","13.7627961"
"IT07413","PassengerTerminal","SASSA TORNIMPARTE","42.3605578","13.2953359"
"IT07010","PassengerTerminal","SPELLO","42.9844063","12.6689014"
"IT07402","Junction","PM STRONCONE","42.5307752","12.6448173"
"IT07221","PassengerTerminal","SPOLETO","42.7481244","12.736138"
"IT07214","PassengerStop","VALTOPINA","43.056891","12.7550798"
"IT07025","PassengerStop","CHIETI-MADONNA DELLE PIANE","42.3722437","14.1428564"
"IT07018","SmallStation","FOSSACESIA-TORINO DI SANGRO","42.2371941","14.5220192"
"IT07313","PassengerStop","MACERATA FONTESCODELLA","43.2923936","13.4408272"
"IT07015","PassengerStop","ANCONA TORRETTE","43.6101031","13.4558115"
"IT08539","Station","SULMONA","42.0608373","13.9071499"
