"id","extralabel","name","latitude","longitude"
"LULs   ","PassengerStop","Luxembourg-Sud","49.47268","6.07943"
"LUSc   ","PassengerStop","Sandweiler-Contern","49.59899","6.212675"
"LUSr2  ","Junction","Schieren Ligne 2","49.8294","6.0949"
"LURT-R ","FreightTerminal","Réseau tertiaire - Rodange","5.832","49.551"
"LURT-Bu","FreightTerminal","Réseau tertiaire - Site Belval","5.952","49.498"
"LURT-D ","FreightTerminal","Réseau tertiaire - Site Differdange","5.8963","49.5347"
"LUPf-K ","PassengerStop","Pfaffenthal-Kirchberg","49.619","6.133"
"LUMe   ","Junction","Mecher","50.03511","6.01155"
"EU00099","BorderPoint","Rodange frontière francaise","49.5433","5.8106"
"LURt   ","PassengerStop","Roodt","49.6663","6.303"
"LUSchb ","Junction","Scheuerbusch","49.5105","6.0311"
"LUSg   ","PassengerStop","Schifflange","49.5063","6.0094"
"LUSy   ","Station","Syren","49.5697","6.2208"
"LUWf   ","PassengerStop","Walferdange","49.6619","6.1363"
"LUWk   ","Station","Wecker","49.7","6.3863"
"LUWw   ","Station","Wilwerwiltz","49.9883","6.0002"
"LUMn   ","PassengerStop","Manternach","49.7063","6.4233"
"LUMl   ","PassengerStop","Maulusmuhle","50.0941","6.0258"
"EU00098","BorderPoint","Rodange frontière B A","49.5518","5.8106"
"LUMk   ","PassengerStop","Merkholtz","49.9566","5.9816"
"LUNz   ","Station","Noertzange","49.508","6.0508"
"LUOk   ","PassengerStop","Oberkorn","49.51039","5.891326"
"LUOe   ","Station","Oetrange","49.6025","6.258"
"EU00102","BorderPoint","Bettembourg frontière","49.4720532","6.1078419"
"LUBi   ","FreightTerminal","Bissen","49.7884","6.069314"
"LUCp   ","PassengerStop","Capellen","49.6383","5.9822"
"LUCs   ","PassengerStop","Cents-Hamm","49.61521","6.166666"
"LUDm   ","Station","Dommeldange","49.6338","6.1363"
"LUEs   ","Station","Esch-sur-Alzette","49.4938","5.9855"
"LUF    ","TechnicalChange","Fentange","49.5655","6.1455"
"LUGb   ","Station","Goebelsmuhle","49.9211","6.053"
"LUBt-M ","FreightTerminal","Bettembourg-Marchandises","49.4938","6.1088"
"LUBt-V ","Station","Bettembourg-Voyageurs","49.5161","6.1011"
"LUR    ","Station","Rodange (secteur)","49.551","5.8433"
"LUBb   ","Junction","Brucherberg","49.50095","6.038632"
"LUCv   ","Station","Clervaux","50.0613","6.0247"
"LUDr   ","Station","Dippach-Reckange","49.5725","5.9951"
"LUDb   ","PassengerStop","Dudelange-Burange","49.4925","6.0862"
"LUEb   ","Station","Ettelbruck","49.8472","6.1066"
"LUF-S6 ","PassengerStop","Fentange Sud (ligne 6)","49.5585","6.1445"
"LUHd   ","PassengerStop","Heisdorf","49.6752","6.1391"
"LUL    ","Station","Luxembourg","49.5997","6.1347"
"LULh   ","Station","Luxembourg secteur Hollerich","49.59562","6.120597"
"LUM    ","Station","Mersch","49.7516","6.1102"
"LUMt   ","PassengerStop","Mertert","49.70311","6.479957"
"LUMc   ","PassengerStop","Michelau","49.8966","6.0919"
"LUBd   ","Junction","Burden","49.8764","6.1054"
"LUCu   ","FreightTerminal","Colmar-Usines","49.8078","6.0926"
"LUCt   ","PassengerStop","Cruchten","49.7961","6.1197"
"LUDk   ","Station","Diekirch","49.8647","6.1536"
"LUDi   ","PassengerStop","Differdange (PA)","49.52239","5.89157"
"LUDf   ","PassengerStop","Drauffelt","50.01685","6.007209"
"LUDc   ","PassengerStop","Dudelange-Centre","49.4788","6.0822"
"LUDu   ","Station","Dudelange-Usines","49.4726","6.0794"
"LUDv   ","PassengerStop","Dudelange-Ville","49.4834","6.083"
"EU00100","BorderPoint","Esch-frontière","49.4859","5.9688"
"LUHo   ","PassengerStop","Howald","49.5803","6.1323"
"LUKt   ","Station","Kautenbach","49.9486","6.0222"
"LUKa   ","PassengerStop","Kayl","49.4857","6.0352"
"LUKb   ","Station","Kleinbettingen","49.64389","5.917409"
"EU00096","BorderPoint","Kleinbettingen frontière","49.6437","5.9042"
"LULm   ","PassengerStop","Lamadelaine","49.5533","5.8608"
"LULg   ","FreightTerminal","Langengrund","49.4656","6.0101"
"LULd   ","PassengerStop","Leudelange","49.5869","6.0581"
"LULi   ","PassengerStop","Lintgen","49.7211","6.1227"
"LULiv  ","PassengerStop","Livange","49.5301","6.118"
"LULr   ","Station","Lorentzweiler","49.69845","6.140221"
"LULt   ","FreightTerminal","Luxembourg-Triage","49.5898","6.1341"
"LUMr   ","Station","Mamer","49.6255","6.02"
"LUMr-L ","PassengerStop","Mamer-Lycée","49.6183","6.0297"
"LUAu   ","PassengerStop","Audun-le-Tiche","49.4783","5.9582"
"LUBa   ","Station","Bascharage-Sanem","49.55853","5.925093"
"LUBLy  ","PassengerStop","Belval-Lycée","49.5015","5.934"
"LUBr   ","PassengerStop","Belval-Rédange","49.5029","5.9239"
"LUBUn  ","PassengerStop","Belval-Université","49.4998","5.9458"
"LUBu   ","FreightTerminal","Belval-Usines","49.4958","5.9586"
"LUBs   ","Station","Belvaux-Soleuvre","49.515","5.9259"
"LUBc   ","Station","Berchem","49.5425","6.1336"
"LUBc-E ","Junction","Berchem Est","49.5575","6.1547"
"LUBc-N ","Junction","Berchem Nord","49.5525","6.1418"
"LUBtr  ","Station","Bertrange-Strassen","49.6125","6.0608"
"LUBz   ","PassengerStop","Betzdorf","49.6888","6.3486"
"LUD    ","Station","Differdange (gare)","49.5224","5.8916"
"LUF-S4 ","Junction","Fentange Sud (ligne 4)","49.5607","6.1457"
"LUNk   ","PassengerStop","Niederkorn","49.5372","5.8944"
"LUPa   ","PassengerStop","Paradiso","49.96537","5.952986"
"LUP    ","Station","Pétange","49.5541","5.8786"
"LURu   ","Station","Rumelange","49.46","6.032504"
"LUSr   ","PassengerStop","Schieren","49.8291","6.095"
"LUSw   ","PassengerStop","Schouweiler","49.5734","5.9598"
"LUTg   ","Station","Tétange","49.4774","6.0348"
"LUTv   ","Station","Troisvierges","50.11924","5.9909"
"LUVm   ","PassengerStop","Volmerange-les-Mines","49.4567","6.079"
"LUW    ","Station","Wasserbillig","49.7127","6.4991"
"EU00009","BorderPoint","Wasserbillig frontière","49.7138","6.5066"
"LUWz   ","Station","Wiltz","49.9666","5.9283"
"LUMb   ","PassengerStop","Munsbach","49.6305","6.2683"
"EU00097","BorderPoint","Rodange frontière B Aub","49.5518","5.825"
"LUP130 ","Junction","Déviation vers 6h","49.5506","5.8372"
"LUxx2  ","PassengerStop","Merkholtz Poste de block","49.62556","6.02"
"EU00095","BorderPoint","Troisvierges frontière","50.173","5.9653"
"LUCb   ","PassengerStop","Colmar-Berg","49.81487","6.101789"
