"id","extralabel","name","latitude","longitude"
"EU00001","BorderPoint","Nieuweschans Grens","53.189","7.21112"
"EU00002","BorderPoint","Oldenzaal Grens","52.3105","7.04085"
"EU00003","BorderPoint","Enschede Grens","52.2194","6.98072"
"EU00005","BorderPoint","Venlo grens","51.3423","6.19319"
"EU00006","BorderPoint","Haanrade grens","50.8815","6.08651"
"EU00090","BorderPoint","Roosendaal grens","51.46913","4.448921"
"EU00091","BorderPoint","Budel grens","51.247263","5.555298"
"EU00092","BorderPoint","Maastricht grens","50.880098","5.666877"
"EU00093","BorderPoint","Eijsden grens","50.758825","5.703065"
"EU00094","BorderPoint","Sas van Gent grens","51.210866","3.79983"
"NLAEG","Junction","Amsterdam erasmusgracht","52.3781","4.8373"
"NLAH","PassengerTerminal","Arnhem Centraal","51.9847","5.9015"
"NLAKM","SmallStation","Akkrum","53.0476","5.8432"
"NLALM","Station","Almere Centrum","52.3751","5.2181"
"NLALMMO","Switch","Almere Muziekwijk overloopw.","52.3603","5.1748"
"NLALMO","Station","Almere Oostvaarders","52.4033","5.3006"
"NLAMF","Station","Amersfoort","52.1535","5.371"
"NLAMFPON","SmallStation","Amersfoort racc. PON","52.1323","5.4032"
"NLAML","Station","Almelo","52.358","6.654"
"NLAMLBP","Switch","Almelo racc. Bedrijvenpark NW Twente","52.3796","6.6231"
"NLANA","SmallStation","Anna Paulowna","52.8674","4.8112"
"NLAPD","Station","Apeldoorn","52.2092","5.9718"
"NLAPDVAM","SmallStation","Apeldoorn VAM","52.1905","5.9829"
"NLAPG","SmallStation","Appingedam","53.3259","6.8626"
"NLAPN","Station","Alphen aan de Rijn","52.1246","4.6573"
"NLASD","PassengerTerminal","Amsterdam Centraal","52.3791","4.9008"
"NLASDL","SmallStation","Amsterdam Lelylaan","52.3579","4.834"
"NLASDM","Station","Amsterdam Muiderpoort","52.3597","4.9331"
"NLASDZO","Station","Amsterdam Zuid overloopwissels","52.3385","4.8636"
"NLASN","Station","Assen","52.9921","6.5712"
"NLASRA","Junction","Amsterdam Riekerpolder aansl.","52.3385","4.8258"
"NLASS","Station","Amsterdam Sloterdijk","52.3891","4.8374"
"NLAT","FreightTerminal","Acht","51.4733","5.4267"
"NLATN","SmallStation","Aalten","51.9213","6.5786"
"NLAVAT","Station","Amersfoort Vathorst","52.1927","5.434"
"NLBDE","SmallStation","Bunde","50.897","5.7366"
"NLBDG","SmallStation","Bodegraven","52.0815","4.7461"
"NLBDM","SmallStation","Bedum","53.3068","6.5919"
"NLBET","Switch","Best overloopw.","51.5235","5.3766"
"NLBF","SmallStation","Baflo","53.3609","6.5188"
"NLBGK","Switch","Beugen kruispunt","51.6891","5.9015"
"NLBGN","SmallStation","Bergen op Zoom","51.4949","4.2962"
"NLBHDV","SmallStation","Boven Hardinxveld","51.8325","4.8795"
"NLBHV","SmallStation","Bilthoven","52.1302","5.2047"
"NLBK","SmallStation","Beek-Elsloo","50.9471","5.7859"
"NLBKD","ShuntingYard","Amersfoort Bokkeduinen","52.1558","5.3542"
"NLBKG","SmallStation","Bovenkarspel-Grootebroek","52.6951","5.2374"
"NLBKH","TrainTechnicalServices","Den Haag Binckhorst","52.0732","4.3394"
"NLBKP","Junction","Blauwkapel","52.1123","5.1356"
"NLBL","SmallStation","Beilen","52.855","6.5213"
"NLBLOA","Junction","Blauwkapel Oost aansl.","52.1186","5.1614"
"NLBNVA","SmallStation","Barneveld aansl.","52.1622","5.5922"
"NLBON","SmallStation","Born","51.0437","5.8051"
"NLBOT","Junction","Botlek","51.8694","4.3097"
"NLBP","SmallStation","Buitenpost","53.2564","6.146"
"NLBR","Station","Blerick","51.3723","6.1553"
"NLBRDV","Junction","Barendrecht Vork","51.8657","4.5292"
"NLBRGND","Switch","Betuweroute Giessendam","51.8362","4.8237"
"NLBRN","Station","Baarn","52.2081","5.2817"
"NLBRPPD","Switch","Betuweroute Papendrecht","51.8411","4.7086"
"NLBSD","SmallStation","Beesd","51.8995","5.196"
"NLBSK","SmallStation","Boskoop","52.0773","4.6467"
"NLBTL","Station","Boxtel","51.5842","5.3193"
"NLBV","Station","Beverwijk","52.4787","4.6568"
"NLCK","Station","Cuijk","51.727","5.874"
"NLCO","SmallStation","Coevorden","52.663","6.7355"
"NLCR","SmallStation","Crailoo","52.2581","5.1659"
"NLDB","Station","Driebergen-Zeist","52.0653","5.2585"
"NLDDM","Switch","De Diem overloopw.","52.3369","4.9875"
"NLDDN","SmallStation","Delden","52.2601","6.7146"
"NLDDR","Station","Dordrecht","51.8073","4.6675"
"NLDDRS","SmallStation","Dordrecht Stadspolders","51.8019","4.7169"
"NLDDV","Switch","Dedemsvaart","52.5878","6.224"
"NLDGOK","Switch","Dijksgracht Kattenburg overloopw. (Amsterdam)","52.3751","4.9256"
"NLDHSA","Junction","Delfshaven Schiebrug aansl.","51.9224","4.4409"
"NLDID","SmallStation","Didam","51.9336","6.1334"
