"id","extralabel","name","latitude","longitude"
"SECst","Station","Stockholms central","59.33","18.0573"
"SEG","Station","Göteborg Central","57.7089","11.9739"
"SEHbgb","ShuntingYard","Helsingborgs godsbangård","56.0271","12.7219"
"SEHrbg","ShuntingYard","Hallsbergs rangerbangård","59.0587","15.0593"
"SEJögb","ShuntingYard","Jönköpings godsbangård","57.7641","14.1732"
"SEMgb","ShuntingYard","Malmö godsbangård","55.622","13.051"
"SESär","ShuntingYard","Sävenäs rangerbangård","57.7301","12.0462"
"SETm","ShuntingYard","Tomteboda bangård","59.3457","18.0203"
"SEVåv","ShuntingYard","Västerås västra","59.5956","16.5077"
"SEÅggb","ShuntingYard","Ånge godsbangård","62.5254","15.6428"
"SEA","SmallStation","Alingsås","57.9269","12.5322"
"SEAal","Junction","Annedal","56.1276","12.9296"
"SEAb","SmallStation","Arbrå","61.471","16.3798"
"SEAgb","Junction","Agnesberg","57.7811","12.0071"
"SEAgg","Junction","Algutsgården","57.9881","12.6519"
"SEAhm","Junction","Aleholm","57.3982","14.6635"
"SEAjr","SmallStation","Arvidsjaur","65.5887","19.1685"
"SEAk","SmallStation","Abisko östra","68.3486","18.8303"
"SEAl","Junction","Arlöv","55.6339","13.0684"
"SEAlh","SmallStation","Alvhem","58.0108","12.1577"
"SEAlä","Junction","Almnäs","59.1694","17.5078"
"SEAm","Junction","Almedal","57.684","12.004"
"SEAmk","Junction","Arnemark","65.4913","21.2179"
"SEAn","Junction","Arvån","64.5584","19.003"
"SEAnö","Junction","Anundsjö","63.4266","18.1438"
"SEAp","Junction","Aspeå","63.3877","17.5136"
"SEApd","Junction","Aplared","57.6512","13.0744"
"SEApt","Junction","Aptas","67.7641","20.4434"
"SEAr","SmallStation","Arvika","59.6536","12.5908"
"SEAra","Junction","Arnäsvall","63.308","18.7859"
"SEArb","SmallStation","Arboga","59.3972","15.8405"
"SEArnc","SmallStation","Arlanda central","59.6491","17.9285"
"SEArne","Junction","Arlanda nedre","59.6327","17.9231"
"SEArnn","SmallStation","Arlanda norra","59.6515","17.9298"
"SEArns","SmallStation","Arlanda södra","59.6468","17.9283"
"SEAtp","Junction","Attarp","56.1372","13.8487"
"SEAv","SmallStation","Alvesta","56.898","14.5562"
"SEAva","SmallStation","Avaviken","65.6051","18.6509"
"SEAvky","SmallStation","Avesta Krylbo","60.1295","16.2161"
"SEAx","Junction","Axmarby","61.0074","17.1136"
"SEAy","Junction","Alby","62.4901","15.4747"
"SEAä","Junction","Alväng","59.379","15.566"
"SEB","Junction","Björnlunda","59.0656","17.1547"
"SEBaa","SmallStation","Barkåkra","56.2937","12.8246"
"SEBaö","Junction","Backsjön","63.3247","17.2995"
"SEBbe","Junction","Blyberg","61.1533","14.1378"
"SEBdn","SmallStation","Boden central","65.8288","21.7081"
"SEBdo","Junction","Broddbo","59.9869","16.4819"
"SEBds","Junction","Bodens södra","65.8255","21.6474"
"SEBe","Junction","Backe","63.8073","16.4269"
"SEBen","Junction","Bredviken","65.8374","23.2332"
"SEBet","Junction","Bruksberget","66.0036","22.7136"
"SEBf","SmallStation","Brunflo","63.076","14.8326"
"SEBfo","SmallStation","Billingsfors","58.982","12.2497"
"SEBfs","Junction","Bergfors","68.1473","19.7827"
"SEBg","SmallStation","Berga","57.2165","16.0334"
"SEBgs","Junction","Bryngenäs","57.8978","12.4876"
"SEBgv","Junction","Bälgviken","59.2527","16.4606"
"SEBhb","SmallStation","Bräkne-Hoby","56.2314","15.1161"
"SEBhs","SmallStation","Bohus","57.864","12.0196"
"SEBia","Junction","Birsta","62.4471","17.3126"
"SEBib","SmallStation","Billeberga","55.8838","12.9958"
"SEBih","SmallStation","Billesholm","56.0564","12.9768"
"SEBj","Junction","Björna","63.5514","18.5969"
"SEBja","Junction","Bjästa","63.2116","18.4445"
"SEBjb","Junction","Björneborg","59.2444","14.2504"
"SEBjh","Junction","Bjurhem","58.4285","12.2801"
"SEBjm","SmallStation","Bjärnum","56.2929","13.7041"
"SEBjn","Junction","Björnkulla","59.2038","17.9286"
"SEBjuv","SmallStation","Bjuv","56.0826","12.9111"
"SEBjö","Junction","Björnsjö","63.5077","18.4603"
"SEBkb","SmallStation","Barkarby","59.4054","17.8637"
"SEBld","Junction","Blädinge","56.8415","14.5044"
"SEBlgc","SmallStation","Borlänge central","60.4829","15.4255"
"SEBln","SmallStation","Björkliden","68.4084","18.6864"
"SEBlv","SmallStation","Burlöv","55.6409","13.0804"
"SEBma","SmallStation","Blomstermåla","56.9807","16.3321"
"SEBml","SmallStation","Bromölla","56.0672","14.4816"
"SEBmo","Junction","Båramo","57.4536","14.0907"
"SEBn","SmallStation","Bollnäs","61.3495","16.3917"
"SEBna","Junction","Brunna","59.8614","17.4289"
"SEBoa","SmallStation","Borgstena","57.883","13.0148"
"SEBoda","Junction","Boda","61.5905","17.0081"
"SEBof","SmallStation","Bofors","59.3333","14.5469"
"SEBom","Junction","Bomansberget","60.6508","17.2418"
"SEBor","SmallStation","Bor","57.1161","14.1686"
"SEBorn","Junction","Born","61.1353","14.643"
"SEBoy","SmallStation","Bollebygd","57.6675","12.57"
"SEBp","Junction","Brännarp","56.7881","12.7281"
"SEBra","Junction","Brista","59.61","17.8672"
"SEBrd","Junction","Brännland","63.8806","20.0566"
"SEBre","Junction","Bränninge","59.1405","17.6352"
"SEBrg","Junction","Brännberg","65.7831","21.2257"
"SEBrh","SmallStation","Brattheden","59.788","16.1811"
"SEBrl","Junction","Brålanda","58.56","12.349"
"SEBrn","Junction","Brånan","62.6938","14.409"
"SEBrny","Junction","Bro Nygård","59.4977","17.672"
"SEBro","SmallStation","Bro","59.5123","17.633"
"SEBrs","Junction","Brattsbacka","63.7848","19.1858"
"SEBry","SmallStation","Bankeryd","57.8604","14.1282"
"SEBrå","Junction","Bjurå","66.0356","22.1495"
"SEBsb","Junction","Bensjöbacken","62.7036","15.4543"
"SEBsc","SmallStation","Borås central","57.7203","12.931"
"SEBsd","Junction","Brunnsgård","57.4226","15.1069"
"SEBsg","SmallStation","Bispgården","63.0287","16.6209"
"SEBst","SmallStation","Bastuträsk","64.789","20.0415"
"SEBsä","SmallStation","Bjärka-Säby","58.2706","15.7528"
"SEBt","Junction","Baggetorp","59.0096","16.0649"
"SEBtb","Junction","Brattby","63.911","19.8816"
"SEBtp","Junction","Biskopstorp","56.7496","12.8589"
"SEBtå","Junction","Betåsen","63.552","16.8137"
"SEBu","Junction","Brunsbergstunneln","59.6224","12.9466"
"SEBud","Junction","Buddbyn","65.863","21.7084"
"SEBva","Junction","Barva","59.3434","16.7928"
"SEBvr","Junction","Blackvreten","59.6076","17.9076"
"SEBx","SmallStation","Boxholm","58.1929","15.0536"
"SEBy","Junction","Byvalla","60.347","16.4163"
"SEByä","Junction","Byälven","59.1386","12.9221"
"SEBål","SmallStation","Bålsta","59.5694","17.5319"
"SEBån","SmallStation","Båstad norra","56.4308","12.9052"
"SEBä","SmallStation","Bräcke","62.75","15.4176"
"SEBäb","SmallStation","Bäckebron","59.661","13.1662"
"SEBäf","Junction","Bäckefors","58.8043","12.1593"
"SEBög","Junction","Brännögård","57.0055","13.1008"
"SEBön","Junction","Bodsjön","62.8146","15.4213"
"SEBöo","SmallStation","Björbo","60.4531","14.7288"
"SECas","Junction","Callans såg","62.5135","15.993"
"SECg","SmallStation","Charlottenberg","59.8831","12.2993"
"SECk","SmallStation","Karlskrona central","56.1671","15.5853"
"SECr","SmallStation","Kristianstads central","56.0322","14.1508"
"SECrgb","Junction","Kristianstad GBG","56.0412","14.1569"
"SECrs","Junction","Kristianstads södra","56.0217","14.1631"
"SED","Junction","Degerön","58.7015","15.1518"
"SEDat","Junction","Dammstorp","55.8019","13.2832"
"SEDbn","Junction","Degerbäcken","65.8395","21.4018"
"SEDg","SmallStation","Degerfors","59.2289","14.4404"
"SEDgm","Junction","Degermyr","63.8719","19.6059"
"SEDgn","Junction","Dalgränsen","60.3828","16.4535"
"SEDgö","Junction","Daglösen","59.6421","14.1914"
"SEDiö","Junction","Diö norra","56.6361","14.2211"
"SEDj","SmallStation","Dala-Järna","60.5477","14.3627"
"SEDk","Junction","Dockmyr","62.9546","15.739"
"SEDl","SmallStation","Dingle","58.5296","11.5791"
"SEDld","SmallStation","Dals Långed","58.9234","12.3062"
"SEDma","Junction","Dannemora","60.1961","17.848"
"SEDmn","Junction","Domnarvet","60.4937","15.4458"
"SEDn","Junction","Dagarn","59.9081","15.7171"
"SEDns","Junction","Dynäs","62.9663","17.7377"
"SEDrt","Junction","Dals Rostock","58.7135","12.3553"
"SEDt","SmallStation","Dingtuna","59.5716","16.3898"
"SEDta","SmallStation","Dorotea","64.2582","16.4059"
"SEDu","SmallStation","Duved","63.3898","12.9175"
"SEDuo","Junction","Duvbo","59.3707","17.9322"
"SEDy","Junction","Dysjön","62.628","15.5155"
"SEDån","Junction","Dånviken","59.1899","17.7143"
"SEDöe","Junction","Drömme","63.2505","18.2202"
"SEDöl","Junction","Döljebro","60.994","16.6869"
"SEE","SmallStation","Eslöv","55.8377","13.3054"
"SEEa","Junction","Eldsberga","56.5909","12.9981"
"SEEbg","Junction","Enstaberga","58.751","16.8491"
"SEEby","Junction","Ekeby","59.7769","17.7553"
"SEEd","SmallStation","Ed","58.9135","11.9329"
"SEEi","SmallStation","Erikslund","62.5274","15.9126"
"SEEk","SmallStation","Eksjö","57.6638","14.9754"
"SEEko","Junction","Ekolsund","59.6141","17.3702"
"SEEl","Junction","Edsvalla","59.4358","13.2126"
"SEEm","SmallStation","Emmaboda","56.6298","15.5349"
"SEEn","SmallStation","Edane","59.6268","12.8293"
"SEEns","SmallStation","Enafors","63.2898","12.3373"
"SEEp","SmallStation","Enköping","59.6446","17.0887"
"SEEr","Junction","Ervalla","59.417","15.2476"
"SEEra","Junction","Eneryda","56.7079","14.3397"
"SEErk","Junction","Erikstad","58.6314","12.4106"
"SEEsn","SmallStation","Ekenässjön","57.4905","15.0189"
"SEEt","SmallStation","Eskilstuna central","59.3694","16.5055"
"SEEtk","Junction","Ekträsk","64.4962","19.8096"
"SEF","SmallStation","Falköpings central","58.1757","13.552"
"SEFa","Junction","Finnerödja","58.9262","14.4429"
"SEFabg","Junction","Falkenbergs godsstation","56.9016","12.4875"
"SEFabp","SmallStation","Falkenberg personstation","56.9195","12.5087"
"SEFal","SmallStation","Falerum","58.1436","16.2072"
"SEFas","SmallStation","Farsta strand","59.2367","18.1041"
"SEFax","Junction","Faxån","63.3508","14.2638"
"SEFb","Junction","Forsbacka","60.6397","16.8885"
"SEFby","SmallStation","Floby","58.1387","13.3322"
"SEFd","SmallStation","Floda","57.81","12.3615"
"SEFdf","Junction","Frändefors","58.4943","12.2797"
"SEFeb","SmallStation","Fellingsbro","59.4328","15.595"
"SEFeö","SmallStation","Fågelsjö","61.8016","14.6821"
"SEFfs","Junction","Finnforsfallet","64.7774","20.3331"
"SEFg","Junction","Finspång","58.7072","15.7755"
"SEFgc","SmallStation","Fagersta central","59.9905","15.8155"
"SEFgl","Junction","Fågelsta","58.4586","15.0394"
"SEFgå","SmallStation","Fagerås","59.5198","13.2182"
"SEFgö","Junction","Fångsjöbacken","63.054","16.781"
"SEFhm","SmallStation","Forshem","58.6181","13.4918"
"SEFi","Junction","Fiskeby","58.6051","16.1239"
"SEFil","Junction","Fillan","62.4262","17.382"
"SEFin","Junction","Finja","56.1697","13.6955"
"SEFjå","SmallStation","Fjällåsen","67.5194","20.0937"
"SEFki","SmallStation","Fjälkinge","56.0414","14.2981"
"SEFkr","SmallStation","Fåker","62.9932","14.5744"
"SEFl","Junction","Flädie","55.7237","13.074"
"SEFlb","SmallStation","Flemingsberg","59.2193","17.9478"
"SEFle","SmallStation","Flen","59.0569","16.5853"
"SEFln","SmallStation","Falun central","60.6032","15.6417"
"SEFlp","Junction","Flackarp","55.6867","13.1581"
"SEFls","Junction","Flisby","57.7877","14.8007"
"SEFm","SmallStation","Forserum","57.6979","14.4741"
