"source","target","sectionlength"
"CH01606","CH15310","3.809"
"CH01401","CH01402","3.961"
"CH01203","CH19695","0.782"
"CH19698","CH01501","0.814"
"CH01405","CH01500","4.987"
"CH01300","CH01301","1.483"
"CH01127","CH15369","3.086"
"CH01126","CH01127","0.998"
"CH01440","CH01403","1.496"
"CH01604","CH16147","3.31"
"CH01121","CH19693","1.84"
"CH01402","CH01440","2.509"
"CH19695","CH01300","0.66"
"CH01610","CH01642","8.86"
"CH01123","CH01124","1.843"
"CH01302","CH01303","2.252"
"CH01303","CH01304","4.499"
"CH01200","CH01201","1.504"
"CH01304","CH01400","5.471"
"CH16882","CH01600","1.783"
"CH01201","CH01202","1.625"
"CH01500","CH19698","3.55"
"CH01122","CH01123","1.607"
"CH01403","CH01404","6.29"
"CH01501","CH01502","4.412"
"CH01503","CH01504","2.553"
"CH01609","CH01610","1.601"
"CH01505","CH01510","2.763"
"CH19697","CH01509","5.826"
"CH19440","CH01203","0.545"
"CH01602","CH01603","3.762"
"CH01508","CH19697","0.749"
"CH01605","CH01606","4.778"
"CH19693","CH01122","0.727"
"CH01124","CH01125","1.455"
"CH01120","CH15338","0.519"
"CH01125","CH19694","3.11"
"CH15338","CH01121","1.987"
"CH01510","CH01506","4.363"
"CH15369","CH01200","0.762"
"CH01603","CH01604","4.217"
"CH01202","CH19440","1.023"
"CH16147","CH15515","2.502"
"CH01600","CH01601","5.441"
"CH01504","CH01505","3.183"
"CH01502","CH01503","4.298"
"CH01509","CH16882","2.337"
"CH19694","CH01126","0.464"
"CH01506","CH01507","5.721"
"CH01642","CH15333","10.964"
"CH01404","CH01405","3.654"
"CH01400","CH01401","4.287"
"CH01601","CH18337","1.144"
"CH18337","CH01602","3.273"
"CH01507","CH01508","3.405"
"CH01301","CH01302","1.07"
"CH01641","CH01610","0.585"
"CH15310","CH01641","1.304"
"CH01610","CH01642","8.851"
"CH01642","CH15333","10.972"
"CH04013","CH04009","1.494"
"CH04015","CH04040","0.9"
"CH15369","CH04015","0.087"
"CH04040","CH04013","3.856"
"CH01425","CH01426","3.385"
"CH01436","CH01435","1.0"
"CH01438","CH01421","2.527"
"CH01435","CH01423","3.299"
"CH01422","CH01436","1.181"
"CH01426","CH01428","3.894"
"CH01424","CH01425","3.274"
"CH01421","CH01437","1.155"
"CH01423","CH01424","2.866"
"CH01428","CH15364","0.183"
"CH01437","CH01422","0.696"
"CH01420","CH01438","0.329"
"CH01440","CH01420","1.727"
"CH01035","CH01034","2.913"
"CH01008","CH01039","1.329"
"CH01024","CH01016","2.185"
"CH01022","CH01012","1.846"
"CH01047","CH01037","1.342"
"CH01040","CH01030","1.484"
"CH01033","CH01032","3.04"
"CH01021","CH15367","0.927"
"CH01018","CH01020","0.574"
"CH01036","CH01042","2.435"
"CH15323","CH15322","0.237"
"CH01012","CH01021","0.973"
"CH01017","CH01029","0.743"
"CH01042","CH01035","2.131"
"CH01023","CH01015","1.222"
"CH18452","CH15354","1.403"
"CH01020","CH10681","1.119"
"CH01118","CH15355","0.67"
"CH01147","CH15323","1.723"
"CH01027","CH10684","0.26"
"CH10684","CH01026","2.219"
"CH01046","CH01036","2.19"
"CH01039","CH01027","2.11"
"CH01011","CH01018","0.427"
"CH01013","CH01022","0.828"
"CH01045","CH15337","1.333"
"CH01015","CH01014","1.453"
"CH01037","CH01046","2.22"
"CH15367","CH01011","0.08"
"CH01029","CH01024","0.788"
"CH01031","CH01040","3.254"
"CH15645","CH01017","3.12"
"CH01034","CH01033","2.27"
"CH15354","CH01118","0.753"
"CH15355","CH01147","1.127"
"CH10681","CH16283","0.96"
"CH01014","CH01013","1.448"
"CH15337","CH15336","0.288"
"CH01139","CH15561","0.787"
"CH01120","CH01139","1.126"
"CH16283","CH01038","0.54"
"CH01032","CH01031","4.086"
"CH15336","CH01048","0.124"
"CH15561","CH18452","0.441"
"CH15322","CH01045","0.111"
"CH01048","CH01047","1.039"
"CH01007","CH15778","0.658"
"CH01001","CH01019","0.781"
"CH07549","CH01002","2.613"
"CH15778","CH01006","0.681"
"CH01028","CH01027","1.107"
"CH01027","CH01007","1.075"
"CH01003","CH07549","0.774"
"CH01006","CH01000","0.851"
"CH01002","CH01001","2.026"
"CH01000","CH01003","2.4"
"CH01039","CH01028","1.003"
"CH18336","CH17142","0.223"
"CH16273","CH16274","2.66"
"CH16174","CH18336","0.152"
"CH17141","CH16174","0.241"
"CH02622","CH16272","1.11"
"CH01041","CH16281","1.384"
"CH17142","CH02622","2.227"
"CH16272","CH16273","1.464"
"CH01039","CH01041","0.81"
"CH01028","CH01041","0.941"
"CH15355","CH15639","1.938"
"CH15639","CH15340","0.842"
"CH01150","CH18430","0.492"
"CH18430","CH15336","0.207"
"CH15640","CH15337","0.307"
"CH15341","CH15323","0.312"
"CH01148","CH15322","0.907"
"CH15639","CH15313","1.116"
"CH15355","CH15301","0.729"
"CH15301","CH15639","1.347"
"CH15341","CH01148","0.363"
"CH01049","CH15341","0.878"
"CH01128","CH15354","2.116"
"CH01139","CH01128","0.544"
"CH15355","CH15312","1.158"
"CH01108","CH01107","4.817"
"CH01117","CH01116","4.046"
"CH01107","CH01106","6.137"
"CH01116","CH01115","3.512"
"CH15312","CH01117","0.59"
"CH01105","CH15320","7.477"
"CH01115","CH01146","3.972"
"CH15320","CH01104","0.188"
"CH01104","CH01103","2.818"
"CH01146","CH15319","0.657"
"CH01106","CH01105","2.121"
"CH15319","CH01108","3.633"
"CH15320","CH01100","8.623"
"CH01102","CH01103","2.018"
"CH15355","CH15312","1.151"
"CH15758","CH04204","2.409"
"CH04206","CH04208","3.974"
"CH04201","CH04202","4.771"
"CH01113","CH15317","2.442"
"CH04200","CH04201","3.577"
"CH04204","CH04205","3.243"
"CH01112","CH01111","2.215"
"CH04228","CH04229","3.977"
"CH04229","CH15308","4.262"
"CH04205","CH04206","4.182"
"CH01110","CH15370","5.95"
"CH04241","CH04227","0.27"
"CH15327","CH01113","3.318"
"CH04209","CH04219","2.674"
"CH04208","CH04209","1.417"
"CH04224","CH04225","2.167"
"CH04202","CH04203","3.27"
"CH15319","CH01114","2.264"
"CH04226","CH04241","3.684"
"CH04220","CH15347","1.568"
"CH04227","CH04228","1.973"
"CH04242","CH04222","3.228"
"CH04222","CH04223","4.233"
"CH01111","CH01110","3.026"
"CH15347","CH04221","1.337"
"CH04223","CH04224","1.949"
"CH04225","CH04226","2.332"
"CH04203","CH15758","1.693"
"CH04219","CH04220","2.046"
"CH04339","CH04218","0.613"
"CH04214","CH04213","3.427"
"CH04219","CH04339","2.708"
"CH04212","CH04211","3.457"
"CH04211","CH04210","1.705"
"CH04215","CH15366","0.471"
"CH04213","CH04212","6.433"
"CH04216","CH04215","4.338"
"CH15366","CH04214","3.125"
"CH04217","CH04216","4.463"
"CH04218","CH04217","5.346"
"CH07000","CH15647","2.128"
"CH16154","CH04492","0.58"
"CH10020","CH04495","0.358"
"CH04492","CH04488","2.607"
"CH15334","CH16192","0.209"
"CH07080","CH10020","0.243"
"CH19633","CH18214","3.508"
"CH04486","CH04485","1.852"
"CH04483","CH04482","3.459"
"CH04484","CH04483","3.346"
"CH04481","CH04480","2.016"
"CH16192","CH04484","4.25"
"CH04485","CH15334","3.124"
"CH04482","CH04490","1.967"
"CH04495","CH04489","0.878"
"CH18214","CH04486","1.412"
"CH04490","CH04481","1.518"
"CH15647","CH07080","0.473"
"CH04488","CH04487","2.951"
"CH04487","CH19633","0.636"
"CH04480","CH04242","3.345"
"CH04230","CH04231","1.458"
"CH04231","CH04232","1.22"
"CH04232","CH15316","5.901"
"CH15316","CH04234","0.175"
"CH04321","CH04315","2.67"
"CH04314","CH04321","1.273"
"CH04235","CH04236","2.838"
"CH04316","CH04317","1.795"
"CH04237","CH04238","4.861"
"CH04317","CH04319","0.718"
"CH04236","CH04237","4.09"
"CH04315","CH04316","3.667"
"CH15314","CH04314","0.391"
"CH04238","CH15314","3.217"
"CH15316","CH04235","3.475"
"CH04311","CH04312","3.849"
"CH04312","CH04313","5.216"
"CH04310","CH19217","1.414"
"CH04302","CH04303","1.648"
"CH04301","CH04302","2.927"
"CH04343","CH04301","1.84"
"CH15358","CH04305","0.719"
"CH15308","CH04343","3.151"
"CH04309","CH04310","1.753"
"CH04304","CH15358","1.219"
"CH04306","CH04307","3.352"
"CH19217","CH04311","1.378"
"CH04307","CH04308","1.165"
"CH04308","CH04309","2.993"
"CH04313","CH15314","3.163"
"CH04305","CH04306","2.898"
"CH04303","CH04304","4.597"
"CH15358","CH00100","5.678"
"CH00105","CH00107","5.821"
"CH00135","CH00102","1.668"
"CH00102","CH00103","2.411"
