"source","target","sectionlength"
"DE00AFW","DE00AFR","1.5"
"DE00AFR","EU00059","5.4"
"DE000AF","DE00AFR","5.5"
"DE95014","DE00AHM","25.7"
"DEASBRN","DE0ASUE","6.7"
"DE0AKRH","DE00ASU","2.2"
"DE00AGF","DE00AEC","12.0"
"DEASBRS","DEASBRN","0.3"
"DE000AY","DE000AF","10.0"
"DE0ASUE","DE0ASOE","11.2"
"DE00ASU","DE00ANW","6.0"
"DE0ASOE","DE000AY","8.1"
"DE00AEC","DE00ARY","8.6"
"DE95017","DE0AKRH","2.2"
"DE00ARY","DEASBRS","4.6"
"DE00ANW","DE00AGF","5.5"
"DE00AKH","DE95017","0.5"
"DE0AKRU","DE00AME","2.6"
"DE0AFEB","DE0ABRB","5.3"
"DE95023","DE00AKH","0.1"
"DE95017","DE0AKRU","2.0"
"DE0ABRB","DE00ASC","8.2"
"DE000AK","DE95023","2.7"
"DE0AACW","DE0AFEB","1.3"
"DE00ASC","DE00AON","3.6"
"DE00AME","DE0AACW","4.6"
"DE00AAG","DE0APLN","6.4"
"DE0AKSS","DE00AKE","2.6"
"DE0APLN","DE0AMAG","9.3"
"DE00AEU","DE95028","0.5"
"DE0AMAG","DE00AEU","5.3"
"DE00AKE","DE00ARS","4.3"
"DE00ANN","DE00ANT","1.3"
"DE000AK","DE0AKSS","2.5"
"DE00ARS","DE00APZ","5.9"
"DE00APZ","DE00AAG","11.3"
"DE00AMR","DE95023","5.5"
"DE0AMRO","DE000AK","2.6"
"DE00AMR","DE0AMRO","2.0"
"DE0AMRO","DE0AKSS","0.9"
"DE00ANF","DE00AON","16.1"
"DE000AN","DE00ANF","14.2"
"DE0ARHB","DE000AR","7.4"
"DE95014","DE00ATP","11.9"
"DE00ASW","DE000AJ","11.0"
"DE00AON","DE0ARHB","1.5"
"DE00AFW","DE000AF","3.3"
"DE000AR","DE00AOS","11.5"
"DE00ATP","DE00AFW","10.9"
"DE000AJ","DE95014","0.6"
"DE00AOS","DE00ASW","13.0"
"DE0AHWT","DE0AODT","5.4"
"DE00AAU","DE0AHWT","8.9"
"DE0ABGS","DE00AGK","4.7"
"DE00AAL","DE00ANH","7.8"
"DE0ANSW","DE00AWA","4.4"
"DE00AWA","DE00AAU","7.5"
"DE0AODT","DE0ABGS","2.7"
"DE00AGK","DE0AHNU","3.6"
"DE0AHNU","DE00ABE","3.9"
"DE00ANH","DE00AHI","6.3"
"DE00ABE","DE00AAL","5.3"
"DE000AN","DE0ANSW","2.0"
"DE0ANSG","DE00ARL","12.5"
"DE00AFK","DE00ASB","3.8"
"DE0AWAH","DE00AFK","2.5"
"DE00AFN","DE000AO","4.3"
"DE000AN","DE0ANMG","0.7"
"DE00ARL","DE0AWAH","5.8"
"DE00ASB","DE00AAT","5.0"
"DE00AWK","DE00AFN","3.3"
"DE00AAT","DE00AWK","3.8"
"DE0ASTK","DE0ABUW","4.3"
"DE000AL","DE00AWR","4.7"
"DE0AHSG","DE00AGR","3.9"
"DE00ANN","DE0AHSG","5.4"
"DE0ASID","DE00ANN","3.7"
"DE00AOL","DE0AGOE","4.3"
"DE0ASCH","DE0ASCA","0.4"
"DE00AGR","DE0ABDF","3.3"
"DE0ASCA","DE0ARAT","4.1"
"DE00ALS","DE0AGHI","2.1"
"DE0ASAZ","DE0AHAF","4.3"
"DE0ARAT","DE0ATIM","5.2"
"DE0AGHI","DE00AOL","5.2"
"DE00AWR","DE0ASCH","1.3"
"DE95048","DE00APU","5.9"
"DE0AGOE","DE0ANEK","7.7"
"DE0AGRO","DE0ASTK","7.3"
"DE0ABDF","DE00ALS","3.3"
"DE0AHAF","DE0ASID","2.4"
"DE0ANEK","DE0AGRO","6.1"
"DE0ABUW","DE95048","0.5"
"DE0ATIM","DE0ASAZ","2.9"
"DE0ABUG","DE0ABUW","0.9"
"DE0ABUA","DE95048","0.8"
"DE00APN","DE00APF","7.7"
"DE00APF","DE0ASCA","7.3"
"DE95028","DE00APN","11.1"
"DE00ALD","DE0ALKN","4.3"
"DE0ALTK","DE0ALTH","1.4"
"DE0ALTH","DE0ALTS","1.0"
"DE00AWR","DE00ALD","3.4"
"DE0ALKR","DE0ALTK","4.0"
"DE0ALKN","DE0ALKR","1.3"
"DEALD A","DEALD G","0.7"
"DE00ARD","DE000AO","8.1"
"DE0ARAL","DE00AOW","2.8"
"DE0AAHR","DE0ARAL","9.2"
"DE00AOW","DE00AWN","3.8"
"DE0ABAE","DE0AAHG","4.5"
"DE95059","DE0ALRA","2.0"
"DE0AAHG","DE0AAHR","2.5"
"DE000AO","DE0AKUP","6.1"
"DE0AHSF","DE000AH","4.2"
"DE000AL","DE95059","0.5"
"DE0ALRA","DE00ARD","12.3"
"DE00AWN","DE0AHSF","1.5"
"DE0AKUP","DE0ABAE","5.4"
"DE00ARF","DE0AMLN","9.3"
"DE0APOF","DE00ARF","6.4"
"DE00ALB","DE0APOF","6.2"
"DE0ALRA","DE0ALHS","3.7"
"DE0AMLN","DE0AGUE","10.1"
"DE0ALHS","DE00ALB","2.9"
"DE0AGUE","DE95063","8.0"
"DE00WMA","DE0WRST","11.2"
"DE0ALRA","DE0ASTR","3.8"
"DE000WG","DE95080","0.4"
"DE0ASTR","DE0ALSJ","0.4"
"DE00WLF","DE0WSBG","8.1"
"DE0ALSJ","DE00WHB","3.8"
"DE00WLD","DE0WNWO","7.6"
"DE000WK","DE00WVE","8.3"
"DE00WBL","DE0WWRN","12.9"
"DE95080","DE00WPI","3.1"
"DE95064","DE0ALRA","1.6"
"DE95059","DE95064","0.1"
"DE00WBO","DE000WK","8.8"
"DE00WNA","DE00WOE","5.1"
"DE000WN","DE00WSP","7.1"
"DE00WHB","DE00WLF","3.7"
"DE00WGV","DE0WPSW","7.5"
"DE000WB","DE000WG","13.4"
"DE00WOE","DE95069","11.2"
"DE0WNWO","DE00WTE","5.7"
"DE0WMOE","DE0WBLH","4.1"
"DE0WMEF","DE0WGBN","3.7"
"DE0WKLE","DE0WMOE","4.6"
"DE0WGRO","DE0WKLE","8.6"
"DE0WGBN","DE00WGV","7.7"
"DE0WBLH","DE000WN","9.9"
"DE0WPSW","DE00WBO","6.4"
"DE00WVE","DE00WBL","9.2"
"DE00WSP","DE00WNA","9.8"
"DE00WPI","DE00WLD","12.3"
"DE0WWRN","DE000WB","10.2"
"DE0WRST","DE0WGRO","6.2"
"DE0WSBG","DE0WMEF","5.9"
"DE00WTE","DE00WMA","14.0"
"DE95064","DE00ALR","1.2"
"DE00ALR","DE0ALRA","0.7"
"DE0ASTR","DE0ABRM","4.1"
"DE0ABRM","DE0ALSC","5.6"
"DE00ADA","DE0ABCH","5.4"
"DE0ALAU","DE00ADA","7.4"
"DE0AECH","DE0ALAU","4.4"
"DE0AADF","DE0AECH","8.2"
"DE0ALBG","DE0AADF","4.4"
"DE00AWE","DE0ALBG","5.6"
"DE0ANEZ","DE00ADL","3.5"
"DE00AVF","DE00AWE","6.8"
"DE00ADL","DE00ABF","5.8"
"DE00ALE","DE00AGH","4.2"
"DE95088","DE00AHZ","6.4"
"DE00AHZ","DE00ALE","9.5"
"DE00AGH","DE0ANEZ","6.2"
"DE00ADB","DE95088","0.5"
"DE00ABF","DE00AVF","5.1"
"DE00AWI","DE0AASN","4.4"
"DE0ABAW","DE00ARH","6.1"
"DE00ARH","DE00AWI","7.0"
"DE0AASN","DE0ASTE","2.9"
"DE0ALBG","DE0ABAW","4.5"
"DE00ANB","DE0ANBG","0.3"
"DE95092","DE00ATG","0.1"
"DE0AHOE","DE0AWRT","7.2"
"DE00AHA","DE95092","5.7"
"DE0AWRT","DE00AHA","3.5"
"DE0ATAT","DE0APSD","4.5"
"DE95092","DE0AKTO","4.5"
"DE0AKAD","DE00AGD","3.5"
"DE0ASDW","DE0ATAT","3.2"
"DE00AGD","DE0ASDW","1.2"
"DE0APSD","DE00APO","2.6"
"DE0AKTO","DE0AKAD","2.9"
"DE0AJHH","DE0AWBU","2.0"
"DE00ARE","DE0ABSM","6.1"
"DE0AWBU","DE0ASDD","1.7"
"DE00ATB","DE0AJHH","3.7"
"DE00AHI","DE00ATB","8.0"
"DE0ASDD","DE00ARE","2.1"
"DE0AALA","DE00AIZ","1.7"
"DE00ALG","DE0ASDS","6.0"
"DE0ASDS","DE00ALH","3.9"
"DE00ALU","DE0AEBR","4.4"
"DE00AKX","DE00AMM","17.1"
"DE0AWIR","DE00ABR","17.2"
"DE00ALH","DE00ANB","4.3"
"DE0ABST","DE00ALG","7.5"
"DE0AMFU","DE00AMF","0.8"
"DE00AHE","DE00AHI","4.9"
"DE0ALHG","DE00AKX","6.6"
"DE0AHDT","DE0ABST","10.3"
"DE00AHI","DE00ALU","16.3"
"DE00AFD","DE0AHOE","6.5"
"DE0AGST","DE00AKM","6.8"
"DE0AHZH","DE0AGST","3.9"
"DE00AHM","DE0AHDT","8.2"
"DE0AHOE","DE00AHM","4.6"
"DE00AEL","DE0AHZH","12.8"
"DE00AIZ","DE0AWIR","9.3"
"DE00AKI","DE0AWLA","4.4"
"DE00AKM","DE0AKHD","5.3"
"DE0AKHD","DE0AALA","3.7"
"DE0AEBR","DE00AFD","1.9"
"DE00AMF","DE00AHE","7.2"
"DE00ASD","DE0AMFU","10.6"
"DE00ABR","DE00ASD","9.7"
"DE00AMM","DE00AKI","4.5"
"DE00ANB","DE0ALHG","6.6"
"DE0AWIR","DE00ASM","8.8"
"DE00ASM","DE00ABK","6.8"
"DE00ASD","DE0ASDC","9.9"
"DE0AALA","DE0AALG","0.0"
"DE00AEF","DE0ABRD","5.9"
"DE0ALAA","DE000AE","4.1"
"DE000AN","DE00AEF","6.0"
"DE0AWST","DE0ABRS","8.3"
"DE000AE","DE000AP","7.1"
"DE0ABRS","DE000AN","14.2"
"DE00AFT","DE00AMR","5.7"
"DE0ABRD","DE00AFT","8.7"
"DE0AHOT","DE00ADH","6.1"
"DE00ADH","DE0AWST","9.9"
"DE00AMR","DE000AK","4.6"
"DE00APD","DE00ATM","3.9"
"DE000AP","DE00APD","3.3"
"DE00ATM","DE00AEL","7.5"
"DE000AA","DE00ALA","3.4"
"DE00ALA","DE0ALAA","0.6"
"DE00AEL","DE0AHOT","5.5"
"DE95111","DEAAS O","0.9"
"DE95113","DE95111","0.1"
"DE00AFB","DE0AHPS","1.3"
"DE0AHPS","DE000AB","2.0"
"DE0ABAF","DE00AOH","1.5"
"DEAAS O","DE0ABAF","1.1"
"DE00AOH","DE00AFB","1.7"
"DE0AEST","DE0AEGS","1.1"
"DE95118","DE00ADT","0.1"
"DE0ATHS","DE00APS","1.6"
"DE00ADT","DE0ALST","1.2"
"DE0ASTS","DE0AEST","1.1"
"DE0AEGS","DE0AKRS","2.2"
"DE0AKRS","DE0AHKS","2.4"
"DE0AHSO","DE95118","1.2"
"DE0AHKS","DE0ATHS","2.4"
"DE0ALST","DE0ASTS","1.4"
"DE00ARI","DE00AWL","3.6"
"DE0ASDF","DE00ARI","2.7"
"DE000AB","DE00AIS","1.4"
"DE00AIS","DE0ASDF","1.3"
"DEAAS O","DE95120","2.2"
"DE000AA","DE00ALA","3.1"
"DE95121","DE000AE","1.4"
"DE0ALAA","DE95121","2.1"
"DE95120","DE00ALA","0.6"
"DEAE  O","DEAE  N","1.8"
"DE00AAR","DE95120","2.1"
"DE000AE","DEAE  O","0.4"
"DE00ALA","DE0ALAA","0.6"
"DE0AHOR","DE95127","5.1"
"DE0ABAG","DE0AHOR","5.0"
"DE95121","DE0ALOF","5.4"
"DE0ALOF","DE0ABAG","5.2"
"DE95128","DE00AAI","2.6"
"DE0ADST","DE0ASST","1.7"
"DE95131","DE0ADST","1.5"
"DE0ASST","DE0AHST","1.1"
"DE0AHSO","DE95111","1.8"
"DE0AHST","DE0AHSO","0.1"
"DE95128","DE0AKWS","1.8"
"DE00AHS","DE95135","0.5"
"DE000AH","DE95134","0.0"
"DE0ABAP","DE00AAW","1.5"
"DE95135","DEABTSL","0.9"
"DE0AHCH","DE0AWBS","1.3"
"DE95134","DE00AHS","0.1"
"DE0AKWS","DE0AHCH","1.0"
"DE0AOPS","DE95128","0.3"
"DE00AAW","DE00ARP","1.0"
"DE0AWBS","DE00APB","1.4"
"DE0AHSB","DE0AWCH","0.8"
"DE00ARP","DE0AOPS","1.6"
"DE0ALAN","DE0AHSB","1.4"
"DE0AWCH","DE0AFBG","0.7"
"DE0AFBG","DE0ABAP","1.5"
"DEABTSL","DE0ALAN","1.3"
"DE00AWN","DE0AHOR","1.4"
"DE00AHS","DEABTSB","1.4"
"DE0AROP","DE00ATK","1.7"
"DEABTSB","DE0AROP","2.2"
"DE00ATK","DE0ABWM","2.6"
"DE0ABWM","DE00AML","2.9"
"DE0ANTB","DEABG S","1.8"
"DE95131","DE00AHS","0.1"
"DE0AWLF","DE00AAH","2.7"
"DE00AML","DE0AALH","2.1"
"DE000AH","DE95131","0.0"
"DE0ARBK","DE0AWLF","2.3"
"DE0AALH","DE0ANTB","1.5"
"DEABG S","DE0ARBK","3.7"
"DE95141","DE000AH","2.5"
"DE0AVLG","DE00AVL","0.0"
"DE0AERI","DE000AH","1.4"
"DE0AOHA","DE0AERI","1.5"
"DE00AHB","DE00AHO","1.4"
"DE00ASE","DE0ASEG","0.5"
"DE95161","DE0AWLG","0.5"
"DE00ASE","DE95161","0.7"
"DE95162","DE0AHAR","4.8"
"DE95161","DE0AWLB","1.5"
"DE0AWLB","DE0AHDG","2.1"
"DE0AHAR","DE00ASE","2.7"
"DE0ASTG","DE00AST","0.0"
"DE95177","DE0ASSD","1.3"
"DE95177","DE00ABZ","4.2"
"DE95180","DE95177","3.8"
"DE95181","DE0ACVG","0.1"
"DE95183","DE0ABXG","0.4"
"DE00AKS","DE00AAS","1.0"
"DE0ALAS","DE0ARES","1.0"
"DE0ARES","DE00AKS","0.9"
"DE95134","DE0AJUS","1.4"
"DE95113","DE95118","1.6"
"DE0ASHS","DE0ALAS","1.0"
"DE00AAS","DE95113","0.4"
"DE0AJUS","DE0ASHS","0.7"
"DE95135","DE0AHAB","1.0"
"DE0AHFS","DEAHBRS","3.1"
"DE0ANRS","DE95186","1.2"
"DE0AWFS","DE0AHRS","5.1"
"DE0AHAB","DE0AELB","1.4"
"DE0AELB","DE0AVLS","1.6"
"DE0AVLS","DE0AWFS","2.6"
"DE0AHRF","DE0AHFS","1.3"
"DE0ANWS","DE0ANRS","1.7"
"DEAHBRS","DE0ANWS","2.8"
"DE0AHRS","DE0AHRF","0.9"
"DE95127","DE0AHRO","2.4"
"DE00AVL","DE0AOHA","0.9"
"DE0AOHA","DE95127","1.4"
"DE95162","DE0AHAR","4.8"
"DE0AWLB","DEAWLBA","0.5"
"DE0AHBI","DE0AALM","3.3"
"DE95190","DE95162","2.8"
"DE000AM","DE95190","0.1"
"DE95187","DE000AM","0.7"
"DE0AHRO","DE0AHBI","3.6"
"DE0ABLZ","DE95187","21.1"
"DEAWLBA","DE00AVL","2.6"
"DE0AHAR","DE0AWLB","5.1"
"DE0ASTE","DE95187","2.9"
"DE0AASN","DE0ASTE","3.2"
"DE0AASA","DE0AASN","0.2"
"DE00ASP","DE0ABLZ","4.7"
