"source","target","trackspeed"
"DEALD A","DEALD G","40.0"
"DE95059","DE95064","60.0"
"DE95113","DE95111","60.0"
"DE95135","DEABTSL","60.0"
"DE95113","DE95118","70.0"
"DE95190","DE95162","130.0"
"DE95204","DE95141","100.0"
"DE95229","DE95256","40.0"
"DE95320","DE95322","40.0"
"DEEHE P","DE95344","200.0"
"DE95355","DE95353","80.0"
"DE95353","DE95356","40.0"
"DE95181","DE95216","110.0"
"DE95411","DE95404","130.0"
"DE95373","DE95477","120.0"
"DE95451","DE95382","100.0"
"DE95496","DE95494","120.0"
"DE95575","DE95570","40.0"
"DE95572","DE95575","50.0"
"DE95631","DE95630","120.0"
"DE95696","DE95694","80.0"
"DE95825","DE95726","70.0"
"DEEWANB","DE95825","40.0"
"DE95826","DE95821","40.0"
"DE95842","DEEHERT","60.0"
"DEEDDPH","DE95681","100.0"
"DE95733","DEEHUOS","100.0"
"DE95852","DE95855","100.0"
"DE95904","DE95908","60.0"
"DEEOBRW","DEEOBRO","50.0"
"DEEOB O","DEEOB N","40.0"
"DE95919","DE95921","140.0"
"DE95961","DE95950","60.0"
"DE95970","DE95976","80.0"
"DE95937","DE95955","70.0"
"DE96034","DE96037","120.0"
"DE96036","DE96039","60.0"
"DE96053","DE96052","40.0"
"DE96052","DE96051","40.0"
"DE95962","DE95944","80.0"
"DE96096","DEKRY G","50.0"
"DE96044","DE96053","80.0"
"DE96174","EU00007","80.0"
"DE96174","EU00007","80.0"
"DE96137","DE96174","40.0"
"DE96180","DE96178","100.0"
"DE96178","DE96182","100.0"
"DE96207","DE96206","140.0"
"DE96205","DE96214","40.0"
"DE96207","DEYKKEZ","120.0"
"DE96241","DE96240","100.0"
"DE96245","DE96241","60.0"
"DE96378","DE96379","40.0"
"DE96271","DE96392","60.0"
"DE96392","DE96399","60.0"
"DE96400","DE96271","60.0"
"DE96399","DE96378","40.0"
"DE96403","DE96399","40.0"
"DE96037","DEKDFFH","160.0"
"DE96039","DE96037","160.0"
"DE96395","DE96400","80.0"
"DE95707","DE96144","100.0"
"DE96104","DE96434","40.0"
"DE96479","DEEHGVF","60.0"
"DEEHGVS","DE96479","40.0"
"DE96479","DEEHGVW","60.0"
"DE96497","DE96507","40.0"
"DEEAHLH","DEEHE P","120.0"
"DEHM  G","DE95469","80.0"
"DE95322","DE95319","140.0"
"DE96570","DE96562","140.0"
"DESKU W","DE96579","80.0"
"DESKU M","DESKU W","100.0"
"DE96607","DE96606","40.0"
"DESKU N","DE96609","40.0"
"DE96609","DESKU B","40.0"
"DESKU B","DE96579","50.0"
"DESKU O","DE96609","40.0"
"DESKU B","DE96606","40.0"
"DESKU O","DESKU N","80.0"
"DE96624","DE96585","60.0"
"DE96304","DESEG N","40.0"
"DE96621","DE96624","40.0"
"DE96663","DE96671","60.0"
"DE96671","DE96675","60.0"
"DE96675","DE96677","60.0"
"DE96677","DE96676","40.0"
"DE96654","DE96676","60.0"
"DE96666","DE96682","60.0"
"DE96685","DE96684","40.0"
"DE96682","DESSH S","40.0"
"DE96692","DE96690","90.0"
"DE96677","DE96697","40.0"
"DE96685","DESWR E","50.0"
"DESHY N","DESHY O","60.0"
"DE96720","DE96779","40.0"
"DE96779","DERL  S","60.0"
"DE96779","DERL  N","60.0"
"DERL  T","DERL  N","80.0"
"DEREISO","DEREISW","60.0"
"DE96824","DE96823","70.0"
"DEFWO A","DE96823","60.0"
"DE96846","DE96848","60.0"
"DEFMB P","DEFMB N","40.0"
"DE96950","DE96947","140.0"
"DE96968","DE96970","160.0"
"DEFWO B","DE96824","110.0"
"DE96931","DE96989","80.0"
"DE96848","DE97017","60.0"
"DE97017","DE96992","60.0"
"DE97017","DE97019","60.0"
"DEFB  R","DEFB  O","60.0"
"DEFB  R","DEFB  B","40.0"
"DE97118","DEFMLSS","40.0"
"DEFKR N","DEFKR S","80.0"
"DE97140","DE97148","100.0"
"DE97148","DE97150","100.0"
"DERMR W","DERMR M","110.0"
"DE97333","DE97335","80.0"
"DE97335","DE97255","80.0"
"DE97333","DE97324","80.0"
"DE97337","DE97340","60.0"
"DE97335","DE97183","80.0"
"DE97366","DE97364","140.0"
"DE97394","DE97393","40.0"
"DE97394","DE97224","40.0"
"DE97426","DETU  F","100.0"
"DETU  R","DETU  F","120.0"
"DETU  N","DETU  R","50.0"
"DE97477","DE97495","60.0"
"DE97495","DE97493","40.0"
"DE97505","DE97504","90.0"
"DE97535","DE97534","90.0"
"DETM  S","DETM  N","60.0"
"DETH  K","DETH  G","130.0"
"DENNE S","DENNE O","80.0"
"DE97619","DENNE O","80.0"
"DE97777","DE97831","150.0"
"DEMAHZF","DE97777","150.0"
