"source","target","sectionlength"
"DK00001","DK00122","0.085"
"DK00001","DK00142","0.282"
"DK00001","DK00795","0.042"
"DK00001","DK00006","4.467"
"DK00006","DK00008","2.224"
"DK00008","DK00010","5.678"
"DK00010","DK00016","0.369"
"DK00010","DK00814","0.055"
"DK00010","DK00017","9.102"
"DK00017","DK00019","8.665"
"DK00019","DK00021","5.255"
"DK00021","DK00023","5.363"
"DK00023","DK00025","3.713"
"DK00025","DK00027","5.276"
"DK00027","DK00029","4.763"
"DK00029","DK00031","12.265"
"DK00031","DK00033","5.435"
"DK00033","DK00035","5.38"
"DK00035","DK00037","9.519"
"DK00037","DK00039","8.264"
"DK00124","DK00943","2.731"
"DK00943","DK00931","11.619"
"DK00931","DK00933","9.414"
"DK00933","DK00935","0.563"
"DK00935","DK00937","2.486"
"DK00937","DK00939","5.024"
"DK00939","DK00025","12.229"
"DK00025","DK00043","23.17"
"DK00043","DK00045","12.186"
"DK00045","DK00047","9.586"
"DK00047","DK00049","1.831"
"DK00049","DK00051","4.0"
"DK00051","DK00053","2.812"
"DK00051","DK00055","7.092"
"DK00053","DK00055","2.795"
"DK00055","DK00059","6.896"
"DK00055","DK00057","2.392"
"DK00057","DK00059","3.531"
"DK00059","DK00061","0.579"
"DK00061","DK00069","30.909"
"DK00069","DK00071","0.722"
"DK00059","DK00073","4.851"
"DK00073","DK00075","7.477"
"DK00075","DK00077","6.341"
"DK00017","DK00079","6.294"
"DK00079","DK00081","1.65"
"DK00081","DK00083","2.131"
"DK00083","DK00086","4.289"
"DK00086","DK00908","0.052"
"DK00086","DK00089","3.649"
"DK00089","DK00091","4.603"
"DK00091","DK00093","7.074"
"DK00093","DK00095","9.109"
"DK00095","DK00043","5.653"
"DK00017","DK00099","6.679"
"DK00099","DK00101","5.53"
"DK00101","DK00103","3.08"
"DK00103","DK00105","4.586"
"DK00105","DK00107","3.589"
"DK00107","DK00109","6.777"
"DK00109","DK00112","6.382"
"DK00112","DK00114","5.336"
"DK00114","DK00116","6.245"
"DK00116","DK00118","4.228"
"DK00118","DK00120","5.39"
"DK00122","DK00124","1.085"
"DK00124","DK00913","0.045"
"DK00124","DK00006","0.349"
"DK00129","DK00822","0.191"
"DK00129","DK00132","0.757"
"DK00132","DK00144","0.219"
"DK00137","DK00165","10.681"
"DK00142","DK00144","1.183"
"DK00144","DK00817","0.364"
"DK00144","DK00147","0.881"
"DK00147","DK00150","0.654"
"DK00150","DK00824","0.043"
"DK00150","DK00153","3.826"
"DK00153","DK00155","3.97"
"DK00155","DK00158","5.702"
"DK00158","DK00161","5.4"
"DK00161","DK00165","8.426"
"DK00165","DK00167","1.542"
"DK00001","DK00169","0.15"
"DK00169","DK00171","0.474"
"DK00171","DK00175","4.777"
"DK00175","EU00141","3.695"
"DK00124","DK00171","1.04"
"DK00181","DK00184","4.808"
"DK00184","DK00186","2.616"
"DK00186","DK00189","6.526"
"DK00189","DK00192","5.637"
"DK00192","DK00194","4.807"
"DK00194","DK00198","11.132"
"DK00200","DK00202","3.76"
"DK00202","DK00205","7.443"
"DK00205","DK00207","7.877"
"DK00207","DK00209","6.517"
"DK00209","DK00211","4.915"
"DK00211","DK00215","7.076"
"DK00215","DK00218","8.178"
"DK00218","DK00221","7.688"
"DK00221","DK00223","4.234"
"DK00223","DK00225","3.238"
"DK00225","DK00227","2.715"
"DK00227","DK00229","0.615"
"DK00227","DK00231","9.861"
"DK00231","DK00234","11.289"
"DK00234","DK00236","13.01"
"DK00236","DK00238","14.201"
"DK00238","DK00240","12.051"
"DK00240","DK00242","12.301"
"DK00242","DK00244","5.509"
"DK00244","DK00247","10.268"
"DK00247","DK00249","3.024"
"DK00249","DK00251","5.952"
"DK00251","DK00253","7.644"
"DK00253","DK00255","7.753"
"DK00255","DK00257","11.682"
"DK00257","DK00259","5.227"
"DK00259","DK00261","4.973"
"DK00261","DK00263","12.57"
"DK00263","DK00265","14.699"
"DK00265","DK00268","21.835"
"DK00268","DK00271","9.728"
"DK00271","DK00275","10.944"
"DK00275","DK00280","0.475"
"DK00280","DK00282","9.481"
"DK00282","DK00284","9.823"
"DK00284","DK00286","8.08"
"DK00286","DK00288","10.049"
"DK00288","DK00767","0.01"
"DK00288","DK00291","11.72"
"DK00291","DK00294","12.298"
"DK00294","DK00296","7.4"
"DK00227","DK00298","3.789"
"DK00298","DK00303","0.042"
"DK00298","DK00301","8.888"
"DK00301","DK00304","10.692"
"DK00304","DK00306","4.127"
"DK00306","DK00308","2.632"
"DK00308","DK00310","6.191"
"DK00310","DK00312","5.205"
"DK00312","DK00314","18.193"
"DK00314","DK00316","13.001"
"DK00316","DK00318","5.7"
"DK00318","DK00320","4.734"
"DK00320","DK00323","0.029"
"DK00225","DK00298","3.481"
"DK00326","DK00328","14.542"
"DK00328","DK00316","23.383"
"DK00304","DK00332","9.983"
"DK00332","DK00335","11.741"
"DK00335","DK00338","11.63"
"DK00338","DK00340","6.65"
"DK00340","DK00342","6.389"
"DK00342","DK00344","0.033"
"DK00338","DK00347","6.858"
"DK00347","DK00350","6.338"
"DK00350","DK00355","18.654"
"DK00355","DK00358","11.071"
