"source","target","sectionspeed"
"DK00001","DK00006","140.0"
"DK00006","DK00008","140.0"
"DK00008","DK00010","140.0"
"DK00010","DK00017","160.0"
"DK00017","DK00019","140.0"
"DK00019","DK00021","140.0"
"DK00021","DK00023","140.0"
"DK00023","DK00025","140.0"
"DK00025","DK00027","140.0"
"DK00027","DK00029","140.0"
"DK00029","DK00031","140.0"
"DK00031","DK00033","140.0"
"DK00033","DK00035","140.0"
"DK00035","DK00037","160.0"
"DK00037","DK00039","160.0"
"DK00124","DK00943","150.0"
"DK00943","DK00931","160.0"
"DK00931","DK00933","160.0"
"DK00933","DK00935","160.0"
"DK00935","DK00937","160.0"
"DK00937","DK00939","160.0"
"DK00939","DK00025","160.0"
"DK00025","DK00043","160.0"
"DK00043","DK00045","125.0"
"DK00045","DK00047","160.0"
"DK00047","DK00049","130.0"
"DK00049","DK00051","120.0"
"DK00051","DK00053","120.0"
"DK00051","DK00055","180.0"
"DK00053","DK00055","120.0"
"DK00055","DK00059","180.0"
"DK00055","DK00057","120.0"
"DK00057","DK00059","120.0"
"DK00059","DK00061","80.0"
"DK00061","DK00069","120.0"
"DK00069","DK00071","70.0"
"DK00017","DK00079","120.0"
"DK00079","DK00081","120.0"
"DK00081","DK00083","120.0"
"DK00083","DK00086","120.0"
"DK00086","DK00089","120.0"
"DK00089","DK00091","120.0"
"DK00091","DK00093","120.0"
"DK00093","DK00095","120.0"
"DK00095","DK00043","120.0"
"DK00017","DK00099","140.0"
"DK00099","DK00101","160.0"
"DK00101","DK00103","160.0"
"DK00103","DK00105","160.0"
"DK00105","DK00107","160.0"
"DK00107","DK00109","120.0"
"DK00109","DK00112","120.0"
"DK00112","DK00114","120.0"
"DK00114","DK00116","120.0"
"DK00116","DK00118","120.0"
"DK00118","DK00120","120.0"
"DK00122","DK00124","120.0"
"DK00124","DK00006","100.0"
"DK00142","DK00144","60.0"
"DK00144","DK00147","90.0"
"DK00147","DK00150","90.0"
"DK00150","DK00153","100.0"
"DK00153","DK00155","120.0"
"DK00155","DK00158","120.0"
"DK00158","DK00161","120.0"
"DK00161","DK00165","120.0"
"DK00165","DK00167","100.0"
"DK00001","DK00169","76.66666666666667"
"DK00169","DK00171","120.0"
"DK00171","DK00175","160.0"
"DK00175","EU00141","180.0"
"DK00124","DK00171","100.0"
"DK00181","DK00184","120.0"
"DK00184","DK00186","120.0"
"DK00186","DK00189","120.0"
"DK00189","DK00192","120.0"
"DK00192","DK00194","120.0"
"DK00194","DK00198","120.0"
"DK00200","DK00202","140.0"
"DK00202","DK00205","140.0"
"DK00205","DK00207","140.0"
"DK00207","DK00209","130.0"
"DK00209","DK00211","130.0"
"DK00211","DK00215","130.0"
"DK00215","DK00218","140.0"
"DK00218","DK00221","140.0"
"DK00221","DK00223","140.0"
"DK00223","DK00225","120.0"
"DK00225","DK00227","130.0"
"DK00227","DK00231","130.0"
"DK00231","DK00234","135.0"
"DK00234","DK00236","140.0"
"DK00236","DK00238","140.0"
"DK00238","DK00240","140.0"
"DK00240","DK00242","140.0"
"DK00242","DK00244","135.0"
"DK00244","DK00247","135.0"
"DK00247","DK00249","130.0"
"DK00249","DK00251","140.0"
"DK00251","DK00253","140.0"
"DK00253","DK00255","140.0"
"DK00255","DK00257","140.0"
"DK00257","DK00259","140.0"
"DK00259","DK00261","140.0"
"DK00261","DK00263","160.0"
"DK00263","DK00265","160.0"
"DK00265","DK00268","95.0"
"DK00268","DK00271","95.0"
"DK00271","DK00275","95.0"
"DK00275","DK00280","60.0"
"DK00280","DK00282","120.0"
"DK00282","DK00284","120.0"
"DK00284","DK00286","120.0"
"DK00286","DK00288","120.0"
"DK00288","DK00291","120.0"
"DK00291","DK00294","120.0"
"DK00294","DK00296","120.0"
"DK00227","DK00298","140.0"
"DK00298","DK00301","140.0"
"DK00301","DK00304","140.0"
"DK00304","DK00306","160.0"
"DK00306","DK00308","160.0"
"DK00308","DK00310","160.0"
"DK00310","DK00312","160.0"
"DK00312","DK00314","160.0"
"DK00314","DK00316","160.0"
"DK00316","DK00318","120.0"
"DK00318","DK00320","120.0"
"DK00225","DK00298","140.0"
"DK00326","DK00328","100.0"
"DK00328","DK00316","100.0"
"DK00304","DK00332","120.0"
"DK00332","DK00335","120.0"
"DK00335","DK00338","120.0"
"DK00338","DK00340","120.0"
"DK00340","DK00342","120.0"
"DK00338","DK00347","100.0"
"DK00347","DK00350","100.0"
"DK00350","DK00355","100.0"
"DK00355","DK00358","100.0"
"DK00358","DK00362","100.0"
"DK00342","DK00368","120.0"
"DK00368","DK00371","120.0"
"DK00371","DK00375","100.0"
"DK00375","DK00378","100.0"
"DK00378","DK00382","100.0"
"DK00382","DK00384","100.0"
"DK00384","DK00386","100.0"
"DK00386","DK00390","100.0"
"DK00390","DK00392","100.0"
"DK00392","DK00395","100.0"
"DK00395","DK00397","120.0"
"DK00397","DK00399","120.0"
"DK00257","DK00401","120.0"
"DK00401","DK00403","120.0"
"DK00403","DK00405","120.0"
"DK00405","DK00407","120.0"
"DK00407","DK00409","120.0"
"DK00409","DK00411","120.0"
"DK00411","DK00413","120.0"
"DK00413","DK00415","120.0"
"DK00415","DK00417","120.0"
"DK00417","DK00419","120.0"
"DK00419","DK00421","120.0"
"DK00421","DK00399","120.0"
"DK00395","DK00424","120.0"
"DK00424","DK00426","120.0"
"DK00426","DK00428","120.0"
"DK00428","DK00430","120.0"
"DK00430","DK00432","120.0"
"DK00432","DK00434","120.0"
"DK00434","DK00436","120.0"
"DK00436","DK00438","120.0"
"DK00438","DK00440","120.0"
"DK00440","DK00442","120.0"
"DK00442","DK00444","110.0"
"DK00444","DK00446","110.0"
"DK00446","DK00448","100.0"
"DK00448","DK00234","70.0"
"DK00399","DK00455","75.0"
"DK00455","DK00459","75.0"
"DK00459","DK00461","75.0"
"DK00461","DK00464","75.0"
"DK00464","DK00467","75.0"
"DK00242","DK00470","120.0"
"DK00470","DK00472","120.0"
"DK00472","DK00474","120.0"
"DK00474","DK00476","120.0"
"DK00476","DK00478","100.0"
"DK00478","DK00480","100.0"
"DK00480","DK00482","100.0"
"DK00482","DK00484","100.0"
"DK00484","DK00486","100.0"
"DK00486","DK00432","100.0"
"DK00432","DK00492","100.0"
"DK00492","DK00495","100.0"
"DK00495","DK00382","100.0"
"DK00247","DK00498","60.0"
