"source","target","sectionlength"
"ES37113","ES37101","19.973"
"ES37801","ES60599","21.751"
"ES37110","ES37200","21.127"
"ES37009","ESB0900","4.4"
"ES37107","ES37108","10.354"
"ES37104","ES37106","15.265"
"ESB0200","ES60299","4.958"
"ES37101","ES37104","15.835"
"ES37013","ES37009","10.128"
"ES37705","ESB3770","17.095"
"ES37700","ES37701","16.026"
"ES37704","ES37316","8.707"
"ES37703","ES37704","17.85"
"ESB6000","ESB3710","11.045"
"ES37200","ES37210","25.728"
"ES37702","ES37703","22.743"
"ES37006","ES37113","18.416"
"ES37802","ES37803","34.318"
"ESB3770","ES50500","10.294"
"ESB3710","ES37013","0.827"
"ES60599","ES37802","17.244"
"ES60299","ES37801","24.191"
"ES37803","ES51003","10.538"
"ES37210","ES37700","12.924"
"ES37106","ES37107","14.946"
"ES37701","ES37702","19.174"
"ESB0900","ESA6000","5.6"
"ES37316","ES37705","23.896"
"ES50500","ESB0200","12.816"
"ESA6000","ES37006","0.911"
"ES37108","ES37110","19.521"
"ES60000","ESB6000","2.4"
"ES70004","ES60000","1.3"
"ESB0105","ESB0201","8.98"
"ES37803","ES37805","0.569"
"ES90050","ESA0180","0.069"
"ESB6000","ES90050","0.785"
"ES37113","ES92102","20.8"
"ESB3770","ES37706","0.178"
"ESB0903","ESA6000","5.7"
"ESB3501","ES03500","4.365"
"ES03501","ESB3502","23.99"
"ESB3502","ESB3503","2.537"
"ES03500","ES03501","32.785"
"ES02002","ES02003","35.4"
"ESB0200","ES02000","7.7"
"ES02000","ES02001","27.1"
"ES02001","ES02002","26.6"
"ES02005","ES54413","4.5"
"ES02004","ES02005","28.6"
"ESB0201","ES02004","17.8"
"ES02003","ESB0201","6.8"
"ES02003","ES02020","0.4"
"ESC0111","ESB0107","7.61"
"ESB0101","ESC0111","11.401"
"ES02030","ESB0101","16.598"
"ES02003","ESB0105","9.318"
"ESB0105","ES02030","7.673"
"ES05012","ESB0107","10.423"
"ES05012","ESB0109","15.918"
"ESB0109","ES02035","1.454"
"ES02035","ESB0110","29.849"
"ESB0110","ES05000","4.341"
"ESB0900","ESB0903","4.45"
"ES03206","ES03207","20.868"
"ESB0903","ES03201","2.2"
"ES03205","ES03206","25.342"
"ES03212","ES03213","17.0"
"ES03204","ES03205","14.79"
"ES17000","ES03200","7.3"
"ES03203","ES03204","19.213"
"ES03201","ES03203","42.087"
"ES03200","ESB0888","0.4"
"ES03214","ES03215","28.4"
"ESB0888","ESB0900","28.15"
"ES03211","ES03212","21.3"
"ESB0320","ES03210","18.998"
"ES03210","ES03211","22.1"
"ESB0321","ESB0323","3.652"
"ES03213","ES03214","17.6"
"ES03215","ESB0321","19.2"
"ES03209","ESB0320","23.702"
"ES03208","ES03209","29.3"
"ESA0320","ES03216","0.502"
"ES03207","ES03208","30.3"
"ESB0323","ESA0320","0.348"
"ESB0320","ES03300","14.298"
"ES60600","ES03305","15.082"
"ESB0331","ESB0332","8.646"
"ESB0332","ES03308","6.655"
"ES03308","ES03309","10.264"
"ESB0333","ES03310","3.293"
"ES03309","ESB0333","25.83"
"ES03310","ES60911","21.251"
"ES03300","ES03301","23.505"
"ES03307","ESB0331","2.313"
"ES03306","ES03307","34.103"
"ES03305","ES03306","36.275"
"ES03302","ES60600","13.141"
"ESB0320","ES03301","37.803"
"ES03301","ES03302","21.745"
"ESB0323","ESA6422","0.497"
"ES62001","ESA6133","8.748"
"ES62002","ES62001","5.677"
"ESB0333","ESB0340","2.684"
"ES62100","ES03412","4.787"
"ES03412","ES62002","9.235"
"ES03410","ES62100","10.93"
"ESB0340","ES03410","18.654"
"ESB0340","ES03310","2.075"
"ES04011","ES04013","18.2"
"ES04106","ES04107","13.0"
"ES04107","ES04108","13.9"
"ES04108","ES04109","22.5"
"ES04109","ES04110","10.8"
"ES04110","ESB4104","2.8"
"ESB4054","ES04100","5.3"
"ESB4043","ES04044","1.2"
"ES04009","ES04011","22.7"
"ES04007","ES04009","28.9"
"ES04105","ES04106","18.0"
"ES04020","ES70600","23.85"
"ESB4015","ES04028","0.5"
"ES04013","ES04015","20.8"
"ES04026","ESB4015","21.9"
"ES04028","ES04030","16.3"
"ES04030","ESB4030","5.2"
"ES04044","ES04046","22.1"
"ES04046","ES04048","14.4"
"ES04048","ES04050","16.1"
"ES04050","ES04052","24.2"
"ES04052","ES04054","23.1"
"ES04018","ES04020","15.6"
"ES04054","ES04055","10.4"
"ES04100","ESB4100","9.1"
"ES04101","ES04102","32.3"
"ES04102","ES04103","20.4"
"ES04103","ES04104","11.6"
"ES04104","ES04105","13.8"
"ES04015","ES04018","26.7"
"ES04005","ES04007","21.8"
"ESB4100","ESB4102","2.8"
"ES04055","ESB4054","4.3"
"ES04003","ES04005","15.7"
"ESB4030","ESB4043","23.9"
"ESB4102","ES04101","4.8"
"ESB6000","ES04001","5.5"
"ESB6001","ES04002","0.763"
"ESB4104","ES71801","5.3"
"ES60000","ESB6000","2.4"
"ES70600","ES04026","29.85"
"ES04002","ES04003","13.8"
"ES04001","ESB6001","4.437"
"ESB4302","ESB4300","12.4"
"ES04302","ES04303","16.5"
"ES71801","ESB4302","7.1"
"ES79001","ES79003","3.5"
"ES04305","ES04304","20.4"
"ES04303","ES04305","3.9"
"ES79003","ES04302","16.6"
"ESB4300","ES79001","1.0"
"ES04304","ESB4303","8.3"
"ES04307","ES04313","3.5"
"ESB4303","ES79300","4.0"
"ES79300","ES04307","34.2"
"ESB4015","ES70715","3.621"
"ESB4041","ESB4045","3.3"
"ESB4042","ESB4043","4.973"
"ESB4030","ES04031","10.0"
"ESB4044","ESB4041","3.2"
"ESB4045","ESB4042","0.827"
"ES04031","ES04040","1.445"
"ES04040","ESB4044","5.926"
"ES04040","ESB4043","6.741"
"ES78400","ESB7840","2.0"
"ESB4101","ESB4100","5.3"
"ESB4054","ES78400","7.5"
"ESB7840","ESB4101","1.7"
"ES04031","ES70899","1.1"
"ESA0660","ESB4104","0.2"
"ESB6001","ESB3710","5.6"
"ESB7800","ESB7801","2.326"
"ES74200","ESB7801","3.43"
"ES78200","ESB7800","15.683"
"ES78100","ES78102","17.739"
"ES78005","ES78100","13.285"
"ES78102","ES78200","9.451"
"ESA0801","ESA0720","0.1"
"ES08011","ESA0801","0.1"
"ESA0741","ESA0742","1.098"
"ESA0740","ESA0741","3.312"
"ESA0742","ES08200","15.47"
"ESB0802","ES08012","0.865"
"ES08005","ES08006","20.6"
"ES08006","ESA0740","25.782"
"ESA0801","ES08000","17.3"
"ES08007","ESB0740","0.8"
"ES08008","ES08009","13.2"
"ES17000","ESA0801","0.84"
"ES08009","ESB0802","1.7"
"ES08001","ES08004","32.871"
"ESB0802","ESB0800","9.1"
"ESA0740","ES08007","0.218"
"ES08000","ES08001","16.6"
"ES08004","ES08005","18.229"
"ESB0740","ES08008","11.1"
"ESA8014","ES10600","6.25"
"ESB0800","ESA8014","4.2"
"ES08018","ES11014","21.663"
"ESB0816","ES08016","34.25"
"ES10600","ESB0810","7.312"
"ES08014","ESB0814","9.578"
"ES08016","ES08018","24.813"
"ESB0810","ESB0813","0.679"
"ES08222","ESB0861","56.155"
"ESB0860","ES08222","26.988"
"ESB0814","ESB0817","5.515"
"ESB0817","ES14100","7.097"
"ES08203","ESB0819","21.054"
"ESB0818","ES08203","16.538"
"ES15100","ES15122","71.804"
"ESB0823","ES15100","7.188"
"ESA0823","ESB0824","5.419"
"ESB0824","ES15100","1.1"
"ESB0823","ESA0823","0.666"
"ES97100","ES97103","12.0"
"ES97201","ES97200","2.166"
"ES97103","ESB9701","1.0"
"ESB9701","ES10100","1.921"
"ESA0800","ES97201","2.034"
"ES17000","ESA0800","0.5"
"ES97200","ES97100","1.5"
"ES10301","ES10302","11.491"
"ES11009","ES11010","10.954"
"ES11009","ES11007","11.712"
"ES10411","ES10500","18.815"
"ES10400","ES10403","12.939"
"ES10605","ES11000","6.446"
"ES10206","ES10209","1.471"
"ES10300","ES10301","5.005"
"ESB1052","ES10504","7.71"
"ESB1052","ES10600","6.026"
"ES10203","ES10204","6.332"
"ES10204","ES10205","8.398"
"ES10205","ES10206","6.713"
"ES10207","ES10208","4.78"
"ES10208","ES10300","9.306"
"ES10209","ES10207","10.757"
"ES11010","ES11011","9.479"
"ES10500","ES10501","8.722"
"ES10302","ES10400","6.224"
"ES10502","ES10503","7.899"
"ES11005","ES11006","10.952"
"ES11004","ES11005","12.2"
"ES10602","ES10603","3.992"
"ES10603","ES10604","6.082"
"ES11006","ES11007","10.818"
"ES10100","ES10101","3.539"
"ES10604","ES10605","7.626"
"ES10611","ESB0810","2.666"
"ES10611","ES10602","2.737"
"ES10610","ES10601","1.9"
"ES10610","ES10600","3.077"
"ES11003","ES11004","2.474"
"ES10501","ES10502","7.393"
"ES10202","ES10203","8.607"
"ES10601","ESB0810","2.223"
"ES10103","ES10104","3.682"
"ES10104","ES10200","3.841"
"ES10503","ES10504","4.461"
"ES10201","ES10202","1.479"
"ES10200","ES10201","2.325"
"ES11512","ES11513","1.171"
"ES11507","ES11508","1.146"
"ES11506","ES11507","2.379"
"ES11503","ES11504","4.483"
"ES11504","ES11505","0.874"
"ESB1110","ES11200","2.2"
"ES11510","ES11511","2.121"
"ES11511","ES11512","0.549"
"ES11505","ES11506","3.685"
"ES11518","ES11600","1.792"
"ES11522","ES11514","1.291"
"ESB0825","ESA1112","2.921"
"ES11508","ES11509","3.254"
"ES11509","ES11510","0.956"
"ES11515","ES11521","0.068"
"ES11600","EU00119","1.707"
"ES11105","ES11106","4.113"
"ES11105","ES11103","11.819"
"ES11109","ES11110","11.284"
"ES11516","ES11518","8.106"
"ES11513","ES11522","0.626"
"ES11521","ES11516","1.576"
"ES11514","ES11515","1.731"
"ES11409","ES11500","4.203"
"ES11502","ES11503","3.466"
"ES11402","ES11403","2.992"
"ES11110","ES11111","11.406"
"ES11400","ES11411","5.638"
"ES11111","ES11112","9.523"
"ES11306","ES11400","4.36"
"ES11305","ES11306","4.067"
"ES11305","ES11303","12.113"
"ES11112","ESB1110","7.702"
"ES11403","ES11404","4.129"
"ESA1112","ESB1112","2.895"
"ES11300","ES11303","9.476"
"ES11204","ES11205","6.498"
"ES11221","ES11205","6.785"
"ES11221","ES11208","6.292"
"ES11210","ES11208","13.243"
"ES11203","ES11200","9.094"
"ES11203","ES11204","4.623"
"ES11404","ES11405","2.163"
"ES11212","ES11213","7.355"
"ES11212","ES11210","10.795"
"ES11405","ES11406","2.523"
"ES11408","ES11409","2.712"
"ES11500","ES11501","0.597"
"ES11407","ES11408","1.378"
"ES11406","ES11407","2.807"
"ESB1112","ES11103","5.881"
"ESB1120","ES11300","1.0"
"ESB1120","ES11213","10.785"
"ES11501","ES11502","2.688"
"ES11411","ES11402","2.884"
"ES11200","ES11220","0.05"
"ES11600","ES11601","0.026"
"ES10103","ES10101","6.17"
"ES10411","ES10409","16.531"
"ES10409","ES10405","19.98"
"ES10405","ES10403","17.484"
"ES17000","ES97201","2.534"
"ES11000","ES11002","3.82"
"ES11002","ES11003","2.234"
"ES11109","ES11106","14.872"
"ESA0825","ESB0825","0.185"
"ES11014","ESA0825","0.715"
"ESB1111","ES11014","10.685"
"ES11011","ESB1111","2.885"
"ES17003","ES17004","4.975"
"ES17001","ESB1702","2.117"
"ES17004","ES17005","10.846"
"ES17000","ES17001","3.165"
"ES17009","ESB1702","3.189"
"ES17009","ES17003","1.929"
"ES17100","ES17102","7.299"
"ES17116","ES17107","4.24"
"ES17007","ES17008","6.225"
"ES17117","ES17116","3.47"
"ES17200","ES17201","13.418"
"ES17204","ES17205","12.883"
"ES17208","ESB1111","14.7"
"ES17006","ES17007","6.921"
"ES17205","ES17206","16.822"
"ES17206","ES17208","16.07"
"ES17201","ES17204","22.107"
"ES17114","ES17103","5.618"
"ES17115","ES17113","2.648"
"ES17112","ES17115","13.11"
"ES17102","ES17114","4.308"
"ES17008","ES17100","8.484"
"ES17103","ES17105","10.862"
"ES17105","ES17106","3.62"
"ES17106","ES17117","3.13"
"ES17113","ES17200","10.852"
"ES17107","ES17108","8.859"
"ES17109","ES17110","14.229"
"ES17110","ES17111","14.193"
"ES17005","ES17006","10.493"
"ES17108","ES17109","11.578"
"ES17111","ES17112","8.591"
"ES19004","ES19001","0.935"
"ES19001","ES19002","2.585"
"ES19002","ES19003","1.905"
"ES17009","ES19004","1.345"
"ES85215","ESB1051","0.485"
"ES10600","ESB1051","0.1"
"ES85214","ES85215","4.196"
"ES12001","ES12002","2.613"
"ES12002","ES12004","6.097"
"ES12004","ES12005","3.649"
"ES12005","ES12006","5.462"
"ES10200","ES12001","1.91"
"ES12009","ES12010","3.294"
