"source","target","sectionspeed"
"ES37113","ES37101","270.0"
"ES37801","ES60599","250.0"
"ES37110","ES37200","270.0"
"ES37009","ESB0900","270.0"
"ES37107","ES37108","270.0"
"ES37104","ES37106","300.0"
"ESB0200","ES60299","250.0"
"ES37101","ES37104","270.0"
"ES37013","ES37009","250.0"
"ES37705","ESB3770","225.0"
"ES37700","ES37701","270.0"
"ES37704","ES37316","250.0"
"ES37703","ES37704","250.0"
"ESB6000","ESB3710","230.0"
"ES37200","ES37210","270.0"
"ES37702","ES37703","250.0"
"ES37006","ES37113","270.0"
"ES37802","ES37803","250.0"
"ESB3770","ES50500","200.0"
"ESB3710","ES37013","230.0"
"ES60599","ES37802","250.0"
"ES60299","ES37801","250.0"
"ES37803","ES51003","250.0"
"ES37210","ES37700","270.0"
"ES37106","ES37107","300.0"
"ES37701","ES37702","270.0"
"ESB0900","ESA6000","270.0"
"ES37316","ES37705","250.0"
"ES50500","ESB0200","250.0"
"ESA6000","ES37006","270.0"
"ES37108","ES37110","270.0"
"ES60000","ESB6000","100.0"
"ESB3501","ES03500","200.0"
"ESB3502","ESB3503","195.0"
"ES62001","ESA6133","200.0"
"ES62002","ES62001","200.0"
"ESB0333","ESB0340","165.0"
"ES62100","ES03412","220.0"
"ES03412","ES62002","220.0"
"ES03410","ES62100","220.0"
"ESB0340","ES03410","240.0"
"ESB0340","ES03310","85.0"
"ES04102","ES04103","135.0"
"ESB7800","ESB7801","160.0"
"ES74200","ESB7801","160.0"
"ES78200","ESB7800","160.0"
"ES08222","ESB0861","300.0"
"ESB0860","ES08222","300.0"
"ES97100","ES97103","140.0"
"ES97201","ES97200","100.0"
"ES97103","ESB9701","140.0"
"ESB9701","ES10100","142.5"
"ESA0800","ES97201","100.0"
"ES97200","ES97100","100.0"
"ES10301","ES10302","115.0"
"ES11009","ES11010","150.0"
"ES11009","ES11007","160.0"
"ES10411","ES10500","160.0"
"ES10400","ES10403","155.0"
"ES10605","ES11000","160.0"
"ES10206","ES10209","100.0"
"ES10300","ES10301","97.5"
"ESB1052","ES10504","160.0"
"ESB1052","ES10600","160.0"
"ES10203","ES10204","127.5"
"ES10204","ES10205","127.5"
"ES10205","ES10206","110.0"
"ES10207","ES10208","112.5"
"ES10208","ES10300","112.5"
"ES10209","ES10207","107.5"
"ES11010","ES11011","160.0"
"ES10500","ES10501","160.0"
"ES10302","ES10400","147.5"
"ES10502","ES10503","160.0"
"ES11005","ES11006","160.0"
"ES11004","ES11005","160.0"
"ES10602","ES10603","160.0"
"ES10603","ES10604","160.0"
"ES11006","ES11007","160.0"
"ES10100","ES10101","157.5"
"ES10604","ES10605","160.0"
"ES10611","ESB0810","140.0"
"ES10611","ES10602","145.0"
"ES10610","ES10601","140.0"
"ES10610","ES10600","140.0"
"ES11003","ES11004","157.5"
"ES10501","ES10502","160.0"
"ES10202","ES10203","150.0"
"ES10601","ESB0810","140.0"
"ES10103","ES10104","127.5"
"ES10104","ES10200","120.0"
"ES10503","ES10504","160.0"
"ES10201","ES10202","150.0"
"ES10200","ES10201","130.0"
"ES11512","ES11513","105.0"
"ES11507","ES11508","110.0"
"ES11506","ES11507","110.0"
"ES11503","ES11504","110.0"
"ES11504","ES11505","115.0"
"ESB1110","ES11200","115.0"
"ES11510","ES11511","100.0"
"ES11511","ES11512","105.0"
"ES11505","ES11506","115.0"
"ES11518","ES11600","110.0"
"ES11522","ES11514","135.0"
"ESB0825","ESA1112","145.0"
"ES11508","ES11509","115.0"
"ES11509","ES11510","115.0"
"ES11515","ES11521","90.0"
"ES11105","ES11106","132.5"
"ES11105","ES11103","155.0"
"ES11109","ES11110","160.0"
"ES11516","ES11518","115.0"
"ES11513","ES11522","135.0"
"ES11521","ES11516","97.5"
"ES11514","ES11515","115.0"
"ES11409","ES11500","90.0"
"ES11502","ES11503","135.0"
"ES11402","ES11403","100.0"
"ES11110","ES11111","150.0"
"ES11400","ES11411","95.0"
"ES11111","ES11112","105.0"
"ES11306","ES11400","95.0"
"ES11305","ES11306","100.0"
"ES11305","ES11303","100.0"
"ES11112","ESB1110","115.0"
"ES11403","ES11404","90.0"
"ESA1112","ESB1112","145.0"
"ES11300","ES11303","115.0"
"ES11204","ES11205","155.0"
"ES11221","ES11205","155.0"
"ES11221","ES11208","155.0"
"ES11210","ES11208","155.0"
"ES11203","ES11200","135.0"
"ES11203","ES11204","115.0"
"ES11404","ES11405","95.0"
"ES11212","ES11213","155.0"
"ES11212","ES11210","160.0"
"ES11405","ES11406","105.0"
"ES11408","ES11409","110.0"
"ES11500","ES11501","105.0"
"ES11407","ES11408","110.0"
"ES11406","ES11407","105.0"
"ESB1112","ES11103","150.0"
"ESB1120","ES11300","130.0"
"ESB1120","ES11213","160.0"
"ES11501","ES11502","125.0"
"ES11411","ES11402","100.0"
"ES10103","ES10101","157.5"
"ES10411","ES10409","160.0"
"ES10409","ES10405","155.0"
"ES10405","ES10403","155.0"
"ES17000","ES97201","100.0"
"ES11000","ES11002","160.0"
"ES11002","ES11003","160.0"
"ES11109","ES11106","150.0"
"ESA0825","ESB0825","145.0"
"ES11014","ESA0825","147.5"
"ESB1111","ES11014","200.0"
"ES11011","ESB1111","200.0"
"ES17003","ES17004","130.0"
"ES17001","ESB1702","125.0"
"ES17004","ES17005","130.0"
"ES17000","ES17001","122.5"
"ES17009","ESB1702","125.0"
"ES17009","ES17003","80.0"
"ES17100","ES17102","125.0"
"ES17116","ES17107","105.0"
"ES17007","ES17008","120.0"
"ES17117","ES17116","105.0"
"ES17200","ES17201","140.0"
"ES17204","ES17205","140.0"
"ES17208","ESB1111","140.0"
"ES17006","ES17007","130.0"
"ES17205","ES17206","125.0"
"ES17206","ES17208","140.0"
"ES17201","ES17204","125.0"
"ES17114","ES17103","125.0"
"ES17115","ES17113","125.0"
"ES17112","ES17115","130.0"
"ES17102","ES17114","125.0"
"ES17008","ES17100","120.0"
"ES17103","ES17105","115.0"
"ES17105","ES17106","115.0"
"ES17106","ES17117","110.0"
"ES17113","ES17200","125.0"
"ES17107","ES17108","130.0"
"ES17109","ES17110","120.0"
"ES17110","ES17111","120.0"
"ES17005","ES17006","130.0"
"ES17108","ES17109","130.0"
"ES17111","ES17112","130.0"
"ES19004","ES19001","120.0"
"ES19001","ES19002","120.0"
"ES19002","ES19003","110.0"
"ES17009","ES19004","120.0"
"ES12001","ES12002","90.0"
"ES12002","ES12004","90.0"
"ES12004","ES12005","90.0"
"ES12005","ES12006","90.0"
"ES10200","ES12001","90.0"
"ES12009","ES12010","90.0"
"ES12007","ES12008","90.0"
"ES12006","ES12007","90.0"
"ES12008","ES12009","90.0"
