"source","target","sectionlength"
"FR9900000203","FR0000005353","0.21"
"FR0000000296","FR0000003769","4.529"
"FR0000005353","FR0000006795","0.727"
"FR0000003674","FR0000003308","0.912"
"FR0000006315","FR9900000203","0.113"
"FR0000001342","FR0000002711","1.655"
"FR0000006993","FR0000007968","0.068"
"FR0000006993","FR9900000500","0.0"
"FR0000009109","FR9900003568","0.305"
"FR0000007968","FR9900000500","0.37"
"FR0000007968","FR9900000369","0.0"
"FR9900003568","FR0000009599","0.224"
"FR0000016283","FR0000006315","0.48"
"FR0000003237","FR0000000296","0.532"
"FR9900000500","FR9900000369","0.228"
"FR0000003859","FR0000003674","2.894"
"FR9900000202","FR0000016283","0.147"
"FR0000009599","FR0000007544","0.306"
"FR0000001629","FR0000007038","1.651"
"FR0000002007","FR0000005968","1.446"
"FR0000006655","FR9900000203","0.0"
"FR0000006655","FR9900000202","0.038"
"FR0000009003","FR0000002007","0.051"
"FR9900000369","FR0000005144","0.162"
"FR0000001725","FR0000009109","0.251"
"FR0000005144","FR0000006589","9.994"
"FR0000003308","FR0000000286","3.882"
"FR0000005703","FR0000006655","0.505"
"FR0000000033","FR0000001725","0.444"
"FR0000016281","FR0000005703","0.01"
"FR9900000904","FR0000000033","0.636"
"FR0000016330","FR0000016281","0.1"
"FR0000016330","FR0000016277","0.0"
"FR0000003093","FR0000022975","0.235"
"FR9900001689","FR0000005285","7.637"
"FR0000016279","FR0000016330","0.1"
"FR0000001102","FR0000003093","0.39"
"FR0000006611","FR0000016279","0.165"
"FR9900000839","FR0000008253","13.128"
"FR0000006980","FR0000006611","0.013"
"FR0000004190","FR0000003859","2.389"
"FR0000007098","FR0000006980","0.076"
"FR0000002868","FR0000001102","0.89"
"FR9900002012","FR0000006993","3.674"
"FR9900001469","FR9900000839","0.594"
"FR0000009632","FR9900000537","0.0"
"FR0000009632","FR0000007494","0.996"
"FR0000007929","FR9900000839","0.0"
"FR0000007929","FR9900001469","0.199"
"FR9900000309","FR9900002012","1.078"
"FR0000000025","FR0000007929","0.026"
"FR9900000371","FR9900000309","0.57"
"FR0000000286","FR0000002868","0.735"
"FR0000005681","FR9900001380","0.527"
"FR0000005285","FR9900000904","0.998"
"FR9900004461","FR0000003524","0.424"
"FR0000006923","FR9900000679","2.547"
"FR9900004082","FR9900004461","0.074"
"FR0000007544","FR9900002079","9.474"
"FR9900001380","FR0000001629","4.873"
"FR0000002464","FR0000004190","1.474"
"FR0000005182","FR9900004082","1.822"
"FR9900000399","FR0000003596","10.086"
"FR9900000393","FR0000005182","0.33"
"FR0000008737","FR9900001889","0.007"
"FR0000004815","FR0000007367","3.319"
"FR0000006418","FR0000002949","0.589"
"FR0000007358","FR9900000393","0.03"
"FR0000002949","FR0000001746","0.201"
"FR0000001876","FR0000007358","0.265"
"FR0000005198","FR9900000399","0.071"
"FR0000007038","FR0000004123","0.263"
"FR0000007038","FR9900000119","0.0"
"FR0000001746","FR0000001346","0.142"
"FR0000006705","FR0000001876","0.332"
"FR0000001346","FR0000001353","0.618"
"FR0000001561","FR0000006705","0.165"
"FR0000006617","FR9900000487","1.148"
"FR0000007367","FR9900000371","0.0"
"FR0000007367","FR0000007794","0.715"
"FR0000003752","FR0000006617","0.111"
"FR0000008303","FR9900000393","0.0"
"FR0000008303","FR0000001561","0.091"
"FR0000001353","FR0000006923","0.295"
"FR9900000537","FR9900000689","1.075"
"FR9900000487","FR0000003926","6.858"
"FR0000007794","FR9900000309","0.0"
"FR0000007794","FR9900002011","0.15"
"FR0000006795","FR0000008303","0.067"
"FR0000007423","FR0000005198","0.575"
"FR9900002011","FR9900000371","0.7"
"FR9900002079","FR0000006418","0.338"
"FR0000000224","FR9900000537","0.052"
"FR0000000437","FR0000000025","7.436"
"FR0000007494","FR0000000224","0.253"
"FR0000007494","FR9900000689","0.0"
"FR9900003969","FR0000000437","3.137"
"FR9900001360","FR0000008588","2.205"
"FR0000006934","FR9900003969","0.427"
"FR0000001434","FR0000008573","27.619"
"FR9900000997","FR0000002464","3.034"
"FR0000004123","FR0000007903","0.449"
"FR9900001889","FR0000009003","1.081"
"FR9900000119","FR0000005322","4.242"
"FR0000002385","FR9900000997","0.069"
"FR9900000030","FR0000002403","15.094"
"FR0000001002","FR0000008365","0.068"
"FR0000008121","FR0000006242","0.083"
"FR0000008121","FR9900000312","0.0"
"FR0000001293","FR0000005366","0.533"
"FR0000006242","FR0000002230","0.587"
"FR0000003926","FR0000001002","8.361"
"FR9900002013","FR0000005502","8.131"
"FR0000005366","FR9900000399","0.0"
"FR0000005366","FR0000007423","0.089"
"FR0000002230","FR9900000312","0.105"
"FR0000008365","FR9900000997","0.0"
"FR0000008365","FR0000002385","0.886"
"FR9900000312","FR0000005626","1.59"
"FR0000000199","FR9900003495","0.209"
"FR0000005626","FR0000008335","8.38"
"FR9900000679","FR0000000199","0.186"
"FR0000005572","FR0000006871","4.741"
"FR0000002711","FR0000003752","2.529"
"FR0000007137","FR0000009632","13.828"
"FR0000000459","FR9900000358","0.102"
"FR9900001888","FR0000007137","0.03"
"FR9900000358","FR0000000683","0.74"
"FR9900001417","FR9900000030","0.208"
"FR0000004439","FR0000001293","28.807"
"FR0000008161","FR9900001417","0.047"
"FR9900003543","FR0000004439","0.342"
"FR0000005502","FR0000000299","0.175"
"FR9900000560","FR0000006072","0.051"
"FR0000000299","FR0000002909","0.176"
"FR0000000683","FR0000006776","1.918"
"FR0000002909","FR0000005650","0.189"
"FR0000006776","FR0000000583","12.24"
"FR0000005650","FR0000009107","0.155"
"FR0000009434","FR9900003543","0.338"
"FR0000009107","FR0000001795","5.966"
"FR0000000583","FR0000000176","0.742"
"FR9900001883","FR9900001888","8.635"
