"source","target","sectionspeed"
"FR9900000203","FR0000005353","110.0"
"FR0000000296","FR0000003769","140.0"
"FR0000005353","FR0000006795","110.0"
"FR0000003674","FR0000003308","140.0"
"FR0000006315","FR9900000203","110.0"
"FR0000001342","FR0000002711","160.0"
"FR0000006993","FR0000007968","160.0"
"FR0000009109","FR9900003568","140.0"
"FR0000007968","FR9900000500","160.0"
"FR9900003568","FR0000009599","140.0"
"FR0000016283","FR0000006315","104.0"
"FR0000003237","FR0000000296","140.0"
"FR9900000500","FR9900000369","160.0"
"FR0000003859","FR0000003674","140.0"
"FR9900000202","FR0000016283","104.0"
"FR0000009599","FR0000007544","140.0"
"FR0000001629","FR0000007038","160.0"
"FR0000002007","FR0000005968","155.0"
"FR0000006655","FR9900000202","103.0"
"FR0000009003","FR0000002007","155.0"
"FR9900000369","FR0000005144","160.0"
"FR0000001725","FR0000009109","140.0"
"FR0000005144","FR0000006589","160.0"
"FR0000003308","FR0000000286","140.0"
"FR0000005703","FR0000006655","97.0"
"FR0000000033","FR0000001725","113.33333333333333"
"FR0000016281","FR0000005703","94.44444444444444"
"FR9900000904","FR0000000033","113.33333333333333"
"FR0000016330","FR0000016281","94.44444444444444"
"FR0000003093","FR0000022975","40.0"
"FR9900001689","FR0000005285","140.0"
"FR0000016279","FR0000016330","97.0"
"FR0000001102","FR0000003093","105.0"
"FR0000006611","FR0000016279","91.25"
"FR9900000839","FR0000008253","140.0"
"FR0000006980","FR0000006611","100.0"
"FR0000004190","FR0000003859","140.0"
"FR0000007098","FR0000006980","97.14285714285715"
"FR0000002868","FR0000001102","140.0"
"FR9900002012","FR0000006993","160.0"
"FR9900001469","FR9900000839","140.0"
"FR0000009632","FR0000007494","160.0"
"FR0000007929","FR9900001469","140.0"
"FR9900000309","FR9900002012","160.0"
"FR0000000025","FR0000007929","130.0"
"FR9900000371","FR9900000309","160.0"
"FR0000000286","FR0000002868","140.0"
"FR0000005681","FR9900001380","160.0"
"FR0000005285","FR9900000904","140.0"
"FR9900004461","FR0000003524","122.5"
"FR0000006923","FR9900000679","140.0"
"FR9900004082","FR9900004461","122.5"
"FR0000007544","FR9900002079","140.0"
"FR9900001380","FR0000001629","160.0"
"FR0000002464","FR0000004190","140.0"
"FR0000005182","FR9900004082","120.0"
"FR9900000399","FR0000003596","160.0"
"FR9900000393","FR0000005182","120.0"
"FR0000008737","FR9900001889","155.0"
"FR0000004815","FR0000007367","145.0"
"FR0000006418","FR0000002949","120.0"
"FR0000007358","FR9900000393","120.0"
"FR0000002949","FR0000001746","120.0"
"FR0000001876","FR0000007358","120.0"
"FR0000005198","FR9900000399","160.0"
"FR0000007038","FR0000004123","160.0"
"FR0000001746","FR0000001346","120.0"
"FR0000006705","FR0000001876","120.0"
"FR0000001346","FR0000001353","140.0"
"FR0000001561","FR0000006705","120.0"
"FR0000006617","FR9900000487","160.0"
"FR0000007367","FR0000007794","160.0"
"FR0000003752","FR0000006617","160.0"
"FR0000008303","FR0000001561","120.0"
"FR0000001353","FR0000006923","140.0"
"FR9900000537","FR9900000689","160.0"
"FR9900000487","FR0000003926","160.0"
"FR0000007794","FR9900002011","160.0"
"FR0000006795","FR0000008303","120.0"
"FR0000007423","FR0000005198","160.0"
"FR9900002011","FR9900000371","160.0"
"FR9900002079","FR0000006418","120.0"
"FR0000000224","FR9900000537","160.0"
"FR0000000437","FR0000000025","130.0"
"FR0000007494","FR0000000224","160.0"
"FR9900003969","FR0000000437","140.0"
"FR9900001360","FR0000008588","150.0"
"FR0000006934","FR9900003969","140.0"
"FR0000001434","FR0000008573","160.0"
"FR9900000997","FR0000002464","160.0"
"FR0000004123","FR0000007903","160.0"
"FR9900001889","FR0000009003","155.0"
"FR9900000119","FR0000005322","160.0"
"FR0000002385","FR9900000997","160.0"
"FR9900000030","FR0000002403","155.0"
"FR0000001002","FR0000008365","160.0"
"FR0000008121","FR0000006242","150.0"
"FR0000001293","FR0000005366","150.0"
"FR0000006242","FR0000002230","140.0"
"FR0000003926","FR0000001002","160.0"
"FR9900002013","FR0000005502","155.0"
"FR0000005366","FR0000007423","160.0"
"FR0000002230","FR9900000312","140.0"
"FR0000008365","FR0000002385","160.0"
"FR9900000312","FR0000005626","150.0"
"FR0000000199","FR9900003495","140.0"
"FR0000005626","FR0000008335","150.0"
"FR9900000679","FR0000000199","140.0"
"FR0000005572","FR0000006871","155.0"
"FR0000002711","FR0000003752","160.0"
"FR0000007137","FR0000009632","160.0"
"FR0000000459","FR9900000358","140.0"
"FR9900001888","FR0000007137","160.0"
"FR9900000358","FR0000000683","140.0"
"FR9900001417","FR9900000030","155.0"
"FR0000004439","FR0000001293","130.0"
"FR0000008161","FR9900001417","155.0"
"FR9900003543","FR0000004439","130.0"
"FR0000005502","FR0000000299","155.0"
"FR9900000560","FR0000006072","140.0"
"FR0000000299","FR0000002909","155.0"
"FR0000000683","FR0000006776","140.0"
"FR0000002909","FR0000005650","155.0"
"FR0000006776","FR0000000583","130.0"
"FR0000005650","FR0000009107","155.0"
"FR0000009434","FR9900003543","130.0"
"FR0000009107","FR0000001795","155.0"
"FR0000000583","FR0000000176","130.0"
"FR9900001883","FR9900001888","160.0"
"FR9900003495","FR0000006934","140.0"
"FR0000008820","FR0000008161","155.0"
"FR0000006072","FR0000016318","140.0"
"FR0000006589","FR9900002013","155.0"
"FR0000000043","FR0000007646","135.0"
"FR9900000518","FR9900001883","160.0"
"FR0000003393","FR0000007558","140.0"
"FR0000007693","FR0000008121","155.0"
"FR9900000241","FR9900001689","140.0"
"FR0000001843","FR0000007693","150.0"
"FR0000007558","FR0000003237","140.0"
"FR0000002806","FR0000007098","97.14285714285715"
"FR0000016318","FR9900000999","140.0"
"FR9900000151","FR0000002806","97.14285714285715"
"FR9900000999","FR9900001191","140.0"
"FR0000000944","FR9900000151","101.42857142857143"
"FR0000000176","FR0000006028","130.0"
"FR0000007104","FR0000000944","100.0"
"FR9900001191","FR9900000004","150.0"
"FR0000007678","FR0000007104","100.0"
"FR0000006871","FR0000008737","155.0"
"FR0000008573","FR0000007419","160.0"
"FR0000003596","FR0000008091","150.0"
"FR0000007419","FR0000005086","160.0"
"FR0000005393","FR0000000459","140.0"
"FR0000001598","FR0000007678","97.14285714285714"
"FR0000008091","FR0000003393","150.0"
"FR0000005086","FR9900000570","160.0"
"FR9900001660","FR0000005393","140.0"
"FR0000007903","FR9900000119","160.0"
"FR0000008253","FR9900001660","140.0"
"FR9900000570","FR9900001466","150.0"
"FR0000004199","FR0000001342","160.0"
"FR0000009589","FR0000003719","84.44444444444444"
"FR0000003769","FR0000005454","140.0"
"FR9900001637","FR0000009589","81.11111111111111"
"FR0000007646","FR0000009093","140.0"
"FR0000000364","FR9900001637","95.45454545454545"
"FR0000005844","FR0000004199","160.0"
"FR9900003976","FR0000000364","92.22222222222223"
"FR0000000529","FR0000005844","160.0"
"FR0000016314","FR9900003976","45.0"
"FR0000001209","FR0000000529","160.0"
"FR0000005322","FR0000008496","160.0"
"FR0000009093","FR0000007978","140.0"
"FR9900001466","FR0000001843","150.0"
"FR9900000260","FR0000001209","160.0"
"FR0000008496","FR9900000518","160.0"
"FR0000009094","FR9900000260","160.0"
"FR0000008335","FR9900001360","150.0"
"FR9900004545","FR0000009434","135.0"
"FR0000003719","FR0000001598","97.14285714285714"
"FR0000005841","FR9900004545","135.0"
"FR0000003524","FR0000002598","122.5"
"FR0000009679","FR9900002137","140.0"
"FR0000001795","FR0000008820","155.0"
"FR9900002137","FR9900000560","140.0"
"FR0000002598","FR0000007114","122.5"
"FR0000007978","FR0000005013","140.0"
"FR9900000933","FR9900003564","150.0"
"FR9900000004","FR0000009094","160.0"
"FR0000002504","FR9900000071","160.0"
"FR0000005968","FR0000000043","135.0"
"FR9900003974","FR0000007503","160.0"
"FR0000005013","FR9900000241","140.0"
"FR9900000233","FR9900000933","150.0"
"FR0000006028","FR0000005841","135.0"
"FR0000009295","FR9900000233","150.0"
"FR0000005454","FR0000009679","140.0"
"FR9900000235","FR0000009295","150.0"
"FR9900001319","FR0000001193","150.0"
"FR9900000147","FR0000002504","160.0"
"FR0000005389","FR9900000235","150.0"
"FR0000007503","FR0000007684","160.0"
"FR0000007684","FR0000009230","160.0"
"FR9900003564","FR0000001135","150.0"
"FR0000001135","FR0000015844","150.0"
"FR0000000786","FR0000001434","160.0"
"FR9900004445","FR0000005681","160.0"
"FR0000000678","FR0000000786","160.0"
"FR0000002663","FR0000000520","170.0"
"FR0000003924","FR0000005389","150.0"
"FR0000001193","FR0000005572","150.0"
"FR0000003358","FR0000001103","127.5"
"FR0000015844","FR0000008329","145.0"
"FR0000007679","FR0000003358","112.0"
"FR0000009230","FR9900004445","160.0"
"FR9900000071","FR0000000678","160.0"
"FR0000001103","FR0000002663","170.0"
"FR0000008329","FR0000008875","150.0"
"FR0000004529","FR9900000747","150.0"
"FR0000009671","FR0000002611","140.0"
"FR0000004092","FR0000004307","125.0"
"FR0000001112","FR0000005466","160.0"
"FR0000001337","FR0000004092","125.0"
"FR9900000025","FR0000001112","160.0"
"FR0000002754","FR0000007679","110.0"
"FR0000002403","FR9900003974","160.0"
"FR0000007114","FR0000002754","122.5"
"FR9900000747","FR0000004815","150.0"
"FR0000002611","FR0000001337","140.0"
"FR0000004307","FR0000003924","125.0"
"FR0000002592","FR0000009671","170.0"
"FR0000008588","FR9900001319","150.0"
"FR0000008500","FR9900000147","160.0"
"FR0000000520","FR0000002592","170.0"
"FR0000006615","FR9900000025","160.0"
"FR0000005466","FR0000008500","160.0"
"FR0000008875","FR0000004529","150.0"
"FR9900000689","FR0000006615","160.0"
"FR0000001756","FR0000001598","30.0"
"FR0000022868","FR9900001140","30.0"
"FR0000001756","FR0000022868","30.0"
"FR0000002165","FR0000000364","60.0"
"FR0000000426","FR0000002165","60.0"
"FR0000000286","FR0000000908","60.0"
"FR9900003817","FR9900002763","30.0"
"FR0000001337","FR0000022913","30.0"
"FR0000022913","FR0000008899","30.0"
"FR0000008899","FR9900003817","30.0"
"FR0000014785","FR0000006268","40.0"
"FR0000004933","FR0000009408","103.33333333333333"
"FR9900001890","FR0000008896","40.0"
"FR0000009259","FR0000006291","120.0"
"FR0000008686","FR0000009259","120.0"
"FR0000006843","FR0000008686","120.0"
"FR0000001135","FR0000004933","90.0"
"FR0000002255","FR0000003008","120.0"
"FR0000009802","FR9900001890","40.0"
"FR0000006291","FR0000006388","120.0"
"FR0000003681","FR9900001102","40.0"
"FR0000008896","FR0000014785","40.0"
"FR0000009263","FR0000002581","120.0"
"FR0000010728","FR0000003681","40.0"
"FR0000002581","FR0000006843","120.0"
"FR0000003008","FR0000002470","120.0"
"FR0000005749","FR0000009263","120.0"
"FR0000006268","FR9900001764","40.0"
"FR0000006388","FR0000002255","120.0"
"FR0000009408","FR0000005525","120.0"
"FR0000005901","FR0000010728","100.0"
"FR0000002470","FR0000004155","120.0"
"FR0000005525","FR0000000165","120.0"
"FR0000000165","FR0000005749","120.0"
"FR0000004155","FR0000005901","120.0"
"FR9900002014","FR0000010717","40.0"
"FR0000002963","FR0000005823","70.0"
"FR0000010717","FR0000009113","40.0"
"FR0000000299","FR0000010380","70.0"
"FR0000010380","FR0000002963","70.0"
"FR0000009635","FR0000006803","30.0"
"FR0000005894","FR9900002014","40.0"
"FR0000004187","FR0000005894","40.0"
"FR0000005823","FR0000010622","70.0"
"FR0000010583","FR9900001037","40.0"
"FR0000005796","FR0000010583","40.0"
"FR9900001840","FR0000005796","40.0"
"FR0000010622","FR0000002814","70.0"
"FR0000002814","FR0000009635","70.0"
"FR0000015080","FR9900001840","40.0"
"FR0000009113","FR0000015080","40.0"
"FR0000006803","FR0000004187","30.0"
"FR0000014147","FR0000005340","20.0"
"FR0000001067","FR9900001588","20.0"
"FR0000005340","FR9900001021","20.0"
"FR0000008414","FR0000014147","20.0"
"FR9900001588","FR0000008414","20.0"
"FR0000001439","FR0000000059","230.0"
"FR0000001715","FR0000000916","320.0"
"FR0000000903","FR0000000551","320.0"
"FR0000000461","FR0000001715","320.0"
"FR0000001981","FR0000004469","112.85714285714285"
"FR0000003094","FR0000000877","223.33333333333334"
"FR0000000059","FR0000001981","138.0"
"FR0000002653","FR0000000461","223.33333333333334"
"FR0000004469","FR0000001527","320.0"
"FR0000000877","FR0000000535","320.0"
"FR0000000551","FR0000003094","146.0"
"FR0000000535","FR0000002653","223.33333333333334"
"FR0000000385","FR0000001439","220.0"
"FR0000000916","FR0000001816","223.33333333333331"
"FR0000001527","FR0000000903","320.0"
"FR0000008459","FR0000001904","20.0"
"FR0000000224","FR9900003529","20.0"
"FR0000006216","FR0000008459","20.0"
"FR9900003529","FR0000006216","20.0"
"FR0000001527","FR0000000983","145.0"
"FR0000000983","FR0000000757","145.0"
"FR0000000903","FR0000000449","160.0"
"FR0000000551","FR0000009030","160.0"
"FR0000009030","FR0000000579","160.0"
"FR0000000877","FR0000001423","170.0"
"FR0000001423","FR0000001522","165.0"
"FR0000000535","FR0000000141","130.0"
"FR0000001423","FR0000000535","130.0"
"FR0000000461","FR0000000592","165.0"
"FR0000000592","FR0000001361","160.0"
"FR0000000592","FR0000001098","160.0"
"FR0000016102","FR0000001816","160.0"
"FR0000001816","FR0000003512","160.0"
"FR0000003512","FR0000000719","160.0"
"FR0000005886","FR0000010708","40.0"
"FR9900003504","FR0000005886","40.0"
"FR0000010708","FR0000001724","40.0"
"FR0000011411","FR0000008420","40.0"
"FR0000005602","FR0000006664","40.0"
"FR9900001894","FR0000006141","40.0"
"FR9900001896","FR0000011759","40.0"
"FR0000008420","FR0000005261","40.0"
"FR0000006415","FR9900001247","40.0"
"FR0000011759","FR9900001893","40.0"
"FR0000006123","FR0000006999","40.0"
"FR0000005261","FR9900001897","40.0"
"FR0000006664","FR0000006317","40.0"
"FR0000006317","FR9900001896","40.0"
"FR0000006999","FR0000005602","40.0"
"FR0000000619","FR0000007524","40.0"
"FR9900004314","FR9900001183","40.0"
"FR9900001183","FR0000001112","40.0"
"FR0000007524","FR0000006123","40.0"
"FR0000005668","FR0000006698","40.0"
"FR0000001240","FR9900001894","40.0"
"FR9900001247","FR0000008791","40.0"
"FR0000007851","FR9900001895","40.0"
"FR9900001895","FR0000013395","40.0"
"FR0000006698","FR9900001063","40.0"
"FR9900001893","FR0000005273","40.0"
"FR0000013395","FR0000007163","40.0"
"FR0000008791","FR0000011411","40.0"
"FR0000007163","FR0000006415","40.0"
