"source","target","sectionlength"
"IT03466","EU00150","3.771"
"IT03466","EU00151","3.978"
"IT04498","IT04501","1.942"
"EU00116","IT03015","5.46"
"EU00115","IT02001","0.521"
"IT01110","IT13653","6.998"
"IT01111","IT01113","3.586"
"IT01023","IT01022","8.722"
"IT01952","IT01023","6.251"
"EU00153","IT01952","0.401"
"EU00152","IT01110","1.877"
"IT02115","EU00114","3.453"
"IT01854","IT05014","4.564"
"IT01022","IT01003","3.826"
"EU00126","IT04498","5.345"
"IT13653","IT01111","2.395"
"IT02114","IT02115","4.606"
"IT08990","IT08991","24.563"
"IT08500","IT08989","8.139"
"IT08995","IT08667","3.595"
"IT08995","IT08992","26.303"
"IT08989","IT08990","24.22"
"IT08992","IT08993","23.581"
"IT08217","IT08220","1.086"
"IT08220","IT08500","2.061"
"IT08994","IT09950","9.436"
"IT08993","IT08994","20.907"
"IT09954","IT09300","3.549"
"IT09954","IT09988","14.309"
"IT09951","IT09952","20.642"
"IT09126","IT09125","4.288"
"IT09126","IT09710","3.809"
"IT09953","IT09954","18.894"
"IT09953","IT09956","6.102"
"IT08991","IT08995","0.923"
"IT09217","IT09710","5.525"
"IT09952","IT09953","3.297"
"IT09988","IT09126","1.542"
"IT09198","IT09950","4.373"
"IT09950","IT09951","10.515"
"IT00765","IT00248","0.325"
"IT00765","IT00023","0.81"
"IT00762","IT00763","29.559"
"IT00760","IT00761","31.582"
"IT01039","IT01640","4.094"
"IT00761","IT00762","6.849"
"IT00761","IT00238","6.12"
"IT01038","IT01171","19.322"
"IT00040","IT00765","0.71"
"IT01171","IT01039","0.442"
"IT00763","IT00764","15.88"
"IT00764","IT01038","18.645"
"IT00764","IT00040","2.965"
"IT05255","IT05254","10.646"
"IT05252","IT05251","10.597"
"IT05251","IT05250","16.557"
"IT05251","IT01559","3.698"
"IT05250","IT01554","3.84"
"IT05321","IT05043","4.158"
"IT01552","IT01551","24.968"
"IT01820","IT01551","13.888"
"IT05254","IT05253","9.379"
"IT01553","IT01552","12.894"
"IT01553","IT01556","3.819"
"IT05082","IT05048","5.557"
"IT05253","IT05260","12.742"
"IT05046","IT05048","1.991"
"IT05259","IT05041","4.109"
"IT05259","IT05258","5.373"
"IT01557","IT01554","3.86"
"IT05260","IT05252","23.097"
"IT05260","IT01854","3.138"
"IT05047","IT05321","0.82"
"IT05047","IT05259","9.903"
"IT05256","IT05255","8.473"
"IT05256","IT05262","4.474"
"IT05258","IT05256","25.366"
"IT05048","IT05047","1.729"
"IT05264","IT05258","2.644"
"IT01554","IT01553","13.665"
"IT05273","IT05298","16.332"
"IT05046","IT05272","12.991"
"IT05003","IT05272","5.205"
"IT05272","IT05273","18.321"
"IT05298","IT05275","19.642"
"IT05275","IT06419","18.82"
"IT05130","IT05003","1.425"
"IT01732","IT01811","13.264"
"IT01730","IT01732","39.572"
"EU00129","IT04480","1.627"
"IT04481","IT04482","6.413"
"IT00613","IT00614","1.604"
"IT00617","EU00128","5.849"
"IT00610","IT00613","8.578"
"IT04482","IT04501","4.96"
"IT04480","IT04483","1.136"
"IT00616","IT00617","8.831"
"IT00614","IT00615","2.895"
"IT00615","IT00616","6.42"
"IT04483","IT04481","0.586"
"IT05804","IT05805","3.357"
"IT05805","IT05806","4.149"
"IT05802","IT05804","9.705"
"IT05810","IT05811","10.59"
"IT05808","IT05809","4.258"
"IT05807","IT05808","8.935"
"IT05806","IT05807","5.319"
"IT05809","IT05810","2.894"
"IT05816","IT05817","3.264"
"IT05819","IT05820","3.028"
"IT05812","IT05813","8.856"
"IT05815","IT05816","4.675"
"IT05814","IT05815","7.419"
"IT05817","IT05818","2.672"
"IT05820","IT05071","4.212"
"IT05818","IT05819","3.38"
"IT05811","IT05812","4.725"
"IT05813","IT05814","7.609"
"IT05058","IT05955","8.915"
"IT05955","IT05956","3.432"
"IT05956","IT05951","4.189"
"IT05953","IT05950","2.361"
"IT05952","IT05953","4.88"
"IT05954","IT05952","2.74"
"IT05951","IT05954","5.442"
