"source","target","sectionspeed"
"IT03466","EU00150","30.0"
"IT03466","EU00151","75.0"
"EU00116","IT03015","150.0"
"EU00115","IT02001","55.0"
"IT01110","IT13653","105.0"
"IT01111","IT01113","105.0"
"IT01023","IT01022","95.0"
"IT01952","IT01023","95.0"
"EU00153","IT01952","95.0"
"EU00152","IT01110","105.0"
"IT02115","EU00114","80.0"
"IT01854","IT05014","80.0"
"IT01022","IT01003","90.0"
"IT13653","IT01111","105.0"
"IT02114","IT02115","80.0"
"IT08990","IT08991","300.0"
"IT08500","IT08989","220.0"
"IT08995","IT08667","100.0"
"IT08995","IT08992","300.0"
"IT08989","IT08990","300.0"
"IT08992","IT08993","300.0"
"IT08220","IT08500","60.0"
"IT08994","IT09950","300.0"
"IT08993","IT08994","300.0"
"IT09954","IT09300","60.0"
"IT09954","IT09988","300.0"
"IT09951","IT09952","300.0"
"IT09126","IT09125","160.0"
"IT09126","IT09710","160.0"
"IT09953","IT09954","300.0"
"IT09953","IT09956","160.0"
"IT09217","IT09710","140.0"
"IT09952","IT09953","300.0"
"IT09198","IT09950","160.0"
"IT09950","IT09951","300.0"
"IT00762","IT00763","300.0"
"IT00760","IT00761","300.0"
"IT01039","IT01640","140.0"
"IT00761","IT00762","300.0"
"IT00761","IT00238","300.0"
"IT01038","IT01171","300.0"
"IT01171","IT01039","160.0"
"IT00763","IT00764","300.0"
"IT00764","IT01038","300.0"
"IT00764","IT00040","100.0"
"IT05255","IT05254","300.0"
"IT05252","IT05251","300.0"
"IT05251","IT05250","300.0"
"IT05251","IT01559","100.0"
"IT05250","IT01554","300.0"
"IT05321","IT05043","125.0"
"IT01552","IT01551","300.0"
"IT01820","IT01551","205.0"
"IT05254","IT05253","300.0"
"IT01553","IT01552","300.0"
"IT01553","IT01556","160.0"
"IT05082","IT05048","140.0"
"IT05253","IT05260","300.0"
"IT05046","IT05048","135.0"
"IT05259","IT05041","125.0"
"IT05259","IT05258","250.0"
"IT01557","IT01554","160.0"
"IT05260","IT05252","300.0"
"IT05260","IT01854","150.0"
"IT05047","IT05321","125.0"
"IT05047","IT05259","250.0"
"IT05256","IT05255","300.0"
"IT05256","IT05262","160.0"
"IT05258","IT05256","300.0"
"IT05048","IT05047","180.0"
"IT05264","IT05258","185.0"
"IT01554","IT01553","300.0"
"IT05273","IT05298","300.0"
"IT05046","IT05272","180.0"
"IT05003","IT05272","140.0"
"IT05272","IT05273","300.0"
"IT05298","IT05275","300.0"
"IT05275","IT06419","300.0"
"IT01732","IT01811","160.0"
"IT01730","IT01732","300.0"
"EU00129","IT04480","75.0"
"IT04481","IT04482","80.0"
"IT00613","IT00614","95.0"
"IT00617","EU00128","85.0"
"IT00610","IT00613","95.0"
"IT04482","IT04501","80.0"
"IT04480","IT04483","80.0"
"IT00616","IT00617","85.0"
"IT00614","IT00615","95.0"
"IT00615","IT00616","135.0"
"IT04483","IT04481","80.0"
"IT05804","IT05805","120.0"
"IT05805","IT05806","120.0"
"IT05802","IT05804","120.0"
"IT05810","IT05811","120.0"
"IT05808","IT05809","120.0"
"IT05807","IT05808","120.0"
"IT05806","IT05807","110.0"
"IT05809","IT05810","120.0"
"IT05816","IT05817","105.0"
"IT05819","IT05820","130.0"
"IT05812","IT05813","130.0"
"IT05815","IT05816","105.0"
"IT05814","IT05815","130.0"
"IT05817","IT05818","105.0"
"IT05820","IT05071","105.0"
"IT05818","IT05819","130.0"
"IT05811","IT05812","110.0"
"IT05813","IT05814","130.0"
"IT05058","IT05955","100.0"
"IT05955","IT05956","135.0"
"IT05956","IT05951","105.0"
"IT05953","IT05950","135.0"
"IT05952","IT05953","135.0"
"IT05954","IT05952","105.0"
"IT05951","IT05954","105.0"
"IT05905","IT05951","120.0"
"IT05900","IT05905","120.0"
"IT05056","IT05900","120.0"
"IT05902","IT05903","120.0"
"IT05951","IT05902","120.0"
"IT05904","IT05811","120.0"
"IT05903","IT05904","120.0"
"IT05955","IT05903","135.0"
"IT00601","IT00602","150.0"
"IT00600","IT00601","150.0"
"IT00603","IT00604","150.0"
"IT00604","IT00606","150.0"
"IT00602","IT00603","150.0"
"IT00455","IT00600","150.0"
"IT06703","IT06904","85.0"
"IT06705","IT06703","85.0"
"IT06700","IT06701","100.0"
"IT06704","IT06700","100.0"
"IT06604","IT06704","100.0"
"IT06701","IT06702","85.0"
"IT06702","IT06705","85.0"
"IT06611","IT06610","80.0"
"IT06617","IT06618","105.0"
"IT06607","IT06611","80.0"
"IT06612","IT06613","105.0"
"IT06606","IT06607","80.0"
"IT06604","IT06606","80.0"
"IT06610","IT06612","105.0"
"IT06615","IT06617","105.0"
"IT06618","IT06614","100.0"
"IT06613","IT06615","105.0"
"IT06614","IT05058","140.0"
"IT06659","IT06602","130.0"
"IT06602","IT06601","110.0"
"IT06603","IT06659","130.0"
"IT06601","IT06953","100.0"
"IT06604","IT06603","130.0"
"IT06952","IT06958","100.0"
"IT06953","IT06952","100.0"
"IT06958","IT06950","75.0"
"IT06350","IT06351","120.0"
"IT06351","IT06403","105.0"
"IT06040","IT06350","120.0"
"IT06403","IT06404","140.0"
"IT05122","IT05115","70.0"
"IT05118","IT05122","70.0"
"IT05123","IT05112","70.0"
"IT05115","IT05116","70.0"
"IT05110","IT05123","85.0"
"IT05119","IT05113","70.0"
"IT05117","IT05151","80.0"
"IT05116","IT05117","70.0"
"IT05151","IT06414","80.0"
"IT05112","IT05119","70.0"
"IT05113","IT05118","70.0"
"IT06410","IT06412","140.0"
"IT06409","IT06410","140.0"
"IT06404","IT06405","140.0"
"IT06411","IT06413","140.0"
"IT06405","IT06406","140.0"
"IT06406","IT06407","140.0"
"IT06408","IT06409","110.0"
"IT06412","IT06411","140.0"
"IT06407","IT06408","110.0"
"IT06413","IT06414","140.0"
"IT06499","IT06400","140.0"
"IT06057","IT06056","115.0"
"IT06402","IT06403","100.0"
"IT06401","IT06402","140.0"
"IT06400","IT06401","140.0"
"IT06415","IT06426","150.0"
"IT06426","IT06422","150.0"
"IT06422","IT06416","120.0"
"IT06414","IT06415","150.0"
"IT06223","IT06224","85.0"
"IT06313","IT06404","100.0"
"IT06224","IT06225","80.0"
"IT06322","IT06300","85.0"
"IT06220","IT06222","85.0"
"IT06013","IT06220","85.0"
"IT06306","IT06308","75.0"
"IT06222","IT06223","85.0"
"IT06325","IT06324","80.0"
"IT06323","IT06322","85.0"
"IT06324","IT06323","85.0"
"IT06227","IT06325","140.0"
"IT06302","IT06303","85.0"
"IT06309","IT06310","75.0"
"IT06310","IT06312","85.0"
"IT06225","IT06226","80.0"
"IT06312","IT06313","100.0"
"IT06308","IT06309","75.0"
"IT06300","IT06301","80.0"
"IT06303","IT06304","85.0"
"IT06301","IT06302","85.0"
"IT06226","IT06227","85.0"
"IT06304","IT06306","85.0"
"IT00950","IT00951","150.0"
"IT00606","IT00950","150.0"
"IT00951","IT00952","150.0"
"IT06055","IT06773","135.0"
"IT06774","IT06772","75.0"
"IT06773","IT06774","135.0"
"IT06510","IT06807","110.0"
"IT06801","IT06802","150.0"
"IT06802","IT06803","150.0"
"IT06806","IT06805","150.0"
"IT06803","IT06806","150.0"
"IT06807","IT06801","110.0"
"IT06826","IT06809","95.0"
"IT06808","IT06826","95.0"
"IT06805","IT06808","90.0"
"IT06812","IT06825","120.0"
"IT06811","IT06812","120.0"
"IT06825","IT06813","90.0"
"IT06809","IT06811","95.0"
"IT06854","IT06855","140.0"
"IT06851","IT06852","120.0"
"IT06850","IT06851","105.0"
"IT06813","IT06850","90.0"
"IT06852","IT06854","120.0"
"IT06855","IT06856","140.0"
"IT07514","IT07554","115.0"
"IT07022","IT07552","115.0"
"IT07023","IT07022","115.0"
"IT07551","IT07555","105.0"
"IT07554","IT07023","115.0"
"IT07557","IT07550","75.0"
"IT07552","IT07024","115.0"
"IT07024","IT07551","115.0"
"IT07556","IT07557","85.0"
"IT07555","IT07556","85.0"
"IT07712","IT07437","140.0"
"IT07704","IT07703","90.0"
"IT07700","IT08539","90.0"
"IT07705","IT07704","90.0"
"IT07811","IT07017","95.0"
"IT07437","IT07710","140.0"
"IT07710","IT07708","150.0"
"IT07025","IT07712","140.0"
"IT07708","IT07707","95.0"
