"source","target","sectionspeed"
"LUDb   ","LUDv   ","80.0"
"LUBt-V ","LUDb   ","80.0"
"LUDc   ","LUDu   ","80.0"
"LUDv   ","LUDc   ","80.0"
"LUDu   ","LUVm   ","80.0"
"LUSchb ","LUSg   ","100.0"
"LUSg   ","LUEs   ","100.0"
"LUBt-V ","LUNz   ","100.0"
"LUNz   ","LUSchb ","100.0"
"LUBb   ","LUSchb ","60.0"
"LUEs   ","EU00100","60.0"
"LUBLy  ","LUBUn  ","90.0"
"LUDi   ","LUOk   ","90.0"
"LUBUn  ","LUBu   ","90.0"
"LUBu   ","LUEs   ","90.0"
"LUBr   ","LUBLy  ","90.0"
"LUBs   ","LUBr   ","90.0"
"LUD    ","LUDi   ","90.0"
"LUOk   ","LUBs   ","90.0"
"LUP    ","LUNk   ","90.0"
"LUNk   ","LUD    ","90.0"
"LUSr2  ","LUCu   ","40.0"
"LUCu   ","LUBi   ","40.0"
"LUEb   ","LUSr2  ","40.0"
"LUEb   ","LUDk   ","80.0"
"LUPa   ","LUWz   ","50.0"
"LUMk   ","LUPa   ","50.0"
"LUKt   ","LUMk   ","50.0"
"LUSy   ","LUOe   ","100.0"
"LUBc-E ","LUSy   ","100.0"
"LUL    ","LUF-S4 ","120.0"
"LUF-S4 ","LUBc-E ","80.0"
"LUF-S4 ","LUBc-N ","100.0"
"LUBc-N ","LUBc-E ","80.0"
"LUBc   ","LUBc-N ","120.0"
"LULt   ","LUL    ","140.0"
"LUHo   ","LULt   ","140.0"
"LUF-S6 ","LUF    ","140.0"
"LUF    ","LUHo   ","140.0"
"LULiv  ","LUBc   ","140.0"
"LUBc   ","LUF-S6 ","140.0"
"LUBt-V ","LULiv  ","140.0"
"EU00102","LUBt-V ","140.0"
"LUL    ","LUBtr  ","130.0"
"LUKb   ","EU00096","130.0"
"LUCp   ","LUKb   ","130.0"
"LUBtr  ","LUMr-L ","130.0"
"LUMr-L ","LUMr   ","130.0"
"LUMr   ","LUCp   ","130.0"
"LULh   ","LUL    ","140.0"
"LUSw   ","LUDr   ","140.0"
"LUP    ","LUBa   ","140.0"
"LUDr   ","LULd   ","140.0"
"LUBa   ","LUSw   ","140.0"
"LULd   ","LULh   ","140.0"
"LUTv   ","EU00095","100.0"
"LULr   ","LULi   ","120.0"
"LUSr   ","LUEb   ","120.0"
"LUCt   ","LUCb   ","120.0"
"LUCb   ","LUSr   ","120.0"
"LUWf   ","LUHd   ","120.0"
"LUMe   ","LUCv   ","95.0"
"LUWw   ","LUDf   ","95.0"
"LUMl   ","LUTv   ","95.0"
"LULi   ","LUM    ","120.0"
"LUDm   ","LUWf   ","120.0"
"LUGb   ","LUKt   ","95.0"
"LUCv   ","LUMl   ","95.0"
"LUEb   ","LUBd   ","95.0"
"LUHd   ","LULr   ","120.0"
"LUPf-K ","LUDm   ","120.0"
"LUM    ","LUCt   ","120.0"
"LUKt   ","LUWw   ","95.0"
"LUDf   ","LUMe   ","95.0"
"LUMc   ","LUGb   ","95.0"
"LUBd   ","LUMc   ","95.0"
"LUL    ","LUPf-K ","120.0"
"LUL    ","LUCs   ","120.0"
"LUMn   ","LUMt   ","100.0"
"LUOe   ","LUMb   ","100.0"
"LUBz   ","LUWk   ","100.0"
"LUW    ","EU00009","80.0"
"LURt   ","LUBz   ","100.0"
"LUMb   ","LURt   ","100.0"
"LUWk   ","LUMn   ","100.0"
"LUSc   ","LUOe   ","120.0"
"LUMt   ","LUW    ","100.0"
"LUCs   ","LUSc   ","120.0"
"LUNz   ","LUBb   ","75.0"
"LUBb   ","LUKa   ","75.0"
"LUKa   ","LUTg   ","75.0"
"LUTg   ","LURu   ","75.0"
"LUP130 ","EU00098","70.0"
"LUP    ","LULm   ","70.0"
"LULm   ","LUR    ","70.0"
"LUR    ","LUP130 ","70.0"
"LUP130 ","EU00097","70.0"
"LUP130 ","EU00099","100.0"
"LUTg   ","LULg   ","40.0"
