"source","target","sectionlength"
"NLMLO","NLLTM","6.416"
"NLVLB","NLVRY","7.385"
"NLLTM","NLBR","7.602"
"NLAH","NLESTA","11.271"
"NLCK","NLBGK","4.62"
"NLBMR","NLVLB","7.05"
"NLVRY","NLMLO","6.605"
"NLMMLH","NLCK","4.902"
"NLNM","NLMMLH","9.333"
"NLESTA","NLNM","7.275"
"NLBGK","NLBMR","5.62"
"NLAH","NLVA","1.721"
"NLDR","NLZP","13.218"
"NLVA","NLDR","14.324"
"NLOST","NLZL","20.492"
"NLDV","NLOST","9.553"
"NLZP","NLDV","16.002"
"NLBKD","NLAMF","1.116"
"NLAML","NLHGL","14.724"
"NLHGL","NLODZ","10.856"
"NLODZ","EU00002","7.247"
"NLAPD","NLDV","14.545"
"NLZVO","EU00004","1.411"
"NLHAR","NLED","14.372"
"NLBKLA","NLMAS","4.789"
"NLASB","NLAC","4.2"
"NLED","NLWF","8.653"
"NLVA","NLZV","12.286"
"NLUTZA","NLDB","8.725"
"NLWF","NLAH","7.746"
"NLAC","NLBKLA","12.896"
"NLASDM","NLDVD","5.032"
"NLMRG","NLHAR","8.982"
"NLZV","NLZVO","3.677"
"NLMAS","NLUT","7.147"
"NLDB","NLMRG","5.687"
"NLDVD","NLASB","1.5"
"NLGV","NLDTA","5.7"
"NLHW","NLHLM","7.492"
"NLSDM","NLDHSA","2.165"
"NLLAA","NLGV","1.875"
"NLLEDN","NLGVM","11.495"
"NLDT","NLSDM","10.306"
"NLLIS","NLLEDN","13.38"
"NLDTA","NLDT","2.544"
"NLGVM","NLGV","4.15"
"NLGVM","NLLAA","2.275"
"NLDHSA","NLRTD","1.78"
"NLSDMGA","NLSDM","0.81"
"NLHLM","NLLIS","15.318"
"NLDMN","NLGPDA","2.985"
"NLDGOK","NLASDM","1.945"
"NLCR","NLHVS","3.679"
"NLSTO","NLAPD","20.27"
"NLBRN","NLAMF","8.741"
"NLBNVA","NLSTO","7.43"
"NLHVS","NLBRN","7.306"
"NLNDB","NLCR","2.548"
"NLAPD","NLKBK","8.5"
"NLWP","NLKV","3.409"
"NLGPDA","NLWP","3.491"
"NLASD","NLDGOK","1.799"
"NLASD","NLASDM","3.744"
"NLASDM","NLDMN","2.995"
"NLASDM","NLGPDA","5.98"
"NLASDM","NLWGM","1.51"
"NLAMF","NLBNVA","16.154"
"NLKBK","NLZP","8.885"
"NLKV","NLNDB","5.542"
"NLHFD","NLLEDN","22.335"
"NLSHL","NLHFD","4.695"
"NLASRA","NLSHL","5.76"
"NLASS","NLHW","6.439"
"NLSGRA","NLASD","1.627"
"NLASS","NLHMTA","3.479"
"NLASS","NLSGRA","1.575"
"NLBDGR","NLBD","9.289"
"NLGZ","NLTBU","8.83"
"NLAT","NLEHV","5.425"
"NLLPE","NLBET","4.255"
"NLTB","NLBTL","17.065"
"NLBET","NLAT","6.58"
"NLTBU","NLTB","2.335"
"NLBD","NLGZ","10.3"
"NLBTL","NLLPE","3.595"
"NLHLN","NLRM","7.305"
"NLWT","NLHLN","16.963"
"NLDDR","NLKFHAZ","3.285"
"NLKFHAZ","NLRTST","11.235"
"NLKFHAZ","NLKFH","3.45"
"NLRTST","NLWSPT","2.925"
"NLBRDV","NLIJSM","3.117"
"NLKFH","NLBRDV","3.583"
"NLKFH","NLBRDA","3.385"
"NLBRDA","NLRTST","4.4"
"NLBRDA","NLBRDV","0.198"
"NLBRDA","NLIJSM","3.315"
"NLIJSM","NLRTST","1.085"
"NLWSPT","NLRTD","2.495"
"NLWLD","NLDDR","8.265"
"NLZLW","NLWLD","6.337"
"NLZHA","NLZLW","5.377"
"NLBD","NLZHA","9.487"
"NLBKH","NLGV","1.423"
"NLBKLA","NLHMLA","8.21"
"NLBNC","NLLTN","7.122"
"NLLTN","NLED","7.874"
"NLBNVA","NLBNC","3.097"
"NLRTST","NLRTDBD","17.177"
"NLRTDBD","NLBDGR","26.178"
"NLBDGR","EU00089","6.919"
"NLWHZ","NLPS","4.665"
"NLPS","NLBOT","4.705"
"NLERP","NLERPW","6.59"
"NLBOT","NLERP","10.54"
"NLERPW","NLMVT","6.611"
"NLWHZAN","NLWHZ","3.6"
"NLBRDV","NLWHZAN","2.674"
"NLBRGND","NLBRMET","32.208"
"NLBRMET","NLBROCH","21.55"
"NLMTNA","NLBRMET","0.519"
"NLBROCH","NLBRCUP","17.094"
"NLBRDVNO","NLZVO","7.815"
"NLBRCUP","NLBRDVNO","15.482"
"NLBRPPD","NLBRGND","8.376"
"NLBRCUP","NLESTA","4.895"
"NLDHSA","NLWSPL","0.979"
"NLDLD","NLST","6.035"
"NLST","NLBRN","4.545"
"NLAPDVAM","NLAPD","2.411"
"NLWDN","NLAML","4.493"
"NLRSN","NLWDN","7.66"
"NLDV","NLRSN","26.315"
"NLDVAW","NLASB","2.632"
"NLDVD","NLDMNZ","1.425"
"NLOHZE","NLMZ","8.545"
"NLMZ","NLWT","8.762"
"NLEHV","NLOHZE","11.455"
"NLBSD","NLLDM","7.047"
"NLKTR","NLTL","12.073"
"NLGR","NLBHDV","6.36"
"NLTL","NLWNN","4.464"
"NLGDM","NLBSD","6.525"
"NLGND","NLSDT","3.959"
"NLDDRS","NLDDR","3.452"
"NLLDM","NLGR","12.151"
"NLWNN","NLGDM","7.417"
"NLBHDV","NLGND","3.045"
"NLESTA","NLKTR","19.641"
"NLSDT","NLDDRS","6.896"
"EU00094","NLTNZ","15.089"
"NLMTR","NLMT","1.427"
"NLEDN","NLMTR","7.404"
"EU00093","NLEDN","1.488"
"NLMDA","NLWAD","5.332"
"NLBSK","NLAPN","5.776"
"NLWAD","NLBSK","3.715"
"NLBKH","NLGVC","1.359"
"NLYPB","NLBKH","4.646"
"NLMDAZ","NLZTMO","11.038"
"NLGD","NLMDAZ","4.684"
"NLGD","NLMDA","2.694"
"NLMDA","NLMDAZ","1.99"
"NLZTMO","NLYPB","6.477"
"NLLP","NLAPG","7.737"
"NLAPG","NLDZ","4.186"
"NLSTM","NLLP","4.081"
"NLSWD","NLBDM","4.117"
"NLGNN","NLSWD","6.988"
"NLBDM","NLSTM","6.812"
"NLGN","NLGNN","3.906"
"NLDVAW","NLASDZO","4.24"
"NLDVAW","NLRAI","2.315"
"NLDMNZ","NLDVAW","2.95"
"NLDDM","NLDMNZ","2.58"
"NLASDZO","NLASRA","2.59"
"NLRAI","NLASDZO","1.925"
"NLGPDA","NLDDM","1.341"
"NLGVC","NLGV","1.83"
"NLWM","NLZD","6.029"
"NLSGN","NLHWD","13.883"
"NLHWD","NLAMR","6.873"
"NLUTG","NLWM","7.432"
"NLAMR","NLUTG","15.663"
"NLHDR","NLHDRZ","2.548"
"NLHDRZ","NLANA","8.782"
"NLANA","NLSGN","9.149"
"NLEMNZ","NLEMN","5.314"
"NLHDB","NLGBG","5.4"
"NLDL","NLOMN","10.868"
"NLOMN","NLMRB","10.88"
"NLZL","NLDL","12.148"
"NLCO","NLNA","10.864"
"NLGBG","NLCO","7.505"
"NLNA","NLEMNZ","3.811"
"NLMRB","NLHDB","8.5"
"NLHLG","NLHLGH","1.191"
"NLNSCH","EU00001","0.902"
"NLHDG","NLFWD","4.211"
"NLHLG","NLFN","8.587"
"NLGKA","NLZH","5.102"
"NLBP","NLGKA","12.508"
"NLWHA","NLZB","15.682"
"NLZB","NLSDA","7.567"
"NLGNL","NLWHA","3.582"
"NLFWD","NLBP","10.745"
"NLHGKA","NLGN","3.678"
"NLLW","NLHDG","10.059"
"NLWS","NLNSCH","12.119"
"NLSDA","NLWS","4.914"
"NLZH","NLHGKA","8.087"
"NLFN","NLDRP","5.863"
"NLDRP","NLLW","10.502"
"NLBV","NLUTG","6.473"
"NLSPTN","NLBV","5.792"
"NLHLM","NLSPTN","5.912"
"NLHLM","NLZVT","8.083"
"NLHRL","NLSOG","9.024"
"NLONN","NLWHA","3.288"
"NLRTDBD","NLZHA","13.691"
"NLHVS","NLBKP","13.53"
"NLBKP","NLUTM","3.569"
"NLHWD","NLOBD","6.077"
"NLOBD","NLHN","10.6"
"NLKFH","NLBRPPD","9.949"
"EU00005","NLVL","3.173"
"NLKV","NLMBGA","2.471"
"NLLAA","NLGVC","1.591"
"NLLG","NLKRD","5.652"
"NLHTBA","NLZL","3.624"
"NLKPNZ","NLHTBA","11.41"
"NLSTB","NLDRON","11.45"
"NLLLSOA","NLSTB","7.195"
"NLDRON","NLKPNZ","13.55"
"EU00091","NLWT","10.203"
"NLAMFPON","NLAMF","3.416"
"NLLWD","NLSLOE","6.316"
"NLWK","NLSTV","12.856"
"NLLW","NLMG","9.737"
"NLSKND","NLSK","1.109"
"NLMG","NLSKND","10.585"
"NLSK","NLWK","15.659"
"NLHGV","NLVAMA","4.364"
