"source","target","sectionspeed"
"NLMLO","NLLTM","125.0"
"NLVLB","NLVRY","125.0"
"NLLTM","NLBR","125.0"
"NLAH","NLESTA","140.0"
"NLCK","NLBGK","125.0"
"NLBMR","NLVLB","125.0"
"NLVRY","NLMLO","125.0"
"NLMMLH","NLCK","125.0"
"NLNM","NLMMLH","125.0"
"NLESTA","NLNM","140.0"
"NLBGK","NLBMR","125.0"
"NLAH","NLVA","130.0"
"NLDR","NLZP","130.0"
"NLVA","NLDR","130.0"
"NLOST","NLZL","130.0"
"NLDV","NLOST","130.0"
"NLZP","NLDV","140.0"
"NLBKD","NLAMF","40.0"
"NLAML","NLHGL","130.0"
"NLHGL","NLODZ","125.0"
"NLODZ","EU00002","125.0"
"NLAPD","NLDV","130.0"
"NLZVO","EU00004","130.0"
"NLHAR","NLED","140.0"
"NLBKLA","NLMAS","160.0"
"NLASB","NLAC","160.0"
"NLED","NLWF","140.0"
"NLVA","NLZV","130.0"
"NLUTZA","NLDB","140.0"
"NLWF","NLAH","140.0"
"NLAC","NLBKLA","160.0"
"NLASDM","NLDVD","140.0"
"NLMRG","NLHAR","140.0"
"NLZV","NLZVO","130.0"
"NLMAS","NLUT","160.0"
"NLDB","NLMRG","140.0"
"NLDVD","NLASB","160.0"
"NLGV","NLDTA","140.0"
"NLHW","NLHLM","130.0"
"NLSDM","NLDHSA","130.0"
"NLLAA","NLGV","140.0"
"NLLEDN","NLGVM","150.0"
"NLDT","NLSDM","140.0"
"NLLIS","NLLEDN","140.0"
"NLDTA","NLDT","140.0"
"NLGVM","NLGV","140.0"
"NLGVM","NLLAA","140.0"
"NLDHSA","NLRTD","130.0"
"NLSDMGA","NLSDM","40.0"
"NLHLM","NLLIS","140.0"
"NLDMN","NLGPDA","130.0"
"NLDGOK","NLASDM","60.0"
"NLCR","NLHVS","130.0"
"NLSTO","NLAPD","130.0"
"NLBRN","NLAMF","130.0"
"NLBNVA","NLSTO","130.0"
"NLHVS","NLBRN","130.0"
"NLNDB","NLCR","130.0"
"NLAPD","NLKBK","100.0"
"NLWP","NLKV","130.0"
"NLGPDA","NLWP","140.0"
"NLASD","NLDGOK","60.0"
"NLASD","NLASDM","60.0"
"NLASDM","NLDMN","130.0"
"NLASDM","NLGPDA","130.0"
"NLASDM","NLWGM","60.0"
"NLAMF","NLBNVA","130.0"
"NLKBK","NLZP","100.0"
"NLKV","NLNDB","130.0"
"NLHFD","NLLEDN","160.0"
"NLSHL","NLHFD","140.0"
"NLASRA","NLSHL","140.0"
"NLASS","NLHW","130.0"
"NLSGRA","NLASD","130.0"
"NLASS","NLHMTA","121.66666666666667"
"NLASS","NLSGRA","130.0"
"NLBDGR","NLBD","80.0"
"NLGZ","NLTBU","140.0"
"NLAT","NLEHV","140.0"
"NLLPE","NLBET","140.0"
"NLTB","NLBTL","130.0"
"NLBET","NLAT","140.0"
"NLTBU","NLTB","140.0"
"NLBD","NLGZ","140.0"
"NLBTL","NLLPE","130.0"
"NLHLN","NLRM","140.0"
"NLWT","NLHLN","140.0"
"NLDDR","NLKFHAZ","140.0"
"NLKFHAZ","NLRTST","140.0"
"NLKFHAZ","NLKFH","80.0"
"NLRTST","NLWSPT","140.0"
"NLBRDV","NLIJSM","60.0"
"NLKFH","NLBRDV","80.0"
"NLKFH","NLBRDA","80.0"
"NLBRDA","NLRTST","80.0"
"NLBRDA","NLBRDV","80.0"
"NLBRDA","NLIJSM","80.0"
"NLIJSM","NLRTST","140.0"
"NLWSPT","NLRTD","140.0"
"NLWLD","NLDDR","140.0"
"NLZLW","NLWLD","140.0"
"NLZHA","NLZLW","140.0"
"NLBD","NLZHA","140.0"
"NLBKH","NLGV","40.0"
"NLBKLA","NLHMLA","130.0"
"NLBNC","NLLTN","130.0"
"NLLTN","NLED","80.0"
"NLBNVA","NLBNC","80.0"
"NLRTST","NLRTDBD","300.0"
"NLRTDBD","NLBDGR","300.0"
"NLBDGR","EU00089","300.0"
"NLWHZ","NLPS","80.0"
"NLPS","NLBOT","93.33333333333333"
"NLERP","NLERPW","80.0"
"NLBOT","NLERP","80.0"
"NLERPW","NLMVT","80.0"
"NLWHZAN","NLWHZ","80.0"
"NLBRDV","NLWHZAN","80.0"
"NLBRGND","NLBRMET","120.0"
"NLBRMET","NLBROCH","120.0"
"NLMTNA","NLBRMET","80.0"
"NLBROCH","NLBRCUP","120.0"
"NLBRDVNO","NLZVO","120.0"
"NLBRCUP","NLBRDVNO","120.0"
"NLBRPPD","NLBRGND","120.0"
"NLBRCUP","NLESTA","80.0"
"NLDHSA","NLWSPL","60.0"
"NLDLD","NLST","130.0"
"NLST","NLBRN","130.0"
"NLAPDVAM","NLAPD","40.0"
"NLWDN","NLAML","130.0"
"NLRSN","NLWDN","130.0"
"NLDV","NLRSN","130.0"
"NLDVAW","NLASB","130.0"
"NLDVD","NLDMNZ","130.0"
"NLOHZE","NLMZ","140.0"
"NLMZ","NLWT","140.0"
"NLEHV","NLOHZE","140.0"
"NLBSD","NLLDM","100.0"
