"source","target","sectionlength"
"SET","SEMh","11.973"
"SEKm","SEPå","11.253"
"SEKoe","SEB","3.667"
"SESöd","SESöu","1.819"
"SESöu","SESöö","3.007"
"SESöu","SEBre","2.696"
"SESöö","SEJn","9.576"
"SESöö","SEAlä","8.647"
"SEBre","SEJn","6.637"
"SEK","SEStö","10.928"
"SEK","SEBt","8.461"
"SEJn","SEHlö","8.245"
"SEJn","SEMö","10.714"
"SESödy","SEGau","1.349"
"SEÄl","SESle","6.325"
"SEMh","SEVä","11.652"
"SESp","SESkv","6.843"
"SELå","SEFa","13.301"
"SELå","SEHs","11.513"
"SESpn","SEK","7.941"
"SEKä","SEHr","11.355"
"SEBgs","SENdv","5.461"
"SELr","SEJ","5.465"
"SELln","SELå","9.304"
"SEBjn","SEMsj","11.985"
"SESs","SEFn","12.37"
"SESn","SELr","3.719"
"SEBt","SEVr","12.224"
"SETu","SESödy","2.653"
"SEGdö","SEÄl","8.009"
"SEGdö","SEHova","8.762"
"SEGau","SEDån","3.411"
"SEFn","SEF","2.164"
"SEVä","SESk","15.011"
"SEFle","SESde","8.276"
"SEFlb","SEBjn","2.092"
"SEFlb","SEUts","3.502"
"SEF","SEFby","13.716"
"SEF","SEVf","11.347"
"SEFa","SEGdö","9.281"
"SEFby","SEKä","8.827"
"SEFd","SESn","3.512"
"SEVr","SEHgö","8.926"
"SEHu","SEFlb","2.518"
"SEVgå","SEAgg","10.372"
"SEHr","SELju","11.274"
"SEHr","SEVgå","13.736"
"SEHpbg","SEKla","7.179"
"SEHpbg","SESkms","7.687"
"SEHpbg","SEHrbg","3.187"
"SETäl","SEÖj","2.39"
"SEDån","SEÖte","3.563"
"SEUts","SETu","3.495"
"SEVed","SEHr","10.728"
"SEGn","SEKoe","5.9"
"SEHgö","SEKm","11.035"
"SEB","SESh","9.751"
"SEVt","SELln","5.693"
"SERmtp","SESs","6.752"
"SESk","SERmtp","9.156"
"SESkms","SEÅ","2.964"
"SESde","SESpn","6.705"
"SEMö","SEGn","6.655"
"SEÖte","SESöd","1.874"
"SEPå","SEHpbg","13.562"
"SEA","SEBgs","5.418"
"SENdv","SEFd","7.294"
"SEAgg","SEA","10.524"
"SEÖj","SEVt","7.233"
"SEMsj","SESöö","7.06"
"SEHrbg","SETäl","2.307"
"SEHrbg","SESkms","7.286"
"SESle","SET","7.931"
"SENsj","SESp","2.845"
"SESh","SENsj","8.167"
"SESkv","SEFle","7.883"
"SEUtp","SEAhm","9.125"
"SEHjp","SEÅk","1.885"
"SETö","SEHö","9.288"
"SETun","SEO","10.106"
"SEHm","SEFin","5.207"
"SEHm","SEMlb","9.573"
"SEHm","SEAtp","6.314"
"SEThl","SELu","3.52"
"SEHö","SESg","10.536"
"SEHv","SEMud","9.758"
"SETns","SEGp","9.281"
"SETp","SEE","14.96"
"SEO","SEHv","11.258"
"SEÅk","SEBlv","2.747"
"SEAhm","SESy","11.016"
"SEHlö","SEVhd","10.316"
"SESmt","SEÅbs","14.797"
"SEÅba","SEKon","14.685"
"SEGåp","SEAv","5.226"
"SERk","SEGrd","9.011"
"SEFrd","SERas","7.154"
"SEEra","SEDiö","10.858"
"SEFls","SEVim","11.548"
"SEFlp","SEHjp","2.223"
"SEVim","SEGmp","3.079"
"SEVs","SEEra","11.505"
"SEVsd","SEMt","9.377"
"SEFi","SEKms","14.198"
"SEDat","SEÖ","3.508"
"SEVhd","SELre","12.989"
"SEEbg","SEJår","7.492"
"SEÅbs","SENr","7.806"
"SEDiö","SEÄh","11.109"
"SESg","SEE","9.268"
"SEJår","SEÅba","9.243"
"SEGtå","SEÅbs","5.394"
"SEGt","SEUtp","8.994"
"SEGi","SELgm","9.045"
"SEGrd","SELns","9.172"
"SEGmp","SEN","3.213"
"SEVäd","SETö","2.481"
"SERas","SEFls","10.232"
"SEE","SEDat","4.279"
"SEGp","SEFrd","7.353"
"SEBx","SESmn","7.132"
"SELgm","SELp","10.18"
"SEÄng","SEN","8.925"
"SELkn","SEBx","8.169"
"SEBjm","SEHm","15.913"
"SEBld","SEVs","6.564"
"SEStö","SESmt","14.869"
"SEN","SEGt","10.76"
"SEÄh","SEHkö","10.12"
"SEÄh","SETun","10.992"
"SEKon","SEGtå","6.393"
"SENh","SEGi","4.758"
"SEKms","SESbl","6.387"
"SEKms","SENh","3.427"
"SENk","SEEbg","8.645"
"SEMy","SELkn","8.316"
"SELns","SEMo","7.816"
"SEMo","SEGåp","6.831"
"SESmn","SETns","12.821"
"SEMlb","SEVäd","8.124"
"SEÖ","SEThl","5.961"
"SEAv","SEGm","7.478"
"SEAv","SEBld","7.058"
"SELu","SEKgå","1.161"
"SESsa","SENk","6.833"
"SEMud","SEHm","8.748"
"SELp","SEVsd","12.673"
"SEMt","SEMy","10.138"
"SELre","SETba","6.211"
"SESy","SERk","8.908"
"SEKgå","SEFlp","2.197"
"SETba","SESsa","12.182"
"SESkn","SEMy","9.068"
"SENr","SEFi","4.833"
"SEKg","SELu","11.034"
"SEPö","SEHb","3.639"
"SEÖda","SEMia","3.892"
"SEVh","SEKa","7.356"
"SEBtp","SEFur","7.91"
"SELkö","SEKg","19.953"
"SEVip","SEBaa","4.524"
"SEOm","SEFur","16.542"
"SEEa","SELaov","10.297"
"SEFå","SEVrö","9.37"
"SETeo","SEFabp","5.052"
"SETeo","SEFabg","5.825"
"SEBaa","SEÄ","5.6"
"SEFabp","SEHe","10.289"
"SEHbgb","SEGan","6.952"
"SEHbgb","SELkö","18.638"
"SEFör","SEVip","2.385"
"SEMia","SEPö","1.257"
"SEMdn","SEKrd","5.474"
"SEKb","SELek","12.665"
"SEFur","SEHd","2.33"
"SEVrö","SEVb","15.411"
"SEBp","SEBtp","10.369"
"SEHd","SEHdr","1.147"
"SEHe","SEBp","11.534"
"SELaov","SEBån","10.085"
"SEHlp","SEKa","2.981"
"SEKrd","SELdo","4.276"
"SELdo","SELgd","5.975"
"SEKst","SEEa","7.401"
"SEHb","SEHbgb","3.015"
"SESöt","SEVh","4.379"
"SETp","SEKg","9.322"
"SEHdr","SEKst","3.61"
"SEHaa","SETye","8.805"
"SEÄ","SESöt","1.433"
"SEVb","SEHaa","6.825"
"SETye","SETeo","8.532"
"SEBån","SEFör","10.637"
"SELgd","SEKb","4.022"
"SELek","SEFå","10.127"
"SEKa","SEÖda","4.967"
"SESae","SEBsc","10.12"
"SEHet","SEGnö","13.253"
"SESru","SEEm","11.612"
"SEKnl","SEBsc","1.664"
"SEHil","SELme","17.758"
"SEKas","SEKac","1.901"
"SEKas","SERby","18.384"
"SESpj","SEGua","13.979"
"SEMdö","SEMyk","5.733"
"SENyb","SEFre","2.65"
"SERäp","SEVö","4.464"
"SEHmö","SESpj","13.35"
"SERym","SEAv","19.578"
"SEGnö","SEHto","10.979"
"SENosk","SEKnl","1.871"
"SEMyk","SEHäy","12.043"
"SEGrm","SEHet","5.569"
"SETre","SEKas","13.746"
"SEVfa","SEHmö","14.3"
"SEGua","SECk","4.181"
"SELme","SEGrm","13.832"
"SELo","SESru","11.402"
"SEHvp","SELo","8.865"
"SERd","SEBoy","4.429"
"SEV","SEBor","11.61"
"SEHås","SERd","7.422"
"SEHäy","SEHås","9.129"
"SEFre","SETre","11.158"
"SEHto","SEV","17.35"
"SEGm","SERäp","5.764"
"SERö","SESae","11.564"
"SEÅrd","SEHvp","11.266"
"SEBsc","SEVfo","12.06"
"SEBsc","SEApd","15.364"
"SEBor","SERym","17.248"
