"source","target","sectionspeed"
"SET","SEMh","200.0"
"SEKm","SEPå","200.0"
"SEKoe","SEB","180.0"
"SESöd","SESöu","113.33333333333333"
"SESöu","SESöö","80.0"
"SESöu","SEBre","130.0"
"SESöö","SEJn","225.0"
"SESöö","SEAlä","200.0"
"SEBre","SEJn","140.0"
"SEK","SEStö","200.0"
"SEK","SEBt","200.0"
"SEJn","SEHlö","160.0"
"SEJn","SEMö","200.0"
"SESödy","SEGau","110.0"
"SEÄl","SESle","200.0"
"SEMh","SEVä","200.0"
"SESp","SESkv","180.0"
"SELå","SEFa","200.0"
"SELå","SEHs","200.0"
"SESpn","SEK","200.0"
"SEKä","SEHr","200.0"
"SEBgs","SENdv","135.0"
"SELr","SEJ","135.0"
"SELln","SELå","200.0"
"SEBjn","SEMsj","250.0"
"SESs","SEFn","200.0"
"SESn","SELr","135.0"
"SEBt","SEVr","200.0"
"SETu","SESödy","110.0"
"SEGdö","SEÄl","200.0"
"SEGdö","SEHova","90.0"
"SEGau","SEDån","115.0"
"SEFn","SEF","200.0"
"SEVä","SESk","200.0"
"SEFle","SESde","200.0"
"SEFlb","SEBjn","230.0"
"SEFlb","SEUts","130.0"
"SEF","SEFby","200.0"
"SEF","SEVf","160.0"
"SEFa","SEGdö","200.0"
"SEFby","SEKä","200.0"
"SEFd","SESn","135.0"
"SEVr","SEHgö","200.0"
"SEHu","SEFlb","145.0"
"SEVgå","SEAgg","200.0"
"SEHr","SELju","110.0"
"SEHr","SEVgå","200.0"
"SEHpbg","SEKla","140.0"
"SEHpbg","SEHrbg","147.5"
"SETäl","SEÖj","195.0"
"SEDån","SEÖte","130.0"
"SEUts","SETu","120.0"
"SEVed","SEHr","160.0"
"SEGn","SEKoe","180.0"
"SEHgö","SEKm","200.0"
"SEB","SESh","180.0"
"SEVt","SELln","200.0"
"SERmtp","SESs","200.0"
"SESk","SERmtp","200.0"
"SESkms","SEÅ","110.0"
"SESde","SESpn","200.0"
"SEMö","SEGn","180.0"
"SEÖte","SESöd","100.0"
"SEPå","SEHpbg","200.0"
"SEA","SEBgs","135.0"
"SENdv","SEFd","135.0"
"SEAgg","SEA","200.0"
"SEÖj","SEVt","200.0"
"SEMsj","SESöö","250.0"
"SEHrbg","SETäl","132.5"
"SEHrbg","SESkms","100.0"
"SESle","SET","200.0"
"SENsj","SESp","180.0"
"SESh","SENsj","180.0"
"SESkv","SEFle","180.0"
"SEUtp","SEAhm","200.0"
"SEHjp","SEÅk","100.0"
"SETö","SEHö","200.0"
"SETun","SEO","200.0"
"SEHm","SEFin","115.0"
"SEHm","SEMlb","200.0"
"SEHm","SEAtp","160.0"
"SEThl","SELu","200.0"
"SEHö","SESg","200.0"
"SEHv","SEMud","200.0"
"SETns","SEGp","180.0"
"SETp","SEE","160.0"
"SEO","SEHv","200.0"
"SEÅk","SEBlv","165.0"
"SEAhm","SESy","200.0"
"SEHlö","SEVhd","135.0"
"SESmt","SEÅbs","180.0"
"SEÅba","SEKon","135.0"
"SEGåp","SEAv","200.0"
"SERk","SEGrd","200.0"
"SEFrd","SERas","200.0"
"SEEra","SEDiö","200.0"
"SEFls","SEVim","180.0"
"SEFlp","SEHjp","100.0"
"SEVim","SEGmp","180.0"
"SEVs","SEEra","200.0"
"SEVsd","SEMt","200.0"
"SEFi","SEKms","150.0"
"SEDat","SEÖ","200.0"
"SEVhd","SELre","150.0"
"SEEbg","SEJår","160.0"
"SEÅbs","SENr","180.0"
"SEDiö","SEÄh","200.0"
"SESg","SEE","200.0"
"SEJår","SEÅba","150.0"
"SEGtå","SEÅbs","120.0"
"SEGt","SEUtp","200.0"
"SEGi","SELgm","180.0"
"SEGrd","SELns","200.0"
"SEGmp","SEN","180.0"
"SEVäd","SETö","200.0"
"SERas","SEFls","200.0"
"SEE","SEDat","200.0"
"SEGp","SEFrd","200.0"
