"source","target","sectionlength"
"UKN1088","UKN1127","5.169"
"UKN4329","UKN1091","0.231"
"UKN1893","UKN4329","4.776"
"UKN1127","UKN1416","5.306"
"UKN1416","UKN1893","3.593"
"UKN4298","UKN7068","1.415"
"UKN7066","UKN1854","1.236"
"UKN1854","UKN4298","0.251"
"UKN2590","UKN7066","0.299"
"UKN2747","UKN7065","1.308"
"UKN1002","UKN2747","4.082"
"UKN7065","UKN2590","0.449"
"UKN8113","UKN7852","5.935"
"UKN8112","UKN8113","0.62"
"UKN7089","UKN7088","1.369"
"UKN8367","UKN8113","0.449"
"UKN3499","UKN1504","7.583"
"UKN8545","UKN2846","5.902"
"UKN1095","UKN3499","6.549"
"UKN1428","UKN5375","0.35"
"UKN1428","UKN3160","3.946"
"UKN1504","UKN1479","3.328"
"UKN1479","UKN1428","5.04"
"UKN2551","UKN8545","0.572"
"UKN3160","UKN2551","14.622"
"UKN2048","UKN7784","0.718"
"UKN7668","UKN4788","0.304"
"UKN7108","UKN5017","0.455"
"UKN7392","UKN1030","0.732"
"UKN4767","UKN4820","0.656"
"UKN1337","UKN7543","1.535"
"UKN7543","UKN4767","8.781"
"UKN8499","UKN4865","1.052"
"UKN8042","UKN5436","0.957"
"UKN2383","UKN7667","0.811"
"UKN8354","UKN1405","1.468"
"UKN3406","UKN1605","4.761"
"UKN2512","UKN2513","1.951"
"UKN1055","UKN3406","3.175"
"UKN7860","UKN1055","1.067"
"UKN1605","UKN2512","1.149"
"UKN3501","UKN3173","2.061"
"UKN1974","UKN1806","1.777"
"UKN1107","UKN1974","2.064"
"UKN1498","UKN3501","1.226"
"UKN1806","UKN1498","0.924"
"UKN1886","UKN1401","1.62"
"UKN3173","UKN1886","2.138"
"UKN1401","UKN1271","1.38"
"UKN1271","UKN2982","4.026"
"UKN2982","UKN8097","4.442"
"UKN7068","UKN1628","0.458"
"UKN3079","UKN5135","0.364"
"UKN4820","UKN3079","1.074"
"UKN2972","UKN4820","4.645"
"UKN7156","UKN7155","0.202"
"UKN7151","UKN7156","0.663"
"UKN8318","UKN8108","1.174"
"UKN4241","UKN4721","2.029"
"UKN1741","UKN4742","1.142"
"UKN4011","UKN2190","0.386"
"UKN4010","UKN4011","12.444"
"UKN4721","UKN1741","7.565"
"UKN4501","UKN2208","0.13"
"UKN4741","UKN4501","16.084"
"UKN2190","UKN2232","19.745"
"UKN4742","UKN2215","15.972"
"UKN1004","UKN4241","0.451"
"UKN2208","UKN4010","8.559"
"UKN2215","UKN4741","0.921"
"UKN7275","UKN1786","9.171"
"UKN7273","UKN7275","10.545"
"UKN5119","UKN2232","28.749"
"UKN4240","UKN5119","0.245"
"UKN1786","UKN4240","0.155"
"UKN7273","UKN2597","15.29"
"UKN2597","UKN2213","23.615"
"UKN4276","UKN3050","3.886"
"UKN8402","UKN4276","0.646"
"UKN5456","UKN4570","2.021"
"UKN4570","UKN8402","4.328"
"UKN2646","UKN7424","6.618"
"UKN7424","UKN4891","10.551"
"UKN8130","UKN5308","0.405"
"UKN4423","UKN8130","0.404"
"UKN1068","UKN4464","14.611"
